time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
36.147,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.15245,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.15748,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.16154,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.172,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.17659,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.18237,0,1.244464,2.80571,335.6389,179.9952,210.1441
36.18812,0,1.244464,2.80571,335.6389,179.9952,210.1441
36.1955,0,1.244464,2.80571,335.6389,179.9952,210.1441
36.19984,0,1.244464,2.80571,335.6389,179.9952,210.1441
36.2044,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.21056,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.21535,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.22004,0,1.244464,2.80571,335.6389,179.9952,210.1441
36.22813,0,1.244464,2.80571,335.6389,179.9952,210.1441
36.2323,0,1.244464,2.80571,335.6389,179.9952,210.1441
36.23663,0,1.244464,2.80571,335.6389,179.9952,210.1441
36.24809,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.25143,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.25673,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.26126,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.26715,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.27219,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.2769,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.2813,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.28768,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.29903,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.30502,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.31164,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.31642,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.32176,0,1.244465,2.80571,335.6389,180.0515,210.1732
36.32816,0,1.244465,2.80571,335.6389,180.0515,210.1732
36.33235,0,1.244465,2.80571,335.6389,180.0515,210.1732
36.33674,0,1.244465,2.80571,335.6389,180.0515,210.1732
36.34126,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.34718,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.35165,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.35701,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.36166,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.37224,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.3758,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.38051,0,1.244464,2.80571,335.5656,180.0514,210.1733
36.38684,0,1.244464,2.80571,335.5656,180.0514,210.1733
36.39147,0,1.244464,2.80571,335.5656,180.0514,210.1733
36.39746,0,1.244464,2.80571,335.5656,180.0514,210.1733
36.40198,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.40812,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.4128,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.41733,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.4222,0,1.244464,2.80571,335.5656,180.0514,210.1733
36.42848,0,1.244464,2.80571,335.5656,180.0514,210.1733
36.43332,0,1.244464,2.80571,335.5656,180.0514,210.1733
36.43805,0,1.244464,2.80571,335.5656,180.0514,210.1733
36.4429,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.44817,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.4525,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.45786,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.46233,0,1.244464,2.80571,335.5656,180.0514,210.1733
36.46771,0,1.244464,2.80571,335.5656,180.0514,210.1733
36.47208,0,1.244464,2.80571,335.5656,180.0514,210.1733
36.47725,0,1.244464,2.80571,335.5656,180.0514,210.1733
36.48161,0,1.244465,2.80571,335.5656,180.0514,210.1733
36.4878,0,1.244464,2.80571,335.5656,180.0514,210.1733
36.49311,0,1.244464,2.80571,335.5656,180.0514,210.1733
36.49738,0,1.244464,2.80571,335.5656,180.0514,210.1733
36.50175,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.50844,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.51297,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.51688,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.52178,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.52797,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.53276,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.53772,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.54264,0,1.244464,2.80571,335.6388,180.1077,210.2024
36.54793,0,1.244464,2.80571,335.6388,180.1077,210.2024
36.55243,0,1.244464,2.80571,335.6388,180.1077,210.2024
36.55701,0,1.244464,2.80571,335.6388,180.1077,210.2024
36.56193,0,1.244464,2.80571,335.5656,180.0514,210.1733
36.57066,0,1.244464,2.80571,335.5656,180.0514,210.1733
36.57432,0,1.244464,2.80571,335.5656,180.0514,210.1733
36.57845,0,1.244464,2.80571,335.5656,180.0514,210.1733
36.58286,0,1.244464,2.80571,335.5656,180.0514,210.1733
36.58833,0,1.244464,2.80571,335.5656,180.0514,210.1733
36.59406,0,1.244464,2.80571,335.5656,180.0514,210.1733
36.59886,0,1.244464,2.80571,335.5656,180.0514,210.1733
36.60352,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.60981,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.6146,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.61881,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.62373,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.62929,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.6339,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.6384,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.64317,0,1.244464,2.80571,335.5656,180.0514,210.1733
36.64854,0,1.244464,2.80571,335.5656,180.0514,210.1733
36.65306,0,1.244464,2.80571,335.5656,180.0514,210.1733
36.65782,0,1.244464,2.80571,335.5656,180.0514,210.1733
36.66249,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.66803,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.67328,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.67745,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.68198,0,1.244465,2.80571,335.5656,180.0514,210.1733
36.687,0,1.244464,2.80571,335.5656,180.0514,210.1733
36.69194,0,1.244464,2.80571,335.5656,180.0514,210.1733
36.69709,0,1.244464,2.80571,335.5656,180.0514,210.1733
36.70138,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.70808,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.71275,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.71705,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.72215,0,1.244464,2.80571,335.5656,180.0514,210.1733
36.72803,0,1.244464,2.80571,335.5656,180.0514,210.1733
36.73188,0,1.244464,2.80571,335.5656,180.0514,210.1733
36.73695,0,1.244464,2.80571,335.5656,180.0514,210.1733
36.74223,0,1.244464,2.80571,335.5656,180.0514,210.1733
36.75079,0,1.244464,2.80571,335.5656,180.0514,210.1733
36.75904,0,1.244464,2.80571,335.5656,180.0514,210.1733
36.76133,0,1.244464,2.80571,335.6388,180.1077,210.2024
36.76728,0,1.244464,2.80571,335.6388,180.1077,210.2024
36.77502,0,1.244464,2.80571,335.6388,180.1077,210.2024
36.77858,0,1.244464,2.80571,335.6388,180.1077,210.2024
36.78293,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.78797,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.79387,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.7986,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.80298,0,1.244464,2.80571,335.5656,180.0514,210.1733
36.8092,0,1.244464,2.80571,335.5656,180.0514,210.1733
36.8139,0,1.244464,2.80571,335.5656,180.0514,210.1733
36.81865,0,1.244464,2.80571,335.5656,180.0514,210.1733
36.82404,0,1.244464,2.80571,335.6388,180.1077,210.2024
36.82911,0,1.244464,2.80571,335.6388,180.1077,210.2024
36.83316,0,1.244464,2.80571,335.6388,180.1077,210.2024
36.83772,0,1.244464,2.80571,335.6388,180.1077,210.2024
36.84242,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.84908,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.85373,0,1.244464,2.80571,335.6389,180.0515,210.1732
36.8598,0,1.244464,2.80571,335.6389,180.0515,210.1732
