time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
38.14425,-0.037467,2.05005,-1.465858,312.5676,167.1534,226.849
38.15115,-0.037467,2.05005,-1.465857,312.5676,167.1534,226.849
38.15693,-0.037467,2.05005,-1.465857,312.5676,167.1534,226.849
38.16135,-0.037467,2.05005,-1.465857,312.5625,167.2469,226.8166
38.16737,-0.037467,2.05005,-1.465857,312.5625,167.2469,226.8166
38.17219,-0.037467,2.05005,-1.465857,312.5625,167.2469,226.8166
38.17745,-0.037467,2.05005,-1.465857,312.5625,167.2469,226.8166
38.18229,-0.037472,2.05005,-1.466825,312.5625,167.2469,226.8166
38.1935,-0.037472,2.05005,-1.466825,312.5625,167.2469,226.8166
38.19756,-0.037472,2.05005,-1.466825,312.5625,167.2469,226.8166
38.20171,-0.037472,2.05005,-1.466825,312.6406,167.1621,226.8426
38.20904,-0.037472,2.05005,-1.466825,312.6406,167.1621,226.8426
38.21344,-0.037472,2.05005,-1.466825,312.6406,167.1621,226.8426
38.21811,-0.037472,2.05005,-1.466825,312.6406,167.1621,226.8426
38.22265,-0.037472,2.05005,-1.466825,312.5676,167.1534,226.849
38.22843,-0.037472,2.05005,-1.466825,312.5676,167.1534,226.849
38.23326,-0.037472,2.05005,-1.466825,312.5676,167.1534,226.849
38.23756,-0.037472,2.05005,-1.466825,312.5676,167.1534,226.849
38.24297,-0.037472,2.05005,-1.466825,312.5676,167.1534,226.849
38.24791,-0.037472,2.05005,-1.466825,312.5676,167.1534,226.849
38.25242,-0.037472,2.05005,-1.466825,312.5676,167.1534,226.849
38.25749,-0.037472,2.05005,-1.466825,312.5676,167.1534,226.849
38.26243,-0.037472,2.05005,-1.466825,312.6406,167.1621,226.8426
38.26855,-0.037472,2.05005,-1.466825,312.6406,167.1621,226.8426
38.28095,-0.037472,2.05005,-1.466825,312.5625,167.2469,226.8166
38.28835,-0.037472,2.05005,-1.466825,312.5625,167.2469,226.8166
38.2949,-0.037472,2.05005,-1.466825,312.5625,167.2469,226.8166
38.29924,-0.037472,2.05005,-1.466825,312.5625,167.2469,226.8166
38.30334,-0.037472,2.05005,-1.466825,312.5676,167.1534,226.849
38.3088,-0.037472,2.05005,-1.466825,312.5676,167.1534,226.849
38.31327,-0.037472,2.05005,-1.466825,312.5676,167.1534,226.849
38.31809,-0.037472,2.05005,-1.466825,312.5676,167.1534,226.849
38.32336,-0.037472,2.05005,-1.466825,312.5625,167.2469,226.8166
38.32941,-0.037472,2.05005,-1.466825,312.5625,167.2469,226.8166
38.33383,-0.037472,2.05005,-1.466825,312.5625,167.2469,226.8166
38.33813,-0.037472,2.05005,-1.466825,312.5625,167.2469,226.8166
38.34321,-0.040866,2.05005,-1.464224,312.5903,167.1827,226.8412
38.34822,-0.040866,2.05005,-1.464224,312.5903,167.1827,226.8412
38.35324,-0.040866,2.05005,-1.464224,312.5903,167.1827,226.8412
38.35836,-0.040866,2.05005,-1.464224,312.5903,167.1827,226.8412
38.36288,-0.040866,2.05005,-1.464224,312.5903,167.1827,226.9145
38.36822,-0.040866,2.05005,-1.464224,312.5903,167.1827,226.9145
38.37284,-0.040866,2.05005,-1.464224,312.5903,167.1827,226.9145
38.37679,-0.040866,2.05005,-1.464224,312.5903,167.1827,226.9145
38.38068,-0.044243,2.05005,-1.459035,312.6358,167.2177,226.8988
38.38784,-0.044243,2.05005,-1.459035,312.6358,167.2177,226.8988
38.39663,-0.044243,2.05005,-1.459035,312.6358,167.2177,226.8988
38.4,-0.044243,2.05005,-1.459035,312.6358,167.2177,226.8988
38.40419,-0.050964,2.05005,-1.445094,312.7268,167.2878,227.0142
38.41074,-0.050964,2.05005,-1.445094,312.7268,167.2878,227.0142
38.41524,-0.050964,2.05005,-1.445094,312.7268,167.2878,227.0142
38.4198,-0.050964,2.05005,-1.445094,312.7268,167.2878,227.0142
38.42546,-0.054225,2.05005,-1.424361,312.8585,167.354,227.0238
38.43058,-0.054225,2.05005,-1.424361,312.8585,167.354,227.0238
38.43502,-0.054225,2.05005,-1.424361,312.8585,167.354,227.0238
38.43969,-0.054225,2.05005,-1.424361,312.8585,167.354,227.0238
38.44524,-0.067523,2.05005,-1.392838,313.0179,167.4037,227.1305
38.44983,-0.067523,2.05005,-1.392838,313.0179,167.4037,227.1305
38.45374,-0.067523,2.05005,-1.392838,313.0179,167.4037,227.1305
38.45946,-0.067523,2.05005,-1.392838,313.0179,167.4037,227.1305
38.464,-0.087262,2.05005,-1.344277,313.2227,167.4049,227.6005
38.46882,-0.087262,2.05005,-1.344277,313.2227,167.4049,227.6005
38.47377,-0.087262,2.05005,-1.344277,313.2227,167.4049,227.6005
38.47797,-0.087262,2.05005,-1.344277,313.2227,167.4049,227.6005
38.48207,-0.106302,2.050049,-1.260669,313.622,167.5232,227.89
38.48775,-0.106302,2.050049,-1.260669,313.622,167.5232,227.89
38.49318,-0.106302,2.050049,-1.260669,313.622,167.5232,227.89
38.50391,-0.120887,2.050049,-1.127452,314.3206,167.5774,227.8837
38.50711,-0.120887,2.050049,-1.127452,314.3206,167.5774,227.8837
38.51112,-0.120887,2.050049,-1.127452,314.3206,167.5774,227.8837
38.51569,-0.120887,2.050049,-1.127452,314.3206,167.5774,227.8837
38.51968,-0.120887,2.050049,-1.127452,314.3206,167.5774,227.8837
38.52438,-0.128175,2.050048,-0.974537,315.3593,167.4568,227.649
38.52984,-0.128175,2.050048,-0.974537,315.3593,167.4568,227.649
