experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,vmr_angle,trainee_right_stylus_movement_location_0,mentor_left_stylus_movement_location_0
guidance_experiment,apron-5dd5e23c-0d83-487a-a084-30aaae83cfb7,1,1,1,1,8.04929,8.9,,guidance_experiment/apron-5dd5e23c-0d83-487a-a084-30aaae83cfb7/S001/trackers/trainee_right_stylus_movement_T001.csv,guidance_experiment/apron-5dd5e23c-0d83-487a-a084-30aaae83cfb7/S001/trackers/mentor_left_stylus_movement_T001.csv
guidance_experiment,apron-5dd5e23c-0d83-487a-a084-30aaae83cfb7,1,2,1,2,13.46679,15.8,,guidance_experiment/apron-5dd5e23c-0d83-487a-a084-30aaae83cfb7/S001/trackers/trainee_right_stylus_movement_T002.csv,guidance_experiment/apron-5dd5e23c-0d83-487a-a084-30aaae83cfb7/S001/trackers/mentor_left_stylus_movement_T002.csv
guidance_experiment,apron-5dd5e23c-0d83-487a-a084-30aaae83cfb7,1,3,2,1,17.16382,19.94,,guidance_experiment/apron-5dd5e23c-0d83-487a-a084-30aaae83cfb7/S001/trackers/trainee_right_stylus_movement_T003.csv,guidance_experiment/apron-5dd5e23c-0d83-487a-a084-30aaae83cfb7/S001/trackers/mentor_left_stylus_movement_T003.csv
guidance_experiment,apron-5dd5e23c-0d83-487a-a084-30aaae83cfb7,1,4,2,2,21.74505,23.38,,guidance_experiment/apron-5dd5e23c-0d83-487a-a084-30aaae83cfb7/S001/trackers/trainee_right_stylus_movement_T004.csv,guidance_experiment/apron-5dd5e23c-0d83-487a-a084-30aaae83cfb7/S001/trackers/mentor_left_stylus_movement_T004.csv
guidance_experiment,apron-5dd5e23c-0d83-487a-a084-30aaae83cfb7,1,5,3,1,25.62342,28.26,,guidance_experiment/apron-5dd5e23c-0d83-487a-a084-30aaae83cfb7/S001/trackers/trainee_right_stylus_movement_T005.csv,guidance_experiment/apron-5dd5e23c-0d83-487a-a084-30aaae83cfb7/S001/trackers/mentor_left_stylus_movement_T005.csv
guidance_experiment,apron-5dd5e23c-0d83-487a-a084-30aaae83cfb7,1,6,3,2,29.50298,30.28,,guidance_experiment/apron-5dd5e23c-0d83-487a-a084-30aaae83cfb7/S001/trackers/trainee_right_stylus_movement_T006.csv,guidance_experiment/apron-5dd5e23c-0d83-487a-a084-30aaae83cfb7/S001/trackers/mentor_left_stylus_movement_T006.csv
guidance_experiment,apron-5dd5e23c-0d83-487a-a084-30aaae83cfb7,1,7,4,1,31.72796,32.42,,guidance_experiment/apron-5dd5e23c-0d83-487a-a084-30aaae83cfb7/S001/trackers/trainee_right_stylus_movement_T007.csv,guidance_experiment/apron-5dd5e23c-0d83-487a-a084-30aaae83cfb7/S001/trackers/mentor_left_stylus_movement_T007.csv
guidance_experiment,apron-5dd5e23c-0d83-487a-a084-30aaae83cfb7,1,8,4,2,33.80053,34.5,,guidance_experiment/apron-5dd5e23c-0d83-487a-a084-30aaae83cfb7/S001/trackers/trainee_right_stylus_movement_T008.csv,guidance_experiment/apron-5dd5e23c-0d83-487a-a084-30aaae83cfb7/S001/trackers/mentor_left_stylus_movement_T008.csv
guidance_experiment,apron-5dd5e23c-0d83-487a-a084-30aaae83cfb7,1,9,5,1,36.147,36.86,,guidance_experiment/apron-5dd5e23c-0d83-487a-a084-30aaae83cfb7/S001/trackers/trainee_right_stylus_movement_T009.csv,guidance_experiment/apron-5dd5e23c-0d83-487a-a084-30aaae83cfb7/S001/trackers/mentor_left_stylus_movement_T009.csv
guidance_experiment,apron-5dd5e23c-0d83-487a-a084-30aaae83cfb7,1,10,5,2,38.14425,38.8,,guidance_experiment/apron-5dd5e23c-0d83-487a-a084-30aaae83cfb7/S001/trackers/trainee_right_stylus_movement_T010.csv,guidance_experiment/apron-5dd5e23c-0d83-487a-a084-30aaae83cfb7/S001/trackers/mentor_left_stylus_movement_T010.csv
guidance_experiment,apron-5dd5e23c-0d83-487a-a084-30aaae83cfb7,1,11,6,1,40.24714,40.76,,guidance_experiment/apron-5dd5e23c-0d83-487a-a084-30aaae83cfb7/S001/trackers/trainee_right_stylus_movement_T011.csv,guidance_experiment/apron-5dd5e23c-0d83-487a-a084-30aaae83cfb7/S001/trackers/mentor_left_stylus_movement_T011.csv
guidance_experiment,apron-5dd5e23c-0d83-487a-a084-30aaae83cfb7,1,12,6,2,42.08262,42.52,,guidance_experiment/apron-5dd5e23c-0d83-487a-a084-30aaae83cfb7/S001/trackers/trainee_right_stylus_movement_T012.csv,guidance_experiment/apron-5dd5e23c-0d83-487a-a084-30aaae83cfb7/S001/trackers/mentor_left_stylus_movement_T012.csv
