time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
28.74169,2.657608,2.05005,-0.616124,34.51137,166.0191,290.8858
28.74642,2.657608,2.05005,-0.616124,34.51137,166.0191,290.8858
28.75109,2.657608,2.05005,-0.616124,34.51137,166.0191,290.8858
28.75417,2.657608,2.05005,-0.616124,34.51137,166.0191,290.8858
28.75756,2.657608,2.05005,-0.616124,34.51137,166.0191,290.8858
28.76074,2.657608,2.05005,-0.616124,34.5098,165.9585,290.905
28.76442,2.657608,2.05005,-0.616124,34.5098,165.9585,290.905
28.76777,2.657608,2.05005,-0.616124,34.5098,165.9585,290.905
28.77067,2.657608,2.05005,-0.616124,34.5098,165.9585,290.905
28.77373,2.657608,2.05005,-0.616124,34.5098,165.9585,290.905
28.77697,2.657608,2.05005,-0.616124,34.5098,165.9585,290.905
28.77963,2.657608,2.05005,-0.616124,34.5098,165.9585,290.905
28.78267,2.657608,2.05005,-0.616124,34.5098,165.9585,290.8318
28.78607,2.657608,2.05005,-0.616124,34.5098,165.9585,290.8318
28.78882,2.657608,2.05005,-0.616124,34.5098,165.9585,290.8318
28.79187,2.657608,2.05005,-0.616124,34.5098,165.9585,290.8318
28.79473,2.657608,2.05005,-0.616124,34.5098,165.9585,290.8318
28.79741,2.657608,2.05005,-0.616124,34.5098,165.9585,290.8318
28.80046,2.657608,2.05005,-0.616124,34.51137,166.0191,290.8126
28.80409,2.657608,2.05005,-0.616124,34.51137,166.0191,290.8126
28.80735,2.657608,2.05005,-0.616124,34.51137,166.0191,290.8126
28.81027,2.657608,2.05005,-0.616124,34.51137,166.0191,290.8126
28.8131,2.657608,2.05005,-0.616124,34.51137,166.0191,290.8126
28.81639,2.657608,2.05005,-0.616124,34.51137,166.0191,290.8126
28.81911,2.657608,2.05005,-0.616124,34.51137,166.0191,290.8126
28.82174,2.657608,2.05005,-0.616124,34.5098,165.9585,290.905
28.82528,2.657608,2.05005,-0.616124,34.5098,165.9585,290.905
28.82784,2.657608,2.05005,-0.616124,34.5098,165.9585,290.905
28.83054,2.657608,2.05005,-0.616124,34.5098,165.9585,290.905
28.83376,2.657608,2.05005,-0.616124,34.5098,165.9585,290.905
28.83677,2.657608,2.05005,-0.616124,34.5098,165.9585,290.905
28.83957,2.657608,2.05005,-0.616124,34.5098,165.9585,290.905
28.84208,2.657608,2.05005,-0.616124,34.5098,165.9585,290.905
28.8454,2.657608,2.05005,-0.616124,34.5098,165.9585,290.905
28.84899,2.657608,2.05005,-0.616124,34.5098,165.9585,290.905
28.86551,2.657608,2.05005,-0.616124,34.51137,166.0191,290.8858
28.8727,2.657608,2.05005,-0.616124,34.51137,166.0191,290.8858
28.87498,2.657608,2.05005,-0.616124,34.51137,166.0191,290.8858
28.87754,2.657608,2.05005,-0.616124,34.51137,166.0191,290.8858
28.88065,2.657608,2.05005,-0.616124,34.51137,166.0191,290.8858
28.88498,2.657608,2.05005,-0.616124,34.51137,166.0191,290.8858
28.88766,2.657608,2.05005,-0.616124,34.51137,166.0191,290.8858
28.8904,2.657608,2.05005,-0.616124,34.51137,166.0191,290.8858
28.89295,2.657608,2.05005,-0.616124,34.51137,166.0191,290.8858
28.89545,2.657608,2.05005,-0.616124,34.51137,166.0191,290.8858
28.89857,2.657608,2.05005,-0.616124,34.51137,166.0191,290.8858
28.90145,2.657608,2.05005,-0.616124,34.5098,165.9585,290.905
28.90478,2.657608,2.05005,-0.616124,34.5098,165.9585,290.905
28.90721,2.657608,2.05005,-0.616124,34.5098,165.9585,290.905
28.90965,2.657608,2.05005,-0.616124,34.5098,165.9585,290.905
28.91237,2.657608,2.05005,-0.616124,34.5098,165.9585,290.905
28.91565,2.657608,2.05005,-0.616124,34.5098,165.9585,290.905
28.91854,2.657608,2.05005,-0.616124,34.5098,165.9585,290.905
28.92115,2.657608,2.05005,-0.616124,34.5098,165.9585,290.905
28.92473,2.657608,2.05005,-0.616124,34.5098,165.9585,290.905
28.92744,2.657608,2.05005,-0.616124,34.5098,165.9585,290.905
