time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
11.44404,0,1.244464,2.80571,335.5656,180.0514,210.1733
11.45036,0,1.244464,2.80571,335.5656,180.0514,210.1733
11.45788,0,1.244464,2.80571,335.5656,180.0514,210.1733
11.46421,0,1.244464,2.80571,335.6389,180.0515,210.1732
11.46882,0,1.244464,2.80571,335.6389,180.0515,210.1732
11.47358,0,1.244464,2.80571,335.6389,180.0515,210.1732
11.47819,0,1.244464,2.80571,335.6389,180.0515,210.1732
11.48272,0,1.244464,2.80571,335.5656,180.1077,210.2024
11.48717,0,1.244464,2.80571,335.5656,180.1077,210.2024
11.49217,0,1.244464,2.80571,335.5656,180.1077,210.2024
11.49717,0,1.244464,2.80571,335.5656,180.1077,210.2024
11.50116,0,1.244464,2.80571,335.6388,180.1077,210.2024
11.50637,0,1.244464,2.80571,335.6388,180.1077,210.2024
11.51093,0,1.244464,2.80571,335.6388,180.1077,210.2024
11.51589,0,1.244464,2.80571,335.6388,180.1077,210.2024
11.5204,0,1.244464,2.80571,335.6389,180.0515,210.1732
11.52576,0,1.244464,2.80571,335.6389,180.0515,210.1732
11.53019,0,1.244464,2.80571,335.6389,180.0515,210.1732
11.535,0,1.244464,2.80571,335.6389,180.0515,210.1732
11.5388,0,1.244464,2.80571,335.6389,180.0515,210.1732
11.54399,0,1.244464,2.80571,335.6389,180.0515,210.1732
11.54861,0,1.244464,2.80571,335.6389,180.0515,210.1732
11.55292,0,1.244464,2.80571,335.6389,180.0515,210.1732
11.55742,0,1.244464,2.80571,335.6389,180.0515,210.1732
11.56227,0,1.244464,2.80571,335.6389,180.0515,210.1732
11.56734,0,1.244464,2.80571,335.6389,180.0515,210.1732
11.57147,0,1.244464,2.80571,335.6389,180.0515,210.1732
11.5756,0,1.244464,2.80571,335.6389,180.0515,210.1732
11.57999,0,1.244464,2.80571,335.6389,180.0515,210.1732
11.58449,0,1.244464,2.80571,335.6389,180.0515,210.1732
11.58906,0,1.244464,2.80571,335.6389,180.0515,210.1732
11.59346,0,1.244464,2.80571,335.6389,180.0515,210.1732
11.5983,0,1.244464,2.80571,335.6389,180.0515,210.1732
11.60288,0,1.244464,2.80571,335.5656,180.0514,210.1733
11.60848,0,1.244464,2.80571,335.5656,180.0514,210.1733
11.61546,0,1.244464,2.80571,335.5656,180.0514,210.1733
11.61895,0,1.244464,2.80571,335.5656,180.0514,210.1733
11.62261,0,1.244464,2.80571,335.6389,180.0515,210.1732
11.62853,0,1.244464,2.80571,335.6389,180.0515,210.1732
11.63285,0,1.244464,2.80571,335.6389,180.0515,210.1732
11.63672,0,1.244464,2.80571,335.6389,180.0515,210.1732
11.64092,0,1.244464,2.80571,335.6389,180.0515,210.1732
11.64766,0,1.244464,2.80571,335.6389,180.0515,210.1732
11.65216,0,1.244464,2.80571,335.6389,180.0515,210.1732
11.65677,0,1.244464,2.80571,335.6389,180.0515,210.1732
11.66156,0,1.244464,2.80571,335.6389,180.0515,210.1732
11.66773,0,1.244464,2.80571,335.6389,180.0515,210.1732
11.67193,0,1.244464,2.80571,335.6389,180.0515,210.1732
11.67637,0,1.244464,2.80571,335.6389,180.0515,210.1732
11.68121,0,1.244464,2.80571,335.5656,180.1077,210.2024
11.6859,0,1.244464,2.80571,335.5656,180.1077,210.2024
