time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
11.44404,-3.394619,2.05005,-0.096026,305.811,129.355,70.45078
11.45036,-3.394619,2.05005,-0.096026,305.811,129.355,70.45078
11.45788,-3.394619,2.05005,-0.096026,305.811,129.355,70.45078
11.46421,-3.394619,2.05005,-0.096026,305.8281,129.2784,70.45759
11.46882,-3.394619,2.05005,-0.096026,305.8281,129.2784,70.45759
11.47358,-3.394619,2.05005,-0.096026,305.8281,129.2784,70.45759
11.47819,-3.394619,2.05005,-0.096026,305.8281,129.2784,70.45759
11.48272,-3.391776,2.05005,-0.097421,305.7426,129.2868,70.41375
11.48717,-3.391776,2.05005,-0.097421,305.7426,129.2868,70.41375
11.49217,-3.391776,2.05005,-0.097421,305.7426,129.2868,70.41375
11.49717,-3.391776,2.05005,-0.097421,305.7426,129.2868,70.41375
11.50116,-3.391776,2.05005,-0.097421,305.7597,129.2102,70.4938
11.50637,-3.391776,2.05005,-0.097421,305.7597,129.2102,70.4938
11.51093,-3.391776,2.05005,-0.097421,305.7597,129.2102,70.4938
11.51589,-3.391776,2.05005,-0.097421,305.7597,129.2102,70.4938
11.5204,-3.393456,2.05005,-0.093658,305.7479,129.342,70.37482
11.52576,-3.393456,2.05005,-0.093658,305.7479,129.342,70.37482
11.53019,-3.393456,2.05005,-0.093658,305.7479,129.342,70.37482
11.535,-3.393456,2.05005,-0.093658,305.7479,129.342,70.37482
11.5388,-3.393456,2.05005,-0.093658,305.7479,129.342,70.37482
11.54399,-3.392293,2.05005,-0.09129,305.7532,129.3735,70.40918
11.54861,-3.392293,2.05005,-0.09129,305.7532,129.3735,70.40918
11.55292,-3.392293,2.05005,-0.09129,305.7532,129.3735,70.40918
11.55742,-3.392293,2.05005,-0.09129,305.7532,129.3735,70.40918
11.56227,-3.39113,2.05005,-0.088921,305.8611,129.2962,70.3479
11.56734,-3.39113,2.05005,-0.088921,305.8611,129.2962,70.3479
11.57147,-3.39113,2.05005,-0.088921,305.8611,129.2962,70.3479
11.5756,-3.39113,2.05005,-0.088921,305.8611,129.2962,70.3479
11.57999,-3.39113,2.05005,-0.088921,305.8611,129.2962,70.3479
11.58449,-3.38829,2.05005,-0.090315,305.8611,129.2726,70.34792
11.58906,-3.38829,2.05005,-0.090315,305.8611,129.2726,70.34792
11.59346,-3.38829,2.05005,-0.090315,305.8611,129.2726,70.34792
11.5983,-3.38829,2.05005,-0.090315,305.8611,129.2726,70.34792
11.60288,-3.385449,2.05005,-0.091708,305.7756,129.2813,70.30386
11.60848,-3.38545,2.05005,-0.091708,305.7756,129.2813,70.30386
11.61546,-3.38545,2.05005,-0.091708,305.7756,129.2813,70.30386
11.61895,-3.38545,2.05005,-0.091708,305.7756,129.2813,70.30386
11.62261,-3.385449,2.05005,-0.091708,305.8441,129.3257,70.26788
11.62853,-3.38545,2.05005,-0.091708,305.8441,129.3257,70.26788
11.63285,-3.38545,2.05005,-0.091708,305.8441,129.3257,70.26788
11.63672,-3.38545,2.05005,-0.091708,305.8441,129.3257,70.26788
11.64092,-3.381448,2.05005,-0.09073,305.8494,129.3336,70.22905
11.64766,-3.381448,2.05005,-0.09073,305.8494,129.3336,70.22905
11.65216,-3.381448,2.05005,-0.09073,305.8494,129.3336,70.22905
11.65677,-3.381448,2.05005,-0.09073,305.8494,129.3336,70.22905
11.66156,-3.360931,2.05005,-0.091931,305.8655,129.2865,70.03946
11.66773,-3.360931,2.05005,-0.091931,305.8655,129.2865,70.03946
11.67193,-3.360931,2.05005,-0.091931,305.8655,129.2865,70.03946
11.67637,-3.360931,2.05005,-0.091931,305.8655,129.2865,70.03946
11.68121,-3.324474,2.05005,-0.089039,305.9036,129.2942,69.69504
11.6859,-3.324474,2.05005,-0.089039,305.9036,129.2942,69.69504
11.69034,-3.324474,2.05005,-0.089039,305.9036,129.2942,69.69504
11.69514,-3.324474,2.05005,-0.089039,305.9036,129.2942,69.69504
11.69902,-3.324474,2.05005,-0.089039,305.9036,129.2942,69.69504
11.70301,-3.266059,2.050049,-0.083495,306.0278,129.2727,69.34742
11.70856,-3.266058,2.050049,-0.083495,306.0278,129.2727,69.34742
11.71334,-3.266059,2.050049,-0.083495,306.0278,129.2727,69.34742
11.71751,-3.266059,2.050049,-0.083495,306.0278,129.2727,69.34742
11.72157,-3.186716,2.050048,-0.091368,305.9732,129.2388,68.86366
11.72643,-3.186716,2.050048,-0.091368,305.9732,129.2388,68.86366
11.73122,-3.186716,2.050048,-0.091368,305.9732,129.2388,68.86366
11.73562,-3.186716,2.050048,-0.091368,305.9732,129.2388,68.86366
11.73955,-3.186716,2.050048,-0.091368,305.9732,129.2388,68.86366
11.74415,-3.087848,2.050048,-0.100132,305.9597,129.2835,68.47851
11.74976,-3.087848,2.050048,-0.100132,305.9597,129.2835,68.47851
11.75444,-3.087848,2.050048,-0.100132,305.9597,129.2835,68.47851
11.75819,-3.087848,2.050048,-0.100132,305.9597,129.2835,68.47851
11.76281,-2.967051,2.050046,-0.118705,305.8141,129.4028,67.98781
11.76767,-2.967051,2.050046,-0.118705,305.8141,129.4028,67.98781
11.77189,-2.967051,2.050046,-0.118705,305.8141,129.4028,67.98781
11.77586,-2.967051,2.050046,-0.118705,305.8141,129.4028,67.98781
