time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
14.42587,-3.525407,2.05005,-0.073543,316.1789,148.8701,77.75385
14.43349,-3.525408,2.05005,-0.073543,316.1789,148.8701,77.75385
14.44396,-3.525408,2.05005,-0.073543,316.1071,148.8494,77.7682
14.45038,-3.525408,2.05005,-0.073543,316.1071,148.8494,77.7682
14.45256,-3.525408,2.05005,-0.073543,316.1071,148.8494,77.7682
14.45549,-3.525408,2.05005,-0.073543,316.1071,148.8494,77.7682
14.45813,-3.525407,2.05005,-0.073543,316.1071,148.8494,77.7682
14.46055,-3.525408,2.05005,-0.073543,316.1789,148.8701,77.75385
14.46608,-3.525408,2.05005,-0.073543,316.1789,148.8701,77.75385
14.46854,-3.525408,2.05005,-0.073543,316.1789,148.8701,77.75385
14.47146,-3.525407,2.05005,-0.073543,316.1789,148.8701,77.75385
14.47411,-3.525408,2.05005,-0.073543,316.1789,148.8701,77.75385
14.47693,-3.525408,2.05005,-0.073543,316.1789,148.8701,77.75385
14.48009,-3.525706,2.05005,-0.074126,316.1789,148.8701,77.75385
14.48526,-3.525706,2.05005,-0.074126,316.1789,148.8701,77.75385
14.48812,-3.525706,2.05005,-0.074126,316.1789,148.8701,77.75385
14.49068,-3.525706,2.05005,-0.074126,316.1789,148.8701,77.75385
14.49321,-3.525706,2.05005,-0.074126,316.1789,148.8701,77.75385
14.4967,-3.525706,2.05005,-0.074126,316.1789,148.8701,77.75385
14.50011,-3.525706,2.05005,-0.074126,316.1071,148.8494,77.84144
14.50695,-3.525706,2.05005,-0.074126,316.1071,148.8494,77.84144
14.50957,-3.525706,2.05005,-0.074126,316.1071,148.8494,77.84144
14.51215,-3.525706,2.05005,-0.074126,316.1071,148.8494,77.84144
14.51457,-3.525706,2.05005,-0.074126,316.1071,148.8494,77.84144
14.51728,-3.525706,2.05005,-0.074126,316.1071,148.8494,77.84144
14.52018,-3.522871,2.05005,-0.075575,316.1789,148.8466,77.75385
14.52556,-3.522871,2.05005,-0.075575,316.1789,148.8466,77.75385
14.52857,-3.522871,2.05005,-0.075575,316.1789,148.8466,77.75385
14.53128,-3.522871,2.05005,-0.075575,316.1789,148.8466,77.75385
14.53382,-3.522871,2.05005,-0.075575,316.1789,148.8466,77.75385
14.53634,-3.522871,2.05005,-0.075575,316.1789,148.8466,77.75385
14.53949,-3.522871,2.05005,-0.075575,316.1789,148.8466,77.75385
14.54249,-3.522871,2.05005,-0.075575,316.1789,148.8466,77.8271
14.54608,-3.522871,2.05005,-0.075575,316.1789,148.8466,77.8271
14.54901,-3.522871,2.05005,-0.075575,316.1789,148.8466,77.8271
14.55206,-3.522871,2.05005,-0.075575,316.1789,148.8466,77.8271
14.55533,-3.522871,2.05005,-0.075575,316.1789,148.8466,77.8271
14.5586,-3.522871,2.05005,-0.075575,316.1789,148.8466,77.8271
14.5616,-3.522871,2.05005,-0.075575,316.1789,148.8466,77.8271
14.56537,-3.522871,2.05005,-0.075575,316.1789,148.8466,77.8271
14.56793,-3.522871,2.05005,-0.075575,316.1789,148.8466,77.8271
14.57062,-3.522871,2.05005,-0.075575,316.1789,148.8466,77.8271
14.57409,-3.522871,2.05005,-0.075575,316.1789,148.8466,77.8271
14.57767,-3.522871,2.05005,-0.075575,316.1789,148.8466,77.8271
14.581,-3.522871,2.05005,-0.075575,316.1789,148.8466,77.8271
14.59108,-3.522871,2.05005,-0.075575,316.1789,148.8466,77.8271
14.59826,-3.522871,2.05005,-0.075575,316.1789,148.8466,77.8271
14.60182,-3.522871,2.05005,-0.075575,316.1907,148.7676,77.83727
14.60604,-3.522871,2.05005,-0.075575,316.1907,148.7676,77.83727
14.60822,-3.522871,2.05005,-0.075575,316.1907,148.7676,77.83727
14.61078,-3.522871,2.05005,-0.075575,316.1907,148.7676,77.83727
14.61343,-3.522871,2.05005,-0.075575,316.1907,148.7676,77.83727
14.6157,-3.522871,2.05005,-0.075575,316.1907,148.7676,77.83727
14.61823,-3.522871,2.05005,-0.075575,316.1907,148.7676,77.83727
14.62103,-3.520037,2.05005,-0.077023,316.1789,148.823,77.90034
14.62531,-3.520036,2.05005,-0.077023,316.1789,148.823,77.90034
14.62795,-3.520037,2.05005,-0.077023,316.1789,148.823,77.90034
14.63418,-3.520037,2.05005,-0.077023,316.1789,148.823,77.90034
14.63652,-3.520037,2.05005,-0.077023,316.1789,148.823,77.90034
14.63988,-3.520037,2.05005,-0.077023,316.1789,148.823,77.90034
14.64323,-3.520037,2.05005,-0.077023,316.1788,148.823,77.8271
14.64953,-3.520037,2.05005,-0.077023,316.1788,148.823,77.8271
14.65227,-3.520037,2.05005,-0.077023,316.1788,148.823,77.8271
14.65523,-3.520037,2.05005,-0.077023,316.1788,148.823,77.8271
14.65768,-3.520037,2.05005,-0.077023,316.1788,148.823,77.8271
14.66003,-3.517202,2.05005,-0.07847,316.1789,148.7994,77.8271
14.66655,-3.517201,2.05005,-0.07847,316.1789,148.7994,77.8271
14.6692,-3.517202,2.05005,-0.07847,316.1789,148.7994,77.8271
14.67246,-3.517201,2.05005,-0.07847,316.1789,148.7994,77.8271
14.67482,-3.517202,2.05005,-0.07847,316.1789,148.7994,77.8271
14.67753,-3.517202,2.05005,-0.07847,316.1789,148.7994,77.8271
14.68025,-3.511529,2.05005,-0.08136,316.1788,148.7523,77.8271
14.68504,-3.511529,2.05005,-0.08136,316.1788,148.7523,77.8271
14.68835,-3.511529,2.05005,-0.08136,316.1788,148.7523,77.8271
14.69115,-3.511529,2.05005,-0.08136,316.1788,148.7523,77.8271
14.69368,-3.511529,2.05005,-0.08136,316.1788,148.7523,77.8271
14.6972,-3.511529,2.05005,-0.08136,316.1788,148.7523,77.8271
14.7002,-3.505854,2.05005,-0.084246,316.1789,148.7052,77.90034
14.70694,-3.505855,2.05005,-0.084246,316.1789,148.7052,77.90034
14.70937,-3.505854,2.05005,-0.084246,316.1789,148.7052,77.90034
14.71194,-3.505854,2.05005,-0.084246,316.1789,148.7052,77.90034
14.71418,-3.505855,2.05005,-0.084246,316.1789,148.7052,77.90034
14.71677,-3.505854,2.05005,-0.084246,316.1789,148.7052,77.90034
14.71919,-3.505854,2.05005,-0.084246,316.1789,148.7052,77.90034
14.72216,-3.496133,2.05005,-0.086185,316.1793,148.7325,77.71619
14.72574,-3.496132,2.05005,-0.086185,316.1793,148.7325,77.71619
14.72861,-3.496133,2.05005,-0.086185,316.1793,148.7325,77.71619
14.73117,-3.496133,2.05005,-0.086185,316.1793,148.7325,77.71619
14.73383,-3.496133,2.05005,-0.086185,316.1793,148.7325,77.71619
14.73717,-3.496133,2.05005,-0.086185,316.1793,148.7325,77.71619
14.7395,-3.496133,2.05005,-0.086185,316.1793,148.7325,77.71619
14.74244,-3.476247,2.05005,-0.09622,316.1557,148.7256,77.76901
14.74653,-3.476247,2.05005,-0.09622,316.1557,148.7256,77.76901
14.7487,-3.476247,2.05005,-0.09622,316.1557,148.7256,77.76901
14.75145,-3.476247,2.05005,-0.09622,316.1557,148.7256,77.76901
14.75436,-3.476247,2.05005,-0.09622,316.1557,148.7256,77.76901
14.75678,-3.476247,2.05005,-0.09622,316.1557,148.7256,77.76901
14.75949,-3.476247,2.05005,-0.09622,316.1557,148.7256,77.76901
14.76182,-3.450637,2.05005,-0.109038,316.1921,148.7947,77.72398
14.76604,-3.450637,2.05005,-0.109038,316.1921,148.7947,77.72398
14.7685,-3.450637,2.05005,-0.109038,316.1921,148.7947,77.72398
14.77124,-3.450637,2.05005,-0.109038,316.1921,148.7947,77.72398
14.77464,-3.450637,2.05005,-0.109038,316.1921,148.7947,77.72398
14.77821,-3.450637,2.05005,-0.109038,316.1921,148.7947,77.72398
14.78352,-3.424979,2.05005,-0.12176,316.0851,148.7758,77.78041
14.7867,-3.424979,2.05005,-0.12176,316.0851,148.7758,77.78041
14.78997,-3.42498,2.05005,-0.12176,316.0851,148.7758,77.78041
14.79285,-3.424979,2.05005,-0.12176,316.0851,148.7758,77.78041
14.7957,-3.424979,2.05005,-0.12176,316.0851,148.7758,77.78041
14.79789,-3.424979,2.05005,-0.12176,316.0851,148.7758,77.78041
14.79997,-3.424979,2.05005,-0.12176,316.0851,148.7758,77.78041
14.80204,-3.390697,2.05005,-0.138576,316.11,148.8301,77.65129
14.80635,-3.390697,2.05005,-0.138576,316.11,148.8301,77.65129
14.80888,-3.390697,2.05005,-0.138576,316.11,148.8301,77.65129
14.81133,-3.390697,2.05005,-0.138576,316.11,148.8301,77.65129
14.81395,-3.390697,2.05005,-0.138576,316.11,148.8301,77.65129
14.81675,-3.390697,2.05005,-0.138576,316.11,148.8301,77.65129
14.81946,-3.390697,2.05005,-0.138576,316.11,148.8301,77.65129
14.82223,-3.350596,2.05005,-0.15798,316.1351,148.861,77.59513
14.82554,-3.350596,2.05005,-0.15798,316.1351,148.861,77.59513
14.8282,-3.350596,2.05005,-0.15798,316.1351,148.861,77.59513
