time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
57.06218,-0.02262,2.05005,-0.058868,342.2022,158.7586,347.1097
57.06663,-0.02262,2.05005,-0.058868,342.2022,158.7586,347.1097
57.07008,-0.02262,2.05005,-0.058868,342.2022,158.7586,347.1097
57.07277,-0.02262,2.05005,-0.058868,342.2022,158.7586,347.1097
57.07518,-0.02262,2.05005,-0.058868,342.2022,158.7586,347.1097
57.07765,-0.02262,2.05005,-0.058868,342.2022,158.7586,347.1097
57.08018,-0.02262,2.05005,-0.058868,342.2022,158.7586,347.183
57.08632,-0.02262,2.05005,-0.058868,342.2022,158.7586,347.183
57.08898,-0.02262,2.05005,-0.058868,342.2022,158.7586,347.183
57.09139,-0.02262,2.05005,-0.058868,342.2022,158.7586,347.183
57.09385,-0.02262,2.05005,-0.058868,342.2022,158.7586,347.183
57.09649,-0.02262,2.05005,-0.058868,342.2022,158.7586,347.183
57.09898,-0.02262,2.05005,-0.058868,342.2022,158.7586,347.183
57.10158,-0.02262,2.05005,-0.058868,342.2022,158.7586,347.183
57.10653,-0.02262,2.05005,-0.058868,342.2022,158.7586,347.183
57.10915,-0.02262,2.05005,-0.058868,342.2022,158.7586,347.183
57.11184,-0.02262,2.05005,-0.058868,342.2022,158.7586,347.183
57.11466,-0.02262,2.05005,-0.058868,342.2022,158.7586,347.183
57.1182,-0.02262,2.05005,-0.058868,342.2022,158.7586,347.183
57.12089,-0.02262,2.05005,-0.058868,342.2772,158.686,347.114
57.12572,-0.02262,2.05005,-0.058868,342.2772,158.686,347.114
57.12859,-0.02262,2.05005,-0.058868,342.2772,158.686,347.114
57.13137,-0.02262,2.05005,-0.058868,342.2772,158.686,347.114
57.13477,-0.02262,2.05005,-0.058868,342.2772,158.686,347.114
57.13815,-0.02262,2.05005,-0.058868,342.2772,158.686,347.114
57.14111,-0.02262,2.05005,-0.058868,342.2022,158.7586,347.183
57.14582,-0.02262,2.05005,-0.058868,342.2022,158.7586,347.183
57.1492,-0.02262,2.05005,-0.058868,342.2022,158.7586,347.183
57.15299,-0.02262,2.05005,-0.058868,342.2022,158.7586,347.183
57.15844,-0.02262,2.05005,-0.058868,342.2022,158.7586,347.183
57.16104,-0.02262,2.05005,-0.058868,342.2022,158.7586,347.1097
57.16564,-0.02262,2.05005,-0.058868,342.2022,158.7586,347.1097
57.16857,-0.02262,2.05005,-0.058868,342.2022,158.7586,347.1097
57.17174,-0.02262,2.05005,-0.058868,342.2022,158.7586,347.1097
57.17427,-0.02262,2.05005,-0.058868,342.2022,158.7586,347.1097
57.17696,-0.02262,2.05005,-0.058868,342.2022,158.7586,347.1097
57.17969,-0.02262,2.05005,-0.058868,342.2022,158.7586,347.1097
57.18275,-0.02262,2.05005,-0.058868,342.2022,158.7586,347.183
57.18721,-0.02262,2.05005,-0.058868,342.2022,158.7586,347.183
57.19308,-0.02262,2.05005,-0.058868,342.2022,158.7586,347.183
57.19884,-0.02262,2.05005,-0.058868,342.2022,158.7586,347.183
57.20102,-0.02262,2.05005,-0.058868,342.204,158.684,347.1878
57.20562,-0.02262,2.05005,-0.058868,342.204,158.684,347.1878
57.20787,-0.02262,2.05005,-0.058868,342.204,158.684,347.1878
57.2107,-0.02262,2.05005,-0.058868,342.204,158.684,347.1878
