experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,interval_time,path_number,trainee_right_stylus_movement_location_0,mentor_left_stylus_movement_location_0
guidance_experiment,body-dbd06466-3aef-4b2b-86d2-944479c959e0,1,1,1,1,14.42587,25.14,5,1,guidance_experiment/body-dbd06466-3aef-4b2b-86d2-944479c959e0/S001/trackers/trainee_right_stylus_movement_T001.csv,guidance_experiment/body-dbd06466-3aef-4b2b-86d2-944479c959e0/S001/trackers/mentor_left_stylus_movement_T001.csv
guidance_experiment,body-dbd06466-3aef-4b2b-86d2-944479c959e0,1,2,1,2,28.44224,47.64,5,1,guidance_experiment/body-dbd06466-3aef-4b2b-86d2-944479c959e0/S001/trackers/trainee_right_stylus_movement_T002.csv,guidance_experiment/body-dbd06466-3aef-4b2b-86d2-944479c959e0/S001/trackers/mentor_left_stylus_movement_T002.csv
guidance_experiment,body-dbd06466-3aef-4b2b-86d2-944479c959e0,1,3,2,1,50.64592,52.98,5,2,guidance_experiment/body-dbd06466-3aef-4b2b-86d2-944479c959e0/S001/trackers/trainee_right_stylus_movement_T003.csv,guidance_experiment/body-dbd06466-3aef-4b2b-86d2-944479c959e0/S001/trackers/mentor_left_stylus_movement_T003.csv
guidance_experiment,body-dbd06466-3aef-4b2b-86d2-944479c959e0,1,4,2,2,57.06218,59.2,5,2,guidance_experiment/body-dbd06466-3aef-4b2b-86d2-944479c959e0/S001/trackers/trainee_right_stylus_movement_T004.csv,guidance_experiment/body-dbd06466-3aef-4b2b-86d2-944479c959e0/S001/trackers/mentor_left_stylus_movement_T004.csv
guidance_experiment,body-dbd06466-3aef-4b2b-86d2-944479c959e0,1,5,3,1,64.86256,67.92,6,3,guidance_experiment/body-dbd06466-3aef-4b2b-86d2-944479c959e0/S001/trackers/trainee_right_stylus_movement_T005.csv,guidance_experiment/body-dbd06466-3aef-4b2b-86d2-944479c959e0/S001/trackers/mentor_left_stylus_movement_T005.csv
guidance_experiment,body-dbd06466-3aef-4b2b-86d2-944479c959e0,1,6,3,2,71.44122,73,6,3,guidance_experiment/body-dbd06466-3aef-4b2b-86d2-944479c959e0/S001/trackers/trainee_right_stylus_movement_T006.csv,guidance_experiment/body-dbd06466-3aef-4b2b-86d2-944479c959e0/S001/trackers/mentor_left_stylus_movement_T006.csv
guidance_experiment,body-dbd06466-3aef-4b2b-86d2-944479c959e0,1,7,4,1,75.16088,80.36,6,1,guidance_experiment/body-dbd06466-3aef-4b2b-86d2-944479c959e0/S001/trackers/trainee_right_stylus_movement_T007.csv,guidance_experiment/body-dbd06466-3aef-4b2b-86d2-944479c959e0/S001/trackers/mentor_left_stylus_movement_T007.csv
guidance_experiment,body-dbd06466-3aef-4b2b-86d2-944479c959e0,1,8,4,2,82.34259,83.82,6,1,guidance_experiment/body-dbd06466-3aef-4b2b-86d2-944479c959e0/S001/trackers/trainee_right_stylus_movement_T008.csv,guidance_experiment/body-dbd06466-3aef-4b2b-86d2-944479c959e0/S001/trackers/mentor_left_stylus_movement_T008.csv
guidance_experiment,body-dbd06466-3aef-4b2b-86d2-944479c959e0,1,9,5,1,86.76154,88.1,7,2,guidance_experiment/body-dbd06466-3aef-4b2b-86d2-944479c959e0/S001/trackers/trainee_right_stylus_movement_T009.csv,guidance_experiment/body-dbd06466-3aef-4b2b-86d2-944479c959e0/S001/trackers/mentor_left_stylus_movement_T009.csv
guidance_experiment,body-dbd06466-3aef-4b2b-86d2-944479c959e0,1,10,5,2,90.60719,91.9,7,2,guidance_experiment/body-dbd06466-3aef-4b2b-86d2-944479c959e0/S001/trackers/trainee_right_stylus_movement_T010.csv,guidance_experiment/body-dbd06466-3aef-4b2b-86d2-944479c959e0/S001/trackers/mentor_left_stylus_movement_T010.csv
guidance_experiment,body-dbd06466-3aef-4b2b-86d2-944479c959e0,1,11,6,1,94.86633,96.25999,7,3,guidance_experiment/body-dbd06466-3aef-4b2b-86d2-944479c959e0/S001/trackers/trainee_right_stylus_movement_T011.csv,guidance_experiment/body-dbd06466-3aef-4b2b-86d2-944479c959e0/S001/trackers/mentor_left_stylus_movement_T011.csv
guidance_experiment,body-dbd06466-3aef-4b2b-86d2-944479c959e0,1,12,6,2,99.44513,101.16,7,3
,guidance_experiment/body-dbd06466-3aef-4b2b-86d2-944479c959e0/S001/trackers/trainee_right_stylus_movement_T012.csv,guidance_experiment/body-dbd06466-3aef-4b2b-86d2-944479c959e0/S001/trackers/mentor_left_stylus_movement_T012.csv
