time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
41.88533,-3.471272,2.05005,0.018489,317.8529,151.3008,49.54892
41.88897,-3.471272,2.05005,0.018489,317.8529,151.3008,49.54892
41.89704,-3.471272,2.05005,0.018489,317.8529,151.3008,49.54892
41.8992,-3.471272,2.05005,0.018489,317.8529,151.3008,49.54892
41.90192,-3.471272,2.05005,0.018489,317.8393,151.3806,49.53637
41.90688,-3.471272,2.05005,0.018489,317.8393,151.3806,49.53637
41.91014,-3.471272,2.05005,0.018489,317.8393,151.3806,49.53637
41.91278,-3.471272,2.05005,0.018489,317.8393,151.3806,49.53637
41.91514,-3.471272,2.05005,0.018489,317.8393,151.3806,49.53637
41.91757,-3.471272,2.05005,0.018489,317.8393,151.3806,49.53637
41.92073,-3.468477,2.05005,0.017063,317.8393,151.3571,49.53636
41.9258,-3.468477,2.05005,0.017063,317.8393,151.3571,49.53636
41.92847,-3.468477,2.05005,0.017063,317.8393,151.3571,49.53636
41.93111,-3.468477,2.05005,0.017063,317.8393,151.3571,49.53636
41.93376,-3.468476,2.05005,0.017063,317.8393,151.3571,49.53636
41.93713,-3.468477,2.05005,0.017063,317.8393,151.3571,49.53636
41.94052,-3.467274,2.05005,0.019421,317.8524,151.3745,49.51036
41.94526,-3.467274,2.05005,0.019421,317.8524,151.3745,49.51036
41.94773,-3.467274,2.05005,0.019421,317.8524,151.3745,49.51036
41.95042,-3.467274,2.05005,0.019421,317.8524,151.3745,49.51036
41.95376,-3.467274,2.05005,0.019421,317.8524,151.3745,49.51036
41.95673,-3.467274,2.05005,0.019421,317.8524,151.3745,49.51036
41.95947,-3.467274,2.05005,0.019421,317.8524,151.3745,49.51036
41.96221,-3.464963,2.05005,0.017043,317.8524,151.351,49.51035
41.96631,-3.464963,2.05005,0.017043,317.8524,151.351,49.51035
41.96895,-3.464963,2.05005,0.017043,317.8524,151.351,49.51035
41.97272,-3.464963,2.05005,0.017043,317.8524,151.351,49.51035
41.97563,-3.464963,2.05005,0.017043,317.8524,151.351,49.51035
41.97834,-3.464963,2.05005,0.017043,317.8524,151.351,49.51035
41.98119,-3.462167,2.05005,0.015619,317.8388,151.4072,49.42455
41.98669,-3.462167,2.05005,0.015619,317.8388,151.4072,49.42455
41.98962,-3.462167,2.05005,0.015619,317.8388,151.4072,49.42455
41.99247,-3.462167,2.05005,0.015619,317.8388,151.4072,49.42455
41.99511,-3.462167,2.05005,0.015619,317.8388,151.4072,49.42455
41.99771,-3.462167,2.05005,0.015619,317.8388,151.4072,49.42455
42.00024,-3.459369,2.05005,0.014196,317.9238,151.326,49.49552
42.00628,-3.459369,2.05005,0.014196,317.9238,151.326,49.49552
42.00917,-3.45937,2.05005,0.014196,317.9238,151.326,49.49552
42.01221,-3.459369,2.05005,0.014196,317.9238,151.326,49.49552
42.0151,-3.459369,2.05005,0.014196,317.9238,151.326,49.49552
42.01816,-3.459369,2.05005,0.014196,317.9238,151.326,49.49552
42.02113,-3.456572,2.05005,0.012774,317.9238,151.3024,49.49552
42.02632,-3.456572,2.05005,0.012774,317.9238,151.3024,49.49552
42.02989,-3.456572,2.05005,0.012774,317.9238,151.3024,49.49552
42.03411,-3.456572,2.05005,0.012774,317.9238,151.3024,49.49552
42.03957,-3.456572,2.05005,0.012774,317.9238,151.3024,49.49552
42.04211,-3.450974,2.05005,0.009934,317.9238,151.2553,49.49553
42.04626,-3.450974,2.05005,0.009934,317.9238,151.2553,49.49553
42.04903,-3.450974,2.05005,0.009934,317.9238,151.2553,49.49553
42.05166,-3.450974,2.05005,0.009934,317.9238,151.2553,49.49553
42.05479,-3.450974,2.05005,0.009934,317.9238,151.2553,49.49553
42.05716,-3.450974,2.05005,0.009934,317.9238,151.2553,49.49553
42.05951,-3.450974,2.05005,0.009934,317.9238,151.2553,49.49553
42.06269,-3.445375,2.05005,0.007098,317.9238,151.2082,49.49552
42.06676,-3.445374,2.05005,0.007098,317.9238,151.2082,49.49552
42.06914,-3.445375,2.05005,0.007098,317.9238,151.2082,49.49552
42.07182,-3.445374,2.05005,0.007098,317.9238,151.2082,49.49552
42.07498,-3.445375,2.05005,0.007098,317.9238,151.2082,49.49552
42.07792,-3.445375,2.05005,0.007098,317.9238,151.2082,49.49552
42.08109,-3.431365,2.05005,0.000029,318.0088,151.0563,49.49326
42.0865,-3.431365,2.05005,0.000029,318.0088,151.0563,49.49326
42.08934,-3.431365,2.05005,0.000029,318.0088,151.0563,49.49326
42.09205,-3.431365,2.05005,0.000029,318.0088,151.0563,49.49326
42.0985,-3.431365,2.05005,0.000029,318.0088,151.0563,49.49326
42.1036,-3.410579,2.05005,-0.014546,318.0802,150.8663,49.55176
42.10976,-3.410579,2.05005,-0.014546,318.0802,150.8663,49.55176
42.11221,-3.41058,2.05005,-0.014546,318.0802,150.8663,49.55176
42.11485,-3.410579,2.05005,-0.014546,318.0802,150.8663,49.55176
42.11788,-3.410579,2.05005,-0.014546,318.0802,150.8663,49.55176
42.1211,-3.374009,2.05005,-0.03268,318.0976,150.8275,49.59856
42.12641,-3.374009,2.05005,-0.03268,318.0976,150.8275,49.59856
42.12882,-3.374009,2.05005,-0.03268,318.0976,150.8275,49.59856
42.13145,-3.374009,2.05005,-0.03268,318.0976,150.8275,49.59856
42.13382,-3.374009,2.05005,-0.03268,318.0976,150.8275,49.59856
42.13643,-3.374009,2.05005,-0.03268,318.0976,150.8275,49.59856
42.13887,-3.374009,2.05005,-0.03268,318.0976,150.8275,49.59856
42.14145,-3.320388,2.05005,-0.058831,318.1283,150.6411,49.76577
42.14623,-3.320388,2.05005,-0.058831,318.1283,150.6411,49.76577
42.1487,-3.320388,2.05005,-0.058831,318.1283,150.6411,49.76577
42.15111,-3.320388,2.05005,-0.058831,318.1283,150.6411,49.76577
42.15411,-3.320388,2.05005,-0.058831,318.1283,150.6411,49.76577
42.15649,-3.320388,2.05005,-0.058831,318.1283,150.6411,49.76577
42.15976,-3.320388,2.05005,-0.058831,318.1283,150.6411,49.76577
42.16243,-3.243841,2.050049,-0.095271,318.1052,150.586,49.8084
42.16565,-3.243841,2.050049,-0.095271,318.1052,150.586,49.8084
42.16814,-3.243841,2.050049,-0.095271,318.1052,150.586,49.8084
42.17112,-3.243841,2.050049,-0.095271,318.1052,150.586,49.8084
42.17445,-3.243841,2.050049,-0.095271,318.1052,150.586,49.8084
42.17709,-3.243841,2.050049,-0.095271,318.1052,150.586,49.8084
42.17973,-3.243841,2.050049,-0.095271,318.1052,150.586,49.8084
42.18196,-3.126842,2.050048,-0.148974,318.0162,150.6023,49.71098
42.18639,-3.126842,2.050048,-0.148974,318.0162,150.6023,49.71098
42.18911,-3.126842,2.050048,-0.148974,318.0162,150.6023,49.71098
42.19225,-3.126842,2.050048,-0.148974,318.0162,150.6023,49.71098
42.1946,-3.126842,2.050048,-0.148974,318.0162,150.6023,49.71098
42.1973,-3.126842,2.050048,-0.148974,318.0162,150.6023,49.71098
42.19987,-3.126842,2.050048,-0.148974,318.0162,150.6023,49.71098
42.20267,-2.997407,2.050048,-0.205637,317.8446,150.6098,49.6105
42.20608,-2.997407,2.050048,-0.205637,317.8446,150.6098,49.6105
42.20852,-2.997407,2.050048,-0.205637,317.8446,150.6098,49.6105
42.21112,-2.997407,2.050048,-0.205637,317.8446,150.6098,49.6105
42.2135,-2.997407,2.050048,-0.205637,317.8446,150.6098,49.6105
