time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
20.46189,2.493033,2.05005,-0.802013,341.7203,177.9265,352.8862
20.46634,2.493033,2.05005,-0.802013,341.7203,177.9265,352.8862
20.46946,2.493033,2.05005,-0.802013,341.7203,177.9265,352.8862
20.47519,2.493033,2.05005,-0.802013,341.7203,177.9265,352.8862
20.47773,2.493033,2.05005,-0.802013,341.7203,177.9265,352.8862
20.48021,2.493033,2.05005,-0.802013,341.7934,177.9205,352.8881
20.48762,2.493033,2.05005,-0.802013,341.7934,177.9205,352.8881
20.49658,2.493033,2.05005,-0.802013,341.7934,177.9205,352.8881
20.49968,2.493033,2.05005,-0.802013,341.7934,177.9205,352.8881
20.5022,2.493033,2.05005,-0.802013,341.7934,177.9205,352.9614
20.50663,2.493033,2.05005,-0.802013,341.7934,177.9205,352.9614
20.50907,2.493033,2.05005,-0.802013,341.7934,177.9205,352.9614
20.51131,2.493033,2.05005,-0.802013,341.7934,177.9205,352.9614
20.51377,2.493033,2.05005,-0.802013,341.7934,177.9205,352.9614
20.51623,2.493033,2.05005,-0.802013,341.7934,177.9205,352.9614
20.5189,2.493033,2.05005,-0.802013,341.7934,177.9205,352.9614
20.52172,2.496166,2.05005,-0.800987,341.7934,177.8969,352.8881
20.52647,2.496166,2.05005,-0.800987,341.7934,177.8969,352.8881
20.52876,2.496166,2.05005,-0.800987,341.7934,177.8969,352.8881
20.53149,2.496166,2.05005,-0.800987,341.7934,177.8969,352.8881
20.53385,2.496166,2.05005,-0.800987,341.7934,177.8969,352.8881
20.53644,2.496166,2.05005,-0.800987,341.7934,177.8969,352.8881
20.53911,2.496166,2.05005,-0.800987,341.7934,177.8969,352.8881
20.54187,2.496166,2.05005,-0.800987,341.7934,177.8969,352.8881
20.546,2.496166,2.05005,-0.800987,341.7934,177.8969,352.8881
20.54828,2.496166,2.05005,-0.800987,341.7934,177.8969,352.8881
20.55123,2.496166,2.05005,-0.800987,341.7934,177.8969,352.8881
20.55414,2.496166,2.05005,-0.800987,341.7934,177.8969,352.8881
20.5562,2.496166,2.05005,-0.800987,341.7934,177.8969,352.8881
20.55858,2.496166,2.05005,-0.800987,341.7934,177.8969,352.8881
20.56124,2.496166,2.05005,-0.800987,341.7877,177.8201,352.9823
20.56559,2.496166,2.05005,-0.800987,341.7877,177.8201,352.9823
20.56817,2.496166,2.05005,-0.800987,341.7877,177.8201,352.9823
20.57115,2.496166,2.05005,-0.800987,341.7877,177.8201,352.9823
20.57386,2.496166,2.05005,-0.800987,341.7877,177.8201,352.9823
20.5765,2.496166,2.05005,-0.800987,341.7877,177.8201,352.9823
20.57894,2.496166,2.05005,-0.800987,341.7877,177.8201,352.9823
20.58172,2.496166,2.05005,-0.800987,341.7877,177.8201,352.9091
20.58583,2.496166,2.05005,-0.800987,341.7877,177.8201,352.9091
20.58842,2.496166,2.05005,-0.800987,341.7877,177.8201,352.9091
20.59124,2.496166,2.05005,-0.800987,341.7877,177.8201,352.9091
20.59379,2.496166,2.05005,-0.800987,341.7877,177.8201,352.9091
20.59596,2.496166,2.05005,-0.800987,341.7877,177.8201,352.9091
20.59912,2.496166,2.05005,-0.800987,341.7877,177.8201,352.9091
20.60162,2.496166,2.05005,-0.800987,341.7934,177.8969,352.8881
20.60583,2.496166,2.05005,-0.800987,341.7934,177.8969,352.8881
20.60821,2.496166,2.05005,-0.800987,341.7934,177.8969,352.8881
20.61078,2.496166,2.05005,-0.800987,341.7934,177.8969,352.8881
20.61348,2.496166,2.05005,-0.800987,341.7934,177.8969,352.8881
20.61658,2.496166,2.05005,-0.800987,341.7934,177.8969,352.8881
20.61947,2.496166,2.05005,-0.800987,341.7934,177.8969,352.8881
20.62205,2.496166,2.05005,-0.800987,341.7877,177.8201,352.9823
20.6266,2.496166,2.05005,-0.800987,341.7877,177.8201,352.9823
20.62936,2.496166,2.05005,-0.800987,341.7877,177.8201,352.9823
20.63217,2.496166,2.05005,-0.800987,341.7877,177.8201,352.9823
20.63452,2.496166,2.05005,-0.800987,341.7877,177.8201,352.9823
20.63688,2.496166,2.05005,-0.800987,341.7877,177.8201,352.9823
20.63929,2.496166,2.05005,-0.800987,341.7877,177.8201,352.9823
20.64131,2.496166,2.05005,-0.800987,341.7877,177.8201,352.9823
20.64636,2.496166,2.05005,-0.800987,341.7877,177.8201,352.9823
20.64878,2.496166,2.05005,-0.800987,341.7877,177.8201,352.9823
20.65141,2.496166,2.05005,-0.800987,341.7877,177.8201,352.9823
20.65395,2.496166,2.05005,-0.800987,341.7877,177.8201,352.9823
20.65648,2.496166,2.05005,-0.800987,341.7877,177.8201,352.9823
