experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,interval_time,path_number,trainee_right_stylus_movement_location_0,mentor_left_stylus_movement_location_0
guidance_experiment,bring-daac188f-5113-4ee1-9c41-1d43c807cdaf,1,1,1,1,11.94121,16.48,5,1,guidance_experiment/bring-daac188f-5113-4ee1-9c41-1d43c807cdaf/S001/trackers/trainee_right_stylus_movement_T001.csv,guidance_experiment/bring-daac188f-5113-4ee1-9c41-1d43c807cdaf/S001/trackers/mentor_left_stylus_movement_T001.csv
guidance_experiment,bring-daac188f-5113-4ee1-9c41-1d43c807cdaf,1,2,1,2,20.46189,22.46,5,1,guidance_experiment/bring-daac188f-5113-4ee1-9c41-1d43c807cdaf/S001/trackers/trainee_right_stylus_movement_T002.csv,guidance_experiment/bring-daac188f-5113-4ee1-9c41-1d43c807cdaf/S001/trackers/mentor_left_stylus_movement_T002.csv
guidance_experiment,bring-daac188f-5113-4ee1-9c41-1d43c807cdaf,1,3,2,1,24.10245,27.48,5,2,guidance_experiment/bring-daac188f-5113-4ee1-9c41-1d43c807cdaf/S001/trackers/trainee_right_stylus_movement_T003.csv,guidance_experiment/bring-daac188f-5113-4ee1-9c41-1d43c807cdaf/S001/trackers/mentor_left_stylus_movement_T003.csv
guidance_experiment,bring-daac188f-5113-4ee1-9c41-1d43c807cdaf,1,4,2,2,29.18636,30.28,5,2,guidance_experiment/bring-daac188f-5113-4ee1-9c41-1d43c807cdaf/S001/trackers/trainee_right_stylus_movement_T004.csv,guidance_experiment/bring-daac188f-5113-4ee1-9c41-1d43c807cdaf/S001/trackers/mentor_left_stylus_movement_T004.csv
guidance_experiment,bring-daac188f-5113-4ee1-9c41-1d43c807cdaf,1,5,3,1,31.98262,32.92,6,3,guidance_experiment/bring-daac188f-5113-4ee1-9c41-1d43c807cdaf/S001/trackers/trainee_right_stylus_movement_T005.csv,guidance_experiment/bring-daac188f-5113-4ee1-9c41-1d43c807cdaf/S001/trackers/mentor_left_stylus_movement_T005.csv
guidance_experiment,bring-daac188f-5113-4ee1-9c41-1d43c807cdaf,1,6,3,2,35.94248,36.5,6,3,guidance_experiment/bring-daac188f-5113-4ee1-9c41-1d43c807cdaf/S001/trackers/trainee_right_stylus_movement_T006.csv,guidance_experiment/bring-daac188f-5113-4ee1-9c41-1d43c807cdaf/S001/trackers/mentor_left_stylus_movement_T006.csv
guidance_experiment,bring-daac188f-5113-4ee1-9c41-1d43c807cdaf,1,7,4,1,37.74559,38.42,6,1,guidance_experiment/bring-daac188f-5113-4ee1-9c41-1d43c807cdaf/S001/trackers/trainee_right_stylus_movement_T007.csv,guidance_experiment/bring-daac188f-5113-4ee1-9c41-1d43c807cdaf/S001/trackers/mentor_left_stylus_movement_T007.csv
guidance_experiment,bring-daac188f-5113-4ee1-9c41-1d43c807cdaf,1,8,4,2,39.80361,40.44,6,1,guidance_experiment/bring-daac188f-5113-4ee1-9c41-1d43c807cdaf/S001/trackers/trainee_right_stylus_movement_T008.csv,guidance_experiment/bring-daac188f-5113-4ee1-9c41-1d43c807cdaf/S001/trackers/mentor_left_stylus_movement_T008.csv
guidance_experiment,bring-daac188f-5113-4ee1-9c41-1d43c807cdaf,1,9,5,1,41.88533,42.58,7,2,guidance_experiment/bring-daac188f-5113-4ee1-9c41-1d43c807cdaf/S001/trackers/trainee_right_stylus_movement_T009.csv,guidance_experiment/bring-daac188f-5113-4ee1-9c41-1d43c807cdaf/S001/trackers/mentor_left_stylus_movement_T009.csv
guidance_experiment,bring-daac188f-5113-4ee1-9c41-1d43c807cdaf,1,10,5,2,44.28603,45.1,7,2,guidance_experiment/bring-daac188f-5113-4ee1-9c41-1d43c807cdaf/S001/trackers/trainee_right_stylus_movement_T010.csv,guidance_experiment/bring-daac188f-5113-4ee1-9c41-1d43c807cdaf/S001/trackers/mentor_left_stylus_movement_T010.csv
