time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
32.68489,-0.068962,2.05005,-1.567809,314.007,143.4892,256.567
32.69051,-0.068962,2.05005,-1.567809,314.007,143.4892,256.567
32.69769,-0.068962,2.05005,-1.567809,314.007,143.4892,256.567
32.7017,-0.072322,2.05005,-1.557529,313.9957,143.6358,256.4756
32.7061,-0.072322,2.05005,-1.557529,313.9957,143.6358,256.4756
32.70982,-0.072322,2.05005,-1.557529,313.9957,143.6358,256.4756
32.71405,-0.072322,2.05005,-1.557529,313.9957,143.6358,256.4756
32.71795,-0.072322,2.05005,-1.557529,313.9957,143.6358,256.4756
32.72187,-0.07218,2.05005,-1.541107,314.0221,143.7879,256.3443
32.72692,-0.07218,2.05005,-1.541107,314.0221,143.7879,256.3443
32.73062,-0.07218,2.05005,-1.541107,314.0221,143.7879,256.3443
32.73477,-0.07218,2.05005,-1.541107,314.0221,143.7879,256.3443
32.73877,-0.07218,2.05005,-1.541107,314.0221,143.7879,256.3443
32.74317,-0.075408,2.05005,-1.517973,314.015,143.9684,256.1904
32.74754,-0.075408,2.05005,-1.517973,314.015,143.9684,256.1904
32.75191,-0.075408,2.05005,-1.517973,314.015,143.9684,256.1904
32.75597,-0.075408,2.05005,-1.517973,314.015,143.9684,256.1904
32.76022,-0.078509,2.050049,-1.483481,314.0168,144.2864,255.9266
32.76494,-0.078509,2.050049,-1.483481,314.0168,144.2864,255.9266
32.76875,-0.078509,2.050049,-1.483481,314.0168,144.2864,255.9266
32.77267,-0.078509,2.050049,-1.483481,314.0168,144.2864,255.9266
32.77658,-0.078509,2.050049,-1.483481,314.0168,144.2864,255.9266
32.78054,-0.081485,2.050049,-1.439112,314.0903,144.558,255.6321
32.78513,-0.081485,2.050049,-1.439112,314.0903,144.558,255.6321
32.79022,-0.081485,2.050049,-1.439112,314.0903,144.558,255.6321
32.79514,-0.081485,2.050049,-1.439112,314.0903,144.558,255.6321
32.79886,-0.081485,2.050049,-1.439112,314.0903,144.558,255.6321
32.80278,-0.084232,2.050049,-1.375995,314.3372,145.0232,255.1801
32.80729,-0.084232,2.050049,-1.375995,314.3372,145.0232,255.1801
32.81147,-0.084232,2.050049,-1.375995,314.3372,145.0232,255.1801
32.81528,-0.084232,2.050049,-1.375995,314.3372,145.0232,255.1801
32.81926,-0.084232,2.050049,-1.375995,314.3372,145.0232,255.1801
32.82362,-0.083464,2.050049,-1.30128,314.539,145.4867,254.6685
32.82808,-0.083464,2.050049,-1.30128,314.539,145.4867,254.6685
32.83189,-0.083464,2.050049,-1.30128,314.539,145.4867,254.6685
32.8434,-0.088914,2.050047,-1.190705,314.9392,146.1702,253.9937
32.84659,-0.088914,2.050047,-1.190705,314.9392,146.1702,253.9937
32.85392,-0.088914,2.050047,-1.190705,314.9392,146.1702,253.9937
32.8581,-0.088914,2.050047,-1.190705,314.9392,146.1702,253.9937
32.86216,-0.09437,2.050048,-1.095869,315.2826,146.9706,253.3057
32.86634,-0.09437,2.050048,-1.095869,315.2826,146.9706,253.3057
32.87035,-0.09437,2.050048,-1.095869,315.2826,146.9706,253.3057
32.87559,-0.09437,2.050048,-1.095869,315.2826,146.9706,253.3057
32.87936,-0.09437,2.050048,-1.095869,315.2826,146.9706,253.3057
32.88356,-0.112575,2.050047,-1.004012,315.5363,147.7447,252.7231
32.88783,-0.112575,2.050047,-1.004012,315.5363,147.7447,252.7231
32.89238,-0.112575,2.050047,-1.004012,315.5363,147.7447,252.7231
32.89633,-0.112575,2.050047,-1.004012,315.5363,147.7447,252.7231
32.90044,-0.130409,2.050047,-0.916979,315.7434,148.371,252.2061
32.90493,-0.130409,2.050047,-0.916979,315.7434,148.371,252.2061
32.90924,-0.130409,2.050047,-0.916979,315.7434,148.371,252.2061
32.91319,-0.130409,2.050047,-0.916979,315.7434,148.371,252.2061
32.91705,-0.130409,2.050047,-0.916979,315.7434,148.371,252.2061
32.92122,-0.163063,2.050046,-0.807402,316.0465,149.0913,252.0347
32.92602,-0.163063,2.050046,-0.807402,316.0465,149.0913,252.0347
32.92976,-0.163063,2.050046,-0.807402,316.0465,149.0913,252.0347
32.93364,-0.163063,2.050046,-0.807402,316.0465,149.0913,252.0347
32.93768,-0.163063,2.050046,-0.807402,316.0465,149.0913,252.0347
32.94205,-0.197684,2.050044,-0.692493,316.5462,149.6084,252.1048
32.9464,-0.197684,2.050044,-0.692493,316.5462,149.6084,252.1048
32.95008,-0.197684,2.050044,-0.692493,316.5462,149.6084,252.1048
32.95436,-0.197684,2.050044,-0.692493,316.5462,149.6084,252.1048
32.95883,-0.197684,2.050044,-0.692493,316.5462,149.6084,252.1048
32.96278,-0.225332,2.050044,-0.585458,317.0591,150.0521,252.0003
32.96724,-0.225332,2.050044,-0.585458,317.0591,150.0521,252.0003
32.97113,-0.225332,2.050044,-0.585458,317.0591,150.0521,252.0003
32.97528,-0.225332,2.050044,-0.585458,317.0591,150.0521,252.0003
32.9792,-0.225332,2.050044,-0.585458,317.0591,150.0521,252.0003
32.98404,-0.252395,2.050045,-0.400757,318.0854,150.7361,251.1423
32.9906,-0.252395,2.050045,-0.400757,318.0854,150.7361,251.1423
32.99462,-0.252395,2.050045,-0.400757,318.0854,150.7361,251.1423
32.99861,-0.252395,2.050045,-0.400757,318.0854,150.7361,251.1423
33.00252,-0.258448,2.050045,-0.321693,318.4655,150.9613,250.8223
33.007,-0.258448,2.050045,-0.321693,318.4655,150.9613,250.8223
33.0107,-0.258448,2.050045,-0.321693,318.4655,150.9613,250.8223
33.01495,-0.258448,2.050045,-0.321693,318.4655,150.9613,250.8223
33.01888,-0.258448,2.050045,-0.321693,318.4655,150.9613,250.8223
33.02307,-0.264052,2.050045,-0.159087,319.2364,151.5715,249.9904
33.02716,-0.264052,2.050045,-0.159087,319.2364,151.5715,249.9904
33.03126,-0.264052,2.050045,-0.159087,319.2364,151.5715,249.9904
33.03557,-0.264052,2.050045,-0.159087,319.2364,151.5715,249.9904
33.03969,-0.264052,2.050045,-0.159087,319.2364,151.5715,249.9904
33.04445,-0.262799,2.050049,0.021893,319.8121,152.2766,249.0225
33.0501,-0.262799,2.050049,0.021893,319.8121,152.2766,249.0225
33.05786,-0.262799,2.050049,0.021893,319.8121,152.2766,249.0225
33.06126,-0.260371,2.050047,0.084698,319.9856,152.4764,248.6895
33.06556,-0.260371,2.050047,0.084698,319.9856,152.4764,248.6895
33.06945,-0.260371,2.050047,0.084698,319.9856,152.4764,248.6895
33.07464,-0.260371,2.050047,0.084698,319.9856,152.4764,248.6895
33.07878,-0.260371,2.050047,0.084698,319.9856,152.4764,248.6895
33.08263,-0.256596,2.050048,0.182303,320.2778,152.7896,248.1703
