experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,interval_time,path_number,trainee_right_stylus_movement_location_0,mentor_left_stylus_movement_location_0
guidance_experiment,broom-e4aacdd8-7fc7-4098-959f-0e9a1cb799b1,1,1,1,1,9.703015,10.64,5,1,guidance_experiment/broom-e4aacdd8-7fc7-4098-959f-0e9a1cb799b1/S001/trackers/trainee_right_stylus_movement_T001.csv,guidance_experiment/broom-e4aacdd8-7fc7-4098-959f-0e9a1cb799b1/S001/trackers/mentor_left_stylus_movement_T001.csv
guidance_experiment,broom-e4aacdd8-7fc7-4098-959f-0e9a1cb799b1,1,2,1,2,12.60748,13.56,5,1,guidance_experiment/broom-e4aacdd8-7fc7-4098-959f-0e9a1cb799b1/S001/trackers/trainee_right_stylus_movement_T002.csv,guidance_experiment/broom-e4aacdd8-7fc7-4098-959f-0e9a1cb799b1/S001/trackers/mentor_left_stylus_movement_T002.csv
guidance_experiment,broom-e4aacdd8-7fc7-4098-959f-0e9a1cb799b1,1,3,2,1,14.90271,15.6,5,2,guidance_experiment/broom-e4aacdd8-7fc7-4098-959f-0e9a1cb799b1/S001/trackers/trainee_right_stylus_movement_T003.csv,guidance_experiment/broom-e4aacdd8-7fc7-4098-959f-0e9a1cb799b1/S001/trackers/mentor_left_stylus_movement_T003.csv
guidance_experiment,broom-e4aacdd8-7fc7-4098-959f-0e9a1cb799b1,1,4,2,2,16.76084,17.6,5,2,guidance_experiment/broom-e4aacdd8-7fc7-4098-959f-0e9a1cb799b1/S001/trackers/trainee_right_stylus_movement_T004.csv,guidance_experiment/broom-e4aacdd8-7fc7-4098-959f-0e9a1cb799b1/S001/trackers/mentor_left_stylus_movement_T004.csv
guidance_experiment,broom-e4aacdd8-7fc7-4098-959f-0e9a1cb799b1,1,5,3,1,18.84408,19.32,6,3,guidance_experiment/broom-e4aacdd8-7fc7-4098-959f-0e9a1cb799b1/S001/trackers/trainee_right_stylus_movement_T005.csv,guidance_experiment/broom-e4aacdd8-7fc7-4098-959f-0e9a1cb799b1/S001/trackers/mentor_left_stylus_movement_T005.csv
guidance_experiment,broom-e4aacdd8-7fc7-4098-959f-0e9a1cb799b1,1,6,3,2,20.40542,20.96,6,3,guidance_experiment/broom-e4aacdd8-7fc7-4098-959f-0e9a1cb799b1/S001/trackers/trainee_right_stylus_movement_T006.csv,guidance_experiment/broom-e4aacdd8-7fc7-4098-959f-0e9a1cb799b1/S001/trackers/mentor_left_stylus_movement_T006.csv
guidance_experiment,broom-e4aacdd8-7fc7-4098-959f-0e9a1cb799b1,1,7,4,1,22.18776,22.9,6,1,guidance_experiment/broom-e4aacdd8-7fc7-4098-959f-0e9a1cb799b1/S001/trackers/trainee_right_stylus_movement_T007.csv,guidance_experiment/broom-e4aacdd8-7fc7-4098-959f-0e9a1cb799b1/S001/trackers/mentor_left_stylus_movement_T007.csv
guidance_experiment,broom-e4aacdd8-7fc7-4098-959f-0e9a1cb799b1,1,8,4,2,24.14468,24.84,6,1,guidance_experiment/broom-e4aacdd8-7fc7-4098-959f-0e9a1cb799b1/S001/trackers/trainee_right_stylus_movement_T008.csv,guidance_experiment/broom-e4aacdd8-7fc7-4098-959f-0e9a1cb799b1/S001/trackers/mentor_left_stylus_movement_T008.csv
guidance_experiment,broom-e4aacdd8-7fc7-4098-959f-0e9a1cb799b1,1,9,5,1,26.02382,26.6,7,2,guidance_experiment/broom-e4aacdd8-7fc7-4098-959f-0e9a1cb799b1/S001/trackers/trainee_right_stylus_movement_T009.csv,guidance_experiment/broom-e4aacdd8-7fc7-4098-959f-0e9a1cb799b1/S001/trackers/mentor_left_stylus_movement_T009.csv
guidance_experiment,broom-e4aacdd8-7fc7-4098-959f-0e9a1cb799b1,1,10,5,2,27.62774,28.46,7,2,guidance_experiment/broom-e4aacdd8-7fc7-4098-959f-0e9a1cb799b1/S001/trackers/trainee_right_stylus_movement_T010.csv,guidance_experiment/broom-e4aacdd8-7fc7-4098-959f-0e9a1cb799b1/S001/trackers/mentor_left_stylus_movement_T010.csv
guidance_experiment,broom-e4aacdd8-7fc7-4098-959f-0e9a1cb799b1,1,11,6,1,30.2674,31.18,7,3,guidance_experiment/broom-e4aacdd8-7fc7-4098-959f-0e9a1cb799b1/S001/trackers/trainee_right_stylus_movement_T011.csv,guidance_experiment/broom-e4aacdd8-7fc7-4098-959f-0e9a1cb799b1/S001/trackers/mentor_left_stylus_movement_T011.csv
guidance_experiment,broom-e4aacdd8-7fc7-4098-959f-0e9a1cb799b1,1,12,6,2,32.68489,33.34,7,3
,guidance_experiment/broom-e4aacdd8-7fc7-4098-959f-0e9a1cb799b1/S001/trackers/trainee_right_stylus_movement_T012.csv,guidance_experiment/broom-e4aacdd8-7fc7-4098-959f-0e9a1cb799b1/S001/trackers/mentor_left_stylus_movement_T012.csv
