time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
16.78685,-3.480053,2.05005,-0.132248,314.1147,146.4791,26.94397
16.79579,-3.480053,2.05005,-0.132248,314.1147,146.4791,26.94397
16.80305,-3.480053,2.05005,-0.132248,314.1146,146.4791,27.01722
16.80708,-3.480053,2.05005,-0.132248,314.1146,146.4791,27.01722
16.80998,-3.480053,2.05005,-0.132248,314.1146,146.4791,27.01722
16.81246,-3.480053,2.05005,-0.132248,314.1146,146.4791,27.01722
16.81508,-3.480053,2.05005,-0.132248,314.1146,146.4791,27.01722
16.81773,-3.480053,2.05005,-0.132248,314.1146,146.4791,27.01722
16.82029,-3.480053,2.05005,-0.132248,314.1146,146.4791,27.01722
16.82691,-3.480053,2.05005,-0.132248,314.1146,146.4791,27.01722
16.83177,-3.480053,2.05005,-0.132248,314.1146,146.4791,27.01722
16.83674,-3.480053,2.05005,-0.132248,314.1146,146.4791,27.01722
16.83999,-3.480053,2.05005,-0.132248,314.1146,146.4791,27.01722
16.84174,-3.480053,2.05005,-0.132248,314.1268,146.4,26.95399
16.84635,-3.480053,2.05005,-0.132248,314.1268,146.4,26.95399
16.84793,-3.480053,2.05005,-0.132248,314.1268,146.4,26.95399
16.8502,-3.480053,2.05005,-0.132248,314.1268,146.4,26.95399
16.85323,-3.480053,2.05005,-0.132248,314.1268,146.4,26.95399
16.85504,-3.480053,2.05005,-0.132248,314.1268,146.4,26.95399
16.85661,-3.480053,2.05005,-0.132248,314.1268,146.4,26.95399
16.85831,-3.480053,2.05005,-0.132248,314.1268,146.4,26.95399
16.86007,-3.480053,2.05005,-0.132248,314.1268,146.4,27.02722
16.86529,-3.480053,2.05005,-0.132248,314.1268,146.4,27.02722
16.86737,-3.480053,2.05005,-0.132248,314.1268,146.4,27.02722
16.86924,-3.480053,2.05005,-0.132248,314.1268,146.4,27.02722
16.87108,-3.480053,2.05005,-0.132248,314.1268,146.4,27.02722
16.87271,-3.480053,2.05005,-0.132248,314.1268,146.4,27.02722
16.87435,-3.480053,2.05005,-0.132248,314.1268,146.4,27.02722
16.8763,-3.480053,2.05005,-0.132248,314.1268,146.4,27.02722
16.87815,-3.480053,2.05005,-0.132248,314.1268,146.4,27.02722
16.87982,-3.480053,2.05005,-0.132248,314.1268,146.4,27.02722
16.88145,-3.480053,2.05005,-0.132248,314.0431,146.4564,27.03352
16.88641,-3.480053,2.05005,-0.132248,314.0431,146.4564,27.03352
16.88857,-3.480053,2.05005,-0.132248,314.0431,146.4564,27.03352
16.89062,-3.480053,2.05005,-0.132248,314.0431,146.4564,27.03352
16.89247,-3.480053,2.05005,-0.132248,314.0431,146.4564,27.03352
16.89414,-3.480053,2.05005,-0.132248,314.0431,146.4564,27.03352
16.89597,-3.480053,2.05005,-0.132248,314.0431,146.4564,27.03352
16.89792,-3.480053,2.05005,-0.132248,314.0431,146.4564,27.03352
16.89983,-3.480053,2.05005,-0.132248,314.0431,146.4564,27.03352
16.90237,-3.480053,2.05005,-0.132248,314.0431,146.4564,26.96028
16.9065,-3.480053,2.05005,-0.132248,314.0431,146.4564,26.96028
16.90839,-3.480053,2.05005,-0.132248,314.0431,146.4564,26.96028
16.91032,-3.480053,2.05005,-0.132248,314.0431,146.4564,26.96028
16.91224,-3.480053,2.05005,-0.132248,314.0431,146.4564,26.96028
16.91409,-3.480053,2.05005,-0.132248,314.0431,146.4564,26.96028
16.916,-3.480053,2.05005,-0.132248,314.0431,146.4564,26.96028
16.91827,-3.480053,2.05005,-0.132248,314.0431,146.4564,26.96028
16.92015,-3.480053,2.05005,-0.132248,314.0431,146.4564,27.03352
16.92656,-3.480053,2.05005,-0.132248,314.0431,146.4564,27.03352
16.92827,-3.480053,2.05005,-0.132248,314.0431,146.4564,27.03352
16.92995,-3.480053,2.05005,-0.132248,314.0431,146.4564,27.03352
16.93166,-3.480053,2.05005,-0.132248,314.0431,146.4564,27.03352
16.93353,-3.480053,2.05005,-0.132248,314.0431,146.4564,27.03352
16.93592,-3.480053,2.05005,-0.132248,314.0431,146.4564,27.03352
16.93784,-3.480053,2.05005,-0.132248,314.0431,146.4564,27.03352
16.93948,-3.480053,2.05005,-0.132248,314.0431,146.4564,27.03352
16.9414,-3.480053,2.05005,-0.132248,314.0431,146.4564,27.03352
16.94645,-3.480053,2.05005,-0.132248,314.0431,146.4564,27.03352
16.94833,-3.480053,2.05005,-0.132248,314.0431,146.4564,27.03352
16.95031,-3.480053,2.05005,-0.132248,314.0431,146.4564,27.03352
16.95223,-3.480053,2.05005,-0.132248,314.0431,146.4564,27.03352
16.95425,-3.480053,2.05005,-0.132248,314.0431,146.4564,27.03352
16.95605,-3.480053,2.05005,-0.132248,314.0431,146.4564,27.03352
16.95764,-3.480053,2.05005,-0.132248,314.0431,146.4564,27.03352
16.95938,-3.480053,2.05005,-0.132248,314.0431,146.4564,27.03352
16.96111,-3.480053,2.05005,-0.132248,314.0431,146.4564,27.03352
16.96671,-3.480053,2.05005,-0.132248,314.0431,146.4564,27.03352
16.96916,-3.480053,2.05005,-0.132248,314.0431,146.4564,27.03352
16.97094,-3.480053,2.05005,-0.132248,314.0431,146.4564,27.03352
16.97259,-3.480053,2.05005,-0.132248,314.0431,146.4564,27.03352
16.97426,-3.480053,2.05005,-0.132248,314.0431,146.4564,27.03352
16.97604,-3.480053,2.05005,-0.132248,314.0431,146.4564,27.03352
16.9777,-3.480053,2.05005,-0.132248,314.0431,146.4564,27.03352
16.97936,-3.480053,2.05005,-0.132248,314.0431,146.4564,27.03352
16.98125,-3.480053,2.05005,-0.132248,314.0431,146.4564,27.03352
16.98637,-3.480053,2.05005,-0.132248,314.0431,146.4564,27.03352
16.98794,-3.480053,2.05005,-0.132248,314.0431,146.4564,27.03352
16.98946,-3.480053,2.05005,-0.132248,314.0431,146.4564,27.03352
16.99112,-3.480053,2.05005,-0.132248,314.0431,146.4564,27.03352
16.99321,-3.480053,2.05005,-0.132248,314.0431,146.4564,27.03352
16.99501,-3.480053,2.05005,-0.132248,314.0431,146.4564,27.03352
16.99714,-3.480053,2.05005,-0.132248,314.0431,146.4564,27.03352
16.99882,-3.480053,2.05005,-0.132248,314.0431,146.4564,27.03352
17.00107,-3.477195,2.05005,-0.133679,314.0431,146.4328,26.96028
17.00533,-3.477195,2.05005,-0.133679,314.0431,146.4328,26.96028
17.00736,-3.477195,2.05005,-0.133679,314.0431,146.4328,26.96028
17.00946,-3.477195,2.05005,-0.133679,314.0431,146.4328,26.96028
17.01151,-3.477195,2.05005,-0.133679,314.0431,146.4328,26.96028
17.01381,-3.477195,2.05005,-0.133679,314.0431,146.4328,26.96028
17.01609,-3.477195,2.05005,-0.133679,314.0431,146.4328,26.96028
17.0184,-3.477195,2.05005,-0.133679,314.0431,146.4328,26.96028
17.02021,-3.477195,2.05005,-0.133679,313.9716,146.4101,27.04988
17.02266,-3.477195,2.05005,-0.133679,313.9716,146.4101,27.04988
17.02415,-3.477195,2.05005,-0.133679,313.9716,146.4101,27.04988
17.02586,-3.477195,2.05005,-0.133679,313.9716,146.4101,27.04988
17.02831,-3.477194,2.05005,-0.133679,313.9716,146.4101,27.04988
17.0307,-3.477195,2.05005,-0.133679,313.9716,146.4101,27.04988
17.03316,-3.477194,2.05005,-0.133679,313.9716,146.4101,27.04988
17.03598,-3.477195,2.05005,-0.133679,313.9716,146.4101,27.04988
17.03797,-3.477195,2.05005,-0.133679,313.9716,146.4101,27.04988
17.04008,-3.474336,2.05005,-0.135108,314.0552,146.3302,27.04353
17.04286,-3.474336,2.05005,-0.135108,314.0552,146.3302,27.04353
17.04477,-3.474336,2.05005,-0.135108,314.0552,146.3302,27.04353
17.04675,-3.474336,2.05005,-0.135108,314.0552,146.3302,27.04353
17.04823,-3.474337,2.05005,-0.135108,314.0552,146.3302,27.04353
17.05086,-3.474336,2.05005,-0.135108,314.0552,146.3302,27.04353
17.05296,-3.474336,2.05005,-0.135108,314.0552,146.3302,27.04353
17.05514,-3.474336,2.05005,-0.135108,314.0552,146.3302,27.04353
17.05729,-3.474336,2.05005,-0.135108,314.0552,146.3302,27.04353
17.05912,-3.474336,2.05005,-0.135108,314.0552,146.3302,27.04353
17.0607,-3.448582,2.05005,-0.147918,314.0553,146.1417,27.04353
17.06685,-3.448582,2.05005,-0.147918,314.0553,146.1417,27.04353
17.0688,-3.448582,2.05005,-0.147918,314.0553,146.1417,27.04353
17.07073,-3.448582,2.05005,-0.147918,314.0553,146.1417,27.04353
17.07258,-3.448582,2.05005,-0.147918,314.0553,146.1417,27.04353
17.07427,-3.448582,2.05005,-0.147918,314.0553,146.1417,27.04353
17.07617,-3.448582,2.05005,-0.147918,314.0553,146.1417,27.04353
17.078,-3.448582,2.05005,-0.147918,314.0553,146.1417,27.04353
17.07968,-3.448582,2.05005,-0.147918,314.0553,146.1417,27.04353
17.08157,-3.422781,2.05005,-0.160633,314.0431,145.9852,27.03352
17.093,-3.422781,2.05005,-0.160633,314.0431,145.9852,27.03352
17.0952,-3.422781,2.05005,-0.160633,314.0431,145.9852,27.03352
17.09724,-3.422781,2.05005,-0.160633,314.0431,145.9852,27.03352
17.09923,-3.422781,2.05005,-0.160633,314.0431,145.9852,27.03352
17.10147,-3.392346,2.05005,-0.178443,314.0787,145.886,27.09942
17.10585,-3.392346,2.05005,-0.178443,314.0787,145.886,27.09942
17.10837,-3.392346,2.05005,-0.178443,314.0787,145.886,27.09942
17.11095,-3.392346,2.05005,-0.178443,314.0787,145.886,27.09942
17.11289,-3.392346,2.05005,-0.178443,314.0787,145.886,27.09942
17.11487,-3.392346,2.05005,-0.178443,314.0787,145.886,27.09942
