time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
16.78685,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
16.79579,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
16.80305,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
16.80708,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
16.80998,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
16.81246,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
16.81508,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
16.81773,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
16.82029,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
16.82691,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
16.83177,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
16.83674,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
16.83999,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
16.84174,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
16.84635,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
16.84793,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
16.8502,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
16.85323,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
16.85504,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
16.85661,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
16.85831,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
16.86007,12.60664,2.05005,0.00538,34.54228,167.2659,12.67441
16.86529,12.60664,2.05005,0.00538,34.54228,167.2659,12.67441
16.86737,12.60664,2.05005,0.00538,34.54228,167.2659,12.67441
16.86924,12.60664,2.05005,0.00538,34.54228,167.2659,12.67441
16.87108,12.60664,2.05005,0.00538,34.54228,167.2659,12.67441
16.87271,12.60664,2.05005,0.00538,34.54228,167.2659,12.67441
16.87435,12.60664,2.05005,0.00538,34.54228,167.2659,12.67441
16.8763,12.60664,2.05005,0.00538,34.54228,167.2659,12.67441
16.87815,12.60664,2.05005,0.00538,34.54228,167.2659,12.67441
16.87982,12.60664,2.05005,0.00538,34.54228,167.2659,12.67441
16.88145,12.60664,2.05005,0.00538,34.61553,167.2668,12.82142
16.88641,12.60664,2.05005,0.00538,34.61553,167.2668,12.82142
16.88857,12.60664,2.05005,0.00538,34.61553,167.2668,12.82142
16.89062,12.60664,2.05005,0.00538,34.61553,167.2668,12.82142
16.89247,12.60664,2.05005,0.00538,34.61553,167.2668,12.82142
16.89414,12.60664,2.05005,0.00538,34.61553,167.2668,12.82142
16.89597,12.60664,2.05005,0.00538,34.61553,167.2668,12.82142
16.89792,12.60664,2.05005,0.00538,34.61553,167.2668,12.82142
16.89983,12.60664,2.05005,0.00538,34.61553,167.2668,12.82142
16.90237,12.60664,2.05005,0.00538,34.61553,167.2668,12.82142
16.9065,12.60664,2.05005,0.00538,34.61553,167.2668,12.82142
16.90839,12.60664,2.05005,0.00538,34.61553,167.2668,12.82142
16.91032,12.60664,2.05005,0.00538,34.61553,167.2668,12.82142
16.91224,12.60664,2.05005,0.00538,34.61553,167.2668,12.82142
16.91409,12.60664,2.05005,0.00538,34.61553,167.2668,12.82142
16.916,12.60664,2.05005,0.00538,34.61553,167.2668,12.82142
16.91827,12.60664,2.05005,0.00538,34.61553,167.2668,12.82142
16.92015,12.60664,2.05005,0.00538,34.61553,167.2668,12.82142
16.92656,12.60664,2.05005,0.00538,34.61553,167.2668,12.82142
16.92827,12.60664,2.05005,0.00538,34.61553,167.2668,12.82142
16.92995,12.60664,2.05005,0.00538,34.61553,167.2668,12.82142
16.93166,12.60664,2.05005,0.00538,34.61553,167.2668,12.82142
16.93353,12.60664,2.05005,0.00538,34.61553,167.2668,12.82142
16.93592,12.60664,2.05005,0.00538,34.61553,167.2668,12.82142
16.93784,12.60664,2.05005,0.00538,34.61553,167.2668,12.82142
16.93948,12.60664,2.05005,0.00538,34.61553,167.2668,12.82142
16.9414,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
16.94645,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
16.94833,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
16.95031,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
16.95223,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
16.95425,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
16.95605,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
16.95764,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
16.95938,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
16.96111,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
16.96671,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
16.96916,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
16.97094,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
16.97259,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
16.97426,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
16.97604,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
16.9777,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
16.97936,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
16.98125,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
16.98637,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
16.98794,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
16.98946,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
16.99112,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
16.99321,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
16.99501,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
16.99714,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
16.99882,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
17.00107,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
17.00533,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
17.00736,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
17.00946,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
17.01151,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
17.01381,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
17.01609,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
17.0184,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
17.02021,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
17.02266,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
17.02415,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
17.02586,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
17.02831,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
17.0307,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
17.03316,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
17.03598,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
17.03797,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
17.04008,12.60664,2.05005,0.00538,34.61612,167.1967,12.75349
17.04286,12.60664,2.05005,0.00538,34.61612,167.1967,12.75349
17.04477,12.60664,2.05005,0.00538,34.61612,167.1967,12.75349
17.04675,12.60664,2.05005,0.00538,34.61612,167.1967,12.75349
17.04823,12.60664,2.05005,0.00538,34.61612,167.1967,12.75349
17.05086,12.60664,2.05005,0.00538,34.61612,167.1967,12.75349
17.05296,12.60664,2.05005,0.00538,34.61612,167.1967,12.75349
17.05514,12.60664,2.05005,0.00538,34.61612,167.1967,12.75349
17.05729,12.60664,2.05005,0.00538,34.61612,167.1967,12.75349
17.05912,12.60664,2.05005,0.00538,34.61612,167.1967,12.75349
17.0607,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
17.06685,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
17.0688,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
17.07073,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
17.07258,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
17.07427,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
17.07617,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
17.078,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
17.07968,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
17.08157,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
17.093,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
17.0952,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
17.09724,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
17.09923,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
17.10147,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
17.10585,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
17.10837,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
17.11095,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
17.11289,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
17.11487,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
17.11743,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
17.1195,12.60664,2.05005,0.00538,34.54228,167.2659,12.74766
17.12161,12.60664,2.05005,0.00538,34.61611,167.1967,12.82673
17.12542,12.60664,2.05005,0.00538,34.61611,167.1967,12.82673
17.12737,12.60664,2.05005,0.00538,34.61611,167.1967,12.82673
17.12945,12.60664,2.05005,0.00538,34.61611,167.1967,12.82673
17.13136,12.60664,2.05005,0.00538,34.61611,167.1967,12.82673
17.13298,12.60664,2.05005,0.00538,34.61611,167.1967,12.82673
17.13561,12.60664,2.05005,0.00538,34.61611,167.1967,12.82673
17.13772,12.60664,2.05005,0.00538,34.61611,167.1967,12.82673
17.13966,12.60664,2.05005,0.00538,34.61611,167.1967,12.82673
17.14152,12.60664,2.05005,0.00538,34.61612,167.1967,12.75349
17.14639,12.60664,2.05005,0.00538,34.61612,167.1967,12.75349
17.14794,12.60664,2.05005,0.00538,34.61612,167.1967,12.75349
17.15031,12.60664,2.05005,0.00538,34.61612,167.1967,12.75349
17.1526,12.60664,2.05005,0.00538,34.61612,167.1967,12.75349
17.1543,12.60664,2.05005,0.00538,34.61612,167.1967,12.75349
17.15644,12.60664,2.05005,0.00538,34.61612,167.1967,12.75349
17.15883,12.60664,2.05005,0.00538,34.61612,167.1967,12.75349
17.16046,12.60664,2.05005,0.00538,34.61611,167.1967,12.82673
17.16304,12.60664,2.05005,0.00538,34.61611,167.1967,12.82673
17.16523,12.60664,2.05005,0.00538,34.61611,167.1967,12.82673
17.1678,12.60664,2.05005,0.00538,34.61611,167.1967,12.82673
17.16988,12.60664,2.05005,0.00538,34.61611,167.1967,12.82673
17.17177,12.60664,2.05005,0.00538,34.61611,167.1967,12.82673
17.17419,12.60664,2.05005,0.00538,34.61611,167.1967,12.82673
17.17604,12.60664,2.05005,0.00538,34.61611,167.1967,12.82673
17.17772,12.60664,2.05005,0.00538,34.61611,167.1967,12.82673
17.17945,12.60664,2.05005,0.00538,34.61611,167.1967,12.82673
17.18178,12.60664,2.05005,0.00538,34.61553,167.2668,12.82142
17.18645,12.60664,2.05005,0.00538,34.61553,167.2668,12.82142
17.18842,12.60664,2.05005,0.00538,34.61553,167.2668,12.82142
17.19052,12.60664,2.05005,0.00538,34.61553,167.2668,12.82142
