time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
31.4481,0,1.244465,2.80571,335.7854,179.9952,210.1441
31.45275,0,1.244465,2.80571,335.7854,179.9952,210.1441
31.45811,0,1.244465,2.80571,335.7854,179.9952,210.1441
31.46276,0,1.244464,2.80571,335.7853,180.0515,210.1732
31.46887,0,1.244464,2.80571,335.7853,180.0515,210.1732
31.47404,0,1.244464,2.80571,335.7853,180.0515,210.1732
31.47827,0,1.244464,2.80571,335.7853,180.0515,210.1732
31.48317,0,1.244464,2.80571,335.7853,179.9389,210.115
31.48928,0,1.244464,2.80571,335.7853,179.9389,210.115
31.49392,0,1.244464,2.80571,335.7853,179.9389,210.115
31.49849,0,1.244464,2.80571,335.7853,179.9389,210.115
31.50374,0,1.244465,2.80571,335.7854,179.9952,210.1441
31.50954,0,1.244464,2.80571,335.7854,179.9952,210.1441
31.51442,0,1.244464,2.80571,335.7854,179.9952,210.1441
31.51902,0,1.244464,2.80571,335.7854,179.9952,210.1441
31.52842,0,1.244464,2.80571,335.7853,179.9389,210.115
31.53243,0,1.244464,2.80571,335.7853,179.9389,210.115
31.53697,0,1.244464,2.80571,335.7853,179.9389,210.115
31.54323,0,1.244464,2.80571,335.7854,179.9952,210.1441
31.54902,0,1.244464,2.80571,335.7854,179.9952,210.1441
31.55367,0,1.244464,2.80571,335.7854,179.9952,210.1441
31.5588,0,1.244464,2.80571,335.7854,179.9952,210.1441
31.56397,0,1.244464,2.80571,335.7853,179.9389,210.115
31.56874,0,1.244464,2.80571,335.7853,179.9389,210.115
31.57419,0,1.244464,2.80571,335.7853,179.9389,210.115
31.57889,0,1.244464,2.80571,335.7853,179.9389,210.115
31.58335,0,1.244464,2.80571,335.7121,179.9952,210.1441
31.58977,0,1.244464,2.80571,335.7121,179.9952,210.1441
31.59549,0,1.244464,2.80571,335.7121,179.9952,210.1441
31.60149,0,1.244464,2.80571,335.7854,179.9952,210.1441
31.60833,0,1.244464,2.80571,335.7854,179.9952,210.1441
31.61303,0,1.244464,2.80571,335.7854,179.9952,210.1441
31.61751,0,1.244464,2.80571,335.7854,179.9952,210.1441
31.62221,0,1.244465,2.80571,335.7854,179.9952,210.1441
31.6285,0,1.244464,2.80571,335.7854,179.9952,210.1441
31.63364,0,1.244464,2.80571,335.7854,179.9952,210.1441
31.63862,0,1.244464,2.80571,335.7854,179.9952,210.1441
31.64403,0,1.244464,2.80571,335.7121,179.9952,210.1441
31.64894,0,1.244464,2.80571,335.7121,179.9952,210.1441
31.65338,0,1.244464,2.80571,335.7121,179.9952,210.1441
31.65845,0,1.244464,2.80571,335.7121,179.9952,210.1441
31.66301,0,1.244464,2.80571,335.7853,179.9389,210.115
31.66834,0,1.244464,2.80571,335.7853,179.9389,210.115
31.67384,0,1.244464,2.80571,335.7853,179.9389,210.115
31.68528,0,1.244464,2.80571,335.7854,179.9952,210.1441
31.6893,0,1.244464,2.80571,335.7854,179.9952,210.1441
