time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
31.4481,-0.051433,2.05005,-1.52118,311.2436,182.1693,26.87831
31.45275,-0.051434,2.05005,-1.52118,311.2436,182.1693,26.87831
31.45811,-0.051433,2.05005,-1.52118,311.2436,182.1693,26.87831
31.46276,-0.051433,2.05005,-1.52118,311.2444,182.2653,26.84301
31.46887,-0.051434,2.05005,-1.52118,311.2444,182.2653,26.84301
31.47404,-0.051433,2.05005,-1.52118,311.2444,182.2653,26.84301
31.47827,-0.051433,2.05005,-1.52118,311.2444,182.2653,26.84301
31.48317,-0.051433,2.05005,-1.52118,311.1719,182.3627,26.87987
31.48928,-0.051434,2.05005,-1.52118,311.1719,182.3627,26.87987
31.49392,-0.051434,2.05005,-1.52118,311.1719,182.3627,26.87987
31.49849,-0.051433,2.05005,-1.52118,311.1719,182.3627,26.87987
31.50374,-0.048005,2.05005,-1.5212,311.0995,182.4368,26.91664
31.50954,-0.048005,2.05005,-1.5212,311.0995,182.4368,26.91664
31.51442,-0.048005,2.05005,-1.5212,311.0995,182.4368,26.91664
31.51902,-0.048005,2.05005,-1.5212,311.0995,182.4368,26.91664
31.52842,-0.044576,2.05005,-1.521219,311.0995,182.4132,27.06312
31.53243,-0.044576,2.05005,-1.521219,311.0995,182.4132,27.06312
31.53697,-0.044576,2.05005,-1.521219,311.0995,182.4132,27.06312
31.54323,-0.044576,2.05005,-1.521219,311.0272,182.5109,27.17302
31.54902,-0.044576,2.05005,-1.521219,311.0272,182.5109,27.17302
31.55367,-0.044576,2.05005,-1.521219,311.0272,182.5109,27.17302
31.5588,-0.044576,2.05005,-1.521219,311.0272,182.5109,27.17302
31.56397,-0.044576,2.05005,-1.521219,311.0272,182.5109,27.39276
31.56874,-0.044576,2.05005,-1.521219,311.0272,182.5109,27.39276
31.57419,-0.044576,2.05005,-1.521219,311.0272,182.5109,27.39276
31.57889,-0.044576,2.05005,-1.521219,311.0272,182.5109,27.39276
31.58335,-0.044576,2.05005,-1.521219,311.0272,182.5109,27.53925
31.58977,-0.044576,2.05005,-1.521219,311.0272,182.5109,27.53925
31.59549,-0.044576,2.05005,-1.521219,311.0272,182.5109,27.53925
31.60149,-0.037718,2.05005,-1.521253,311.028,182.56,27.65029
31.60833,-0.037718,2.05005,-1.521253,311.028,182.56,27.65029
31.61303,-0.037718,2.05005,-1.521253,311.028,182.56,27.65029
31.61751,-0.037718,2.05005,-1.521253,311.028,182.56,27.65029
31.62221,-0.017145,2.05005,-1.521321,311.0271,182.3224,27.83223
31.6285,-0.017145,2.05005,-1.521321,311.0271,182.3224,27.83223
31.63364,-0.017145,2.05005,-1.521321,311.0271,182.3224,27.83223
