time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
12.07737,-3.426877,2.05005,-0.082657,317.3397,143.4618,85.24454
12.0916,-3.426877,2.05005,-0.082657,317.4232,143.4043,85.31233
12.10011,-3.426876,2.05005,-0.082657,317.4114,143.4819,85.30421
12.1057,-3.426876,2.05005,-0.082657,317.4114,143.4819,85.30421
12.10884,-3.426877,2.05005,-0.082657,317.4114,143.4819,85.30421
12.11215,-3.426877,2.05005,-0.082657,317.4114,143.4819,85.30421
12.11583,-3.426877,2.05005,-0.082657,317.4114,143.4819,85.30421
12.11902,-3.426877,2.05005,-0.082657,317.4114,143.4819,85.30421
12.12269,-3.427142,2.05005,-0.083192,317.4114,143.4819,85.23096
12.14662,-3.427142,2.05005,-0.083192,317.4114,143.4819,85.23096
12.15223,-3.427142,2.05005,-0.083192,317.4114,143.4819,85.23096
12.15553,-3.427142,2.05005,-0.083192,317.4114,143.4819,85.23096
12.15896,-3.427142,2.05005,-0.083192,317.4114,143.4819,85.23096
12.16217,-3.427142,2.05005,-0.083192,317.4114,143.4819,85.30421
12.16827,-3.427142,2.05005,-0.083192,317.4114,143.4819,85.30421
12.17167,-3.427142,2.05005,-0.083192,317.4114,143.4819,85.30421
12.17562,-3.427142,2.05005,-0.083192,317.4114,143.4819,85.30421
12.17885,-3.427142,2.05005,-0.083192,317.4114,143.4819,85.30421
12.18281,-3.427142,2.05005,-0.083192,317.4232,143.4043,85.31233
12.18827,-3.427142,2.05005,-0.083192,317.4232,143.4043,85.31233
12.19219,-3.427142,2.05005,-0.083192,317.4232,143.4043,85.31233
12.19573,-3.427142,2.05005,-0.083192,317.4232,143.4043,85.31233
12.21914,-3.427407,2.05005,-0.083726,317.4114,143.4819,85.23096
12.22988,-3.427407,2.05005,-0.083726,317.4114,143.4819,85.23096
12.23523,-3.427407,2.05005,-0.083726,317.4114,143.4819,85.23096
12.2376,-3.427407,2.05005,-0.083726,317.4114,143.4819,85.23096
12.24091,-3.427407,2.05005,-0.083726,317.4232,143.4043,85.23909
12.24492,-3.427407,2.05005,-0.083726,317.4232,143.4043,85.23909
12.24911,-3.427407,2.05005,-0.083726,317.4232,143.4043,85.23909
12.25257,-3.427407,2.05005,-0.083726,317.4232,143.4043,85.23909
12.25591,-3.427407,2.05005,-0.083726,317.4232,143.4043,85.23909
12.25871,-3.427407,2.05005,-0.083726,317.4232,143.4043,85.23909
12.2616,-3.427407,2.05005,-0.083726,317.4114,143.4819,85.23096
12.28015,-3.426219,2.05005,-0.081332,317.4337,143.4234,85.2841
12.29537,-3.426219,2.05005,-0.081332,317.4337,143.4234,85.2841
12.29841,-3.426219,2.05005,-0.081332,317.4337,143.4234,85.2841
12.3019,-3.426219,2.05005,-0.081332,317.4221,143.501,85.20273
12.30629,-3.426219,2.05005,-0.081332,317.4221,143.501,85.20273
12.30968,-3.426219,2.05005,-0.081332,317.4221,143.501,85.20273
12.31312,-3.426219,2.05005,-0.081332,317.4221,143.501,85.20273
12.31641,-3.426219,2.05005,-0.081332,317.4221,143.501,85.20273
12.31902,-3.426219,2.05005,-0.081332,317.4221,143.501,85.20273
12.32199,-3.42932,2.05005,-0.080456,317.4221,143.5245,85.20274
12.32782,-3.42932,2.05005,-0.080456,317.4221,143.5245,85.20274
12.33109,-3.42932,2.05005,-0.080456,317.4221,143.5245,85.20274
12.33446,-3.42932,2.05005,-0.080456,317.4221,143.5245,85.20274
12.33783,-3.42932,2.05005,-0.080456,317.4221,143.5245,85.20274
12.34069,-3.42932,2.05005,-0.080456,317.4337,143.447,85.21085
12.34505,-3.42932,2.05005,-0.080456,317.4337,143.447,85.21085
12.34846,-3.42932,2.05005,-0.080456,317.4337,143.447,85.21085
12.35156,-3.42932,2.05005,-0.080456,317.4337,143.447,85.21085
12.35472,-3.42932,2.05005,-0.080456,317.4337,143.447,85.21085
12.35789,-3.42932,2.05005,-0.080456,317.4337,143.447,85.21085
12.36101,-3.42932,2.05005,-0.080456,317.4221,143.5245,85.20274
12.36567,-3.42932,2.05005,-0.080456,317.4221,143.5245,85.20274
12.36851,-3.42932,2.05005,-0.080456,317.4221,143.5245,85.20274
12.37193,-3.42932,2.05005,-0.080456,317.4221,143.5245,85.20274
12.37489,-3.42932,2.05005,-0.080456,317.4221,143.5245,85.20274
12.37824,-3.42932,2.05005,-0.080456,317.4221,143.5245,85.20274
12.40078,-3.42932,2.05005,-0.080456,317.5055,143.467,85.2706
12.41021,-3.42932,2.05005,-0.080456,317.5055,143.467,85.2706
12.41353,-3.42932,2.05005,-0.080456,317.5055,143.467,85.2706
12.41701,-3.42932,2.05005,-0.080456,317.5055,143.467,85.2706
12.41985,-3.42932,2.05005,-0.080456,317.5055,143.467,85.2706
12.42484,-3.429585,2.05005,-0.080988,317.4337,143.447,85.21085
12.42796,-3.429585,2.05005,-0.080988,317.4337,143.447,85.21085
12.431,-3.429585,2.05005,-0.080988,317.4337,143.447,85.21085
12.43314,-3.429585,2.05005,-0.080988,317.4337,143.447,85.21085
12.43551,-3.429585,2.05005,-0.080988,317.4337,143.447,85.21085
12.43805,-3.429585,2.05005,-0.080988,317.4337,143.447,85.21085
12.44137,-3.429585,2.05005,-0.080988,317.4221,143.5245,85.20274
12.44558,-3.429585,2.05005,-0.080988,317.4221,143.5245,85.20274
12.44916,-3.429585,2.05005,-0.080988,317.4221,143.5245,85.20274
12.45267,-3.429585,2.05005,-0.080988,317.4221,143.5245,85.20274
12.45642,-3.429585,2.05005,-0.080988,317.4221,143.5245,85.20274
