time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
12.07737,-2.227959,2.05005,-0.74208,333.7787,140.9819,294.1367
12.0916,-2.227959,2.05005,-0.74208,333.6942,141.0431,294.1335
12.10011,-2.227959,2.05005,-0.74208,333.7067,140.9672,294.1432
12.1057,-2.227959,2.05005,-0.74208,333.7067,140.9672,294.1432
12.10884,-2.227959,2.05005,-0.74208,333.7067,140.9672,294.1432
12.11215,-2.227959,2.05005,-0.74208,333.7067,140.9672,294.1432
12.11583,-2.227959,2.05005,-0.74208,333.7067,140.9672,294.1432
12.11902,-2.227959,2.05005,-0.74208,333.7067,140.9672,294.1432
12.12269,-2.227959,2.05005,-0.74208,333.7787,140.9819,294.1367
12.14662,-2.227959,2.05005,-0.74208,333.7663,141.0578,294.127
12.15223,-2.227959,2.05005,-0.74208,333.7663,141.0578,294.127
12.15553,-2.227959,2.05005,-0.74208,333.7663,141.0578,294.127
12.15896,-2.227959,2.05005,-0.74208,333.7663,141.0578,294.127
12.16217,-2.227959,2.05005,-0.74208,333.7787,140.9819,294.1367
12.16827,-2.227959,2.05005,-0.74208,333.7787,140.9819,294.1367
12.17167,-2.227959,2.05005,-0.74208,333.7787,140.9819,294.1367
12.17562,-2.227959,2.05005,-0.74208,333.7787,140.9819,294.1367
12.17885,-2.227959,2.05005,-0.74208,333.7787,140.9819,294.1367
12.18281,-2.227959,2.05005,-0.74208,333.8508,140.9966,294.1302
12.18827,-2.227959,2.05005,-0.74208,333.8508,140.9966,294.1302
12.19219,-2.227959,2.05005,-0.74208,333.8508,140.9966,294.1302
12.19573,-2.227959,2.05005,-0.74208,333.8508,140.9966,294.1302
12.21914,-2.227959,2.05005,-0.74208,333.7787,140.9819,294.1367
12.22988,-2.227959,2.05005,-0.74208,333.8508,140.9966,294.1302
12.23523,-2.227959,2.05005,-0.74208,333.8508,140.9966,294.1302
12.2376,-2.227959,2.05005,-0.74208,333.8508,140.9966,294.1302
12.24091,-2.227959,2.05005,-0.74208,333.7912,140.906,294.1462
12.24492,-2.227959,2.05005,-0.74208,333.7912,140.906,294.1462
12.24911,-2.227959,2.05005,-0.74208,333.7912,140.906,294.1462
12.25257,-2.227959,2.05005,-0.74208,333.7912,140.906,294.1462
12.25591,-2.227959,2.05005,-0.74208,333.7912,140.906,294.1462
12.25871,-2.227959,2.05005,-0.74208,333.7912,140.906,294.1462
12.2616,-2.227959,2.05005,-0.74208,333.8633,140.9207,294.1397
12.28015,-2.227959,2.05005,-0.74208,333.8633,140.9207,294.1397
12.29537,-2.227959,2.05005,-0.74208,333.8633,140.9207,294.1397
12.29841,-2.227959,2.05005,-0.74208,333.8633,140.9207,294.1397
12.3019,-2.227959,2.05005,-0.74208,333.8757,140.8449,294.076
12.30629,-2.227959,2.05005,-0.74208,333.8757,140.8449,294.076
12.30968,-2.227959,2.05005,-0.74208,333.8757,140.8449,294.076
12.31312,-2.227959,2.05005,-0.74208,333.8757,140.8449,294.076
12.31641,-2.227959,2.05005,-0.74208,333.8757,140.8449,294.076
12.31902,-2.227959,2.05005,-0.74208,333.8757,140.8449,294.076
12.32199,-2.227959,2.05005,-0.74208,333.8757,140.8449,294.1493
12.32782,-2.227959,2.05005,-0.74208,333.8757,140.8449,294.1493
12.33109,-2.227959,2.05005,-0.74208,333.8757,140.8449,294.1493
12.33446,-2.227959,2.05005,-0.74208,333.8757,140.8449,294.1493
12.33783,-2.227959,2.05005,-0.74208,333.8757,140.8449,294.1493
12.34069,-2.227959,2.05005,-0.74208,333.8757,140.8449,294.1493
12.34505,-2.227959,2.05005,-0.74208,333.8757,140.8449,294.1493
12.34846,-2.227959,2.05005,-0.74208,333.8757,140.8449,294.1493
12.35156,-2.227959,2.05005,-0.74208,333.8757,140.8449,294.1493
12.35472,-2.227959,2.05005,-0.74208,333.8757,140.8449,294.1493
12.35789,-2.227959,2.05005,-0.74208,333.8757,140.8449,294.1493
12.36101,-2.227959,2.05005,-0.74208,333.8882,140.769,294.1588
12.36567,-2.227959,2.05005,-0.74208,333.8882,140.769,294.1588
12.36851,-2.227959,2.05005,-0.74208,333.8882,140.769,294.1588
12.37193,-2.227959,2.05005,-0.74208,333.8882,140.769,294.1588
12.37489,-2.227959,2.05005,-0.74208,333.8882,140.769,294.1588
12.37824,-2.227959,2.05005,-0.74208,333.8882,140.769,294.1588
12.40078,-2.231067,2.05005,-0.741163,333.9007,140.7167,294.1683
12.41021,-2.231067,2.05005,-0.741163,333.9007,140.7167,294.1683
12.41353,-2.231067,2.05005,-0.741163,333.9007,140.7167,294.1683
12.41701,-2.231067,2.05005,-0.741163,333.9007,140.7167,294.1683
12.41985,-2.231067,2.05005,-0.741163,333.9007,140.7167,294.1683
12.42484,-2.231067,2.05005,-0.741163,333.8287,140.702,294.1748
12.42796,-2.231067,2.05005,-0.741163,333.8287,140.702,294.1748
12.431,-2.231067,2.05005,-0.741163,333.8287,140.702,294.1748
12.43314,-2.231067,2.05005,-0.741163,333.8287,140.702,294.1748
12.43551,-2.231067,2.05005,-0.741163,333.8287,140.702,294.1748
12.43805,-2.231067,2.05005,-0.741163,333.8287,140.702,294.1748
12.44137,-2.231067,2.05005,-0.741163,333.9007,140.7167,294.1683
12.44558,-2.231067,2.05005,-0.741163,333.9007,140.7167,294.1683
12.44916,-2.231067,2.05005,-0.741163,333.9007,140.7167,294.1683
12.45267,-2.231067,2.05005,-0.741163,333.9007,140.7167,294.1683
12.45642,-2.231067,2.05005,-0.741163,333.9007,140.7167,294.1683
12.45938,-2.231067,2.05005,-0.741163,333.9007,140.7167,294.1683
12.46306,-2.231067,2.05005,-0.741163,333.9133,140.6409,294.1778
12.46877,-2.231067,2.05005,-0.741163,333.9133,140.6409,294.1778
12.4724,-2.231067,2.05005,-0.741163,333.9133,140.6409,294.1778
12.47545,-2.231067,2.05005,-0.741163,333.9133,140.6409,294.1778
12.47843,-2.231067,2.05005,-0.741163,333.9133,140.6409,294.1778
12.48101,-2.231067,2.05005,-0.741163,333.9133,140.6409,294.1778
12.48472,-2.231067,2.05005,-0.741163,333.9133,140.6409,294.1778
12.4877,-2.231067,2.05005,-0.741163,333.9133,140.6409,294.1778
12.49053,-2.231067,2.05005,-0.741163,333.9133,140.6409,294.1778
12.49352,-2.231067,2.05005,-0.741163,333.9133,140.6409,294.1778
12.4966,-2.231067,2.05005,-0.741163,333.9133,140.6409,294.1778
12.4994,-2.231067,2.05005,-0.741163,333.9133,140.6409,294.1778
12.50252,-2.231067,2.05005,-0.741163,333.8412,140.6261,294.1843
12.50874,-2.231067,2.05005,-0.741163,333.8412,140.6261,294.1843
12.51114,-2.231067,2.05005,-0.741163,333.8412,140.6261,294.1843
12.5139,-2.231067,2.05005,-0.741163,333.8412,140.6261,294.1843
12.51642,-2.231067,2.05005,-0.741163,333.8412,140.6261,294.1843
12.51883,-2.231067,2.05005,-0.741163,333.8412,140.6261,294.1843
12.5216,-2.231067,2.05005,-0.741163,333.9133,140.6409,294.1778
12.52474,-2.231067,2.05005,-0.741163,333.9133,140.6409,294.1778
12.52688,-2.231067,2.05005,-0.741163,333.9133,140.6409,294.1778
12.52907,-2.231067,2.05005,-0.741163,333.9133,140.6409,294.1778
12.53166,-2.231067,2.05005,-0.741163,333.9133,140.6409,294.1778
12.54218,-2.231067,2.05005,-0.741163,333.9258,140.5651,294.1873
12.54587,-2.231067,2.05005,-0.741163,333.9258,140.5651,294.1873
12.54899,-2.231067,2.05005,-0.741163,333.9258,140.5651,294.1873
12.55264,-2.231067,2.05005,-0.741163,333.9258,140.5651,294.1873
12.55568,-2.231067,2.05005,-0.741163,333.9258,140.5651,294.1873
12.55895,-2.231067,2.05005,-0.741163,333.9258,140.5651,294.1873
12.56202,-2.231067,2.05005,-0.741163,333.9258,140.5651,294.1873
12.56852,-2.231067,2.05005,-0.741163,333.9258,140.5651,294.1873
12.57143,-2.231067,2.05005,-0.741163,333.9258,140.5651,294.1873
12.57428,-2.231067,2.05005,-0.741163,333.9258,140.5651,294.1873
12.57713,-2.231067,2.05005,-0.741163,333.9258,140.5651,294.1873
12.58112,-2.231067,2.05005,-0.741163,333.9258,140.5651,294.1873
12.58562,-2.231067,2.05005,-0.741163,333.9258,140.5651,294.1873
12.58924,-2.231067,2.05005,-0.741163,333.9258,140.5651,294.1873
12.59284,-2.231067,2.05005,-0.741163,333.9258,140.5651,294.1873
12.59658,-2.231067,2.05005,-0.741163,333.9258,140.5651,294.1873
12.59918,-2.231067,2.05005,-0.741163,333.9258,140.5651,294.1873
12.60179,-2.231067,2.05005,-0.741163,333.9383,140.4893,294.1967
12.6046,-2.231067,2.05005,-0.741163,333.9383,140.4893,294.1967
12.60718,-2.231067,2.05005,-0.741163,333.9383,140.4893,294.1967
12.60985,-2.231067,2.05005,-0.741163,333.9383,140.4893,294.1967
12.61429,-2.231067,2.05005,-0.741163,333.9383,140.4893,294.1967
12.61783,-2.231067,2.05005,-0.741163,333.9383,140.4893,294.1967
12.62072,-2.231067,2.05005,-0.741163,333.9383,140.4893,294.1967
12.6264,-2.231067,2.05005,-0.741163,333.9383,140.4893,294.1967
12.63026,-2.231067,2.05005,-0.741163,333.9383,140.4893,294.1967
12.63321,-2.231067,2.05005,-0.741163,333.9383,140.4893,294.1967
12.6366,-2.231067,2.05005,-0.741163,333.9383,140.4893,294.1967
12.63969,-2.231067,2.05005,-0.741163,333.9383,140.4893,294.1967
12.64318,-2.234175,2.05005,-0.740245,333.9383,140.5128,294.1967
12.64785,-2.234175,2.05005,-0.740245,333.9383,140.5128,294.1967
12.64998,-2.234175,2.05005,-0.740245,333.9383,140.5128,294.1967
12.65183,-2.234175,2.05005,-0.740245,333.9383,140.5128,294.1967
12.65415,-2.234175,2.05005,-0.740245,333.9383,140.5128,294.1967
12.65644,-2.234175,2.05005,-0.740245,333.9383,140.5128,294.1967
12.65937,-2.234175,2.05005,-0.740245,333.9383,140.5128,294.1967
12.66195,-2.234175,2.05005,-0.740245,333.9509,140.437,294.2061
12.66834,-2.234175,2.05005,-0.740245,333.9509,140.437,294.2061
12.67041,-2.234175,2.05005,-0.740245,333.9509,140.437,294.2061
12.67343,-2.234175,2.05005,-0.740245,333.9509,140.437,294.2061
12.67609,-2.234175,2.05005,-0.740245,333.9509,140.437,294.2061
12.67958,-2.234175,2.05005,-0.740245,333.9509,140.437,294.2061
12.68248,-2.234175,2.05005,-0.740245,333.9509,140.437,294.2061
12.68869,-2.234175,2.05005,-0.740245,333.9509,140.437,294.2061
12.69166,-2.234175,2.05005,-0.740245,333.9509,140.437,294.2061
12.69462,-2.234175,2.05005,-0.740245,333.9509,140.437,294.2061
12.69757,-2.234175,2.05005,-0.740245,333.9509,140.437,294.2061
12.70061,-2.234175,2.05005,-0.740245,333.9383,140.5128,294.1967
12.70455,-2.234175,2.05005,-0.740245,333.9383,140.5128,294.1967
12.70765,-2.234175,2.05005,-0.740245,333.9383,140.5128,294.1967
12.71075,-2.234175,2.05005,-0.740245,333.9383,140.5128,294.1967
12.71461,-2.234175,2.05005,-0.740245,333.9383,140.5128,294.1967
12.71753,-2.234175,2.05005,-0.740245,333.9383,140.5128,294.1967
12.72066,-2.234175,2.05005,-0.740245,333.9383,140.5128,294.1967
12.72421,-2.234175,2.05005,-0.740245,333.9383,140.5128,294.1967
12.72737,-2.234175,2.05005,-0.740245,333.9383,140.5128,294.1967
12.73052,-2.234175,2.05005,-0.740245,333.9383,140.5128,294.1967
12.73337,-2.234175,2.05005,-0.740245,333.9383,140.5128,294.1967
12.73621,-2.234175,2.05005,-0.740245,333.9383,140.5128,294.1967
12.73869,-2.234175,2.05005,-0.740245,333.9383,140.5128,294.1967
12.74153,-2.234175,2.05005,-0.740245,333.9509,140.437,294.2061
12.74572,-2.234175,2.05005,-0.740245,333.9509,140.437,294.2061
12.74868,-2.234175,2.05005,-0.740245,333.9509,140.437,294.2061
12.75179,-2.234175,2.05005,-0.740245,333.9509,140.437,294.2061
12.75472,-2.234175,2.05005,-0.740245,333.9509,140.437,294.2061
12.75745,-2.234175,2.05005,-0.740245,333.9509,140.437,294.2061
12.76027,-2.234175,2.05005,-0.740245,333.9383,140.5128,294.1967
12.76407,-2.234175,2.05005,-0.740245,333.9383,140.5128,294.1967
12.7668,-2.234175,2.05005,-0.740245,333.9383,140.5128,294.1967
12.7699,-2.234175,2.05005,-0.740245,333.9383,140.5128,294.1967
12.77306,-2.234175,2.05005,-0.740245,333.9383,140.5128,294.1967
12.77651,-2.234175,2.05005,-0.740245,333.9383,140.5128,294.1967
12.78012,-2.234175,2.05005,-0.740245,333.9634,140.3612,294.2155
12.78416,-2.234175,2.05005,-0.740245,333.9634,140.3612,294.2155
12.78677,-2.234175,2.05005,-0.740245,333.9634,140.3612,294.2155
12.78977,-2.234175,2.05005,-0.740245,333.9634,140.3612,294.2155
12.79212,-2.234175,2.05005,-0.740245,333.9634,140.3612,294.2155
12.79555,-2.234175,2.05005,-0.740245,333.9634,140.3612,294.2155
12.79929,-2.234175,2.05005,-0.740245,333.9634,140.3612,294.2155
12.80256,-2.234175,2.05005,-0.740245,333.9634,140.3612,294.2155
12.80843,-2.234175,2.05005,-0.740245,333.9634,140.3612,294.2155
12.81174,-2.234175,2.05005,-0.740245,333.9634,140.3612,294.2155
12.81526,-2.234175,2.05005,-0.740245,333.9634,140.3612,294.2155
12.81866,-2.234175,2.05005,-0.740245,333.9634,140.3612,294.2155
12.82202,-2.234175,2.05005,-0.740245,333.9509,140.437,294.2061
12.83113,-2.234175,2.05005,-0.740245,333.9509,140.437,294.2061
12.83366,-2.234175,2.05005,-0.740245,333.9509,140.437,294.2061
12.83659,-2.234175,2.05005,-0.740245,333.9509,140.437,294.2061
12.8391,-2.234175,2.05005,-0.740245,333.9509,140.437,294.2061
12.84255,-2.234175,2.05005,-0.740245,333.9509,140.437,294.2061
12.84909,-2.234175,2.05005,-0.740245,333.9509,140.437,294.2061
12.85238,-2.234175,2.05005,-0.740245,333.9509,140.437,294.2061
12.8551,-2.234175,2.05005,-0.740245,333.9509,140.437,294.2061
12.85811,-2.234175,2.05005,-0.740245,333.9509,140.437,294.2061
12.8605,-2.234175,2.05005,-0.740245,333.9634,140.3612,294.2155
12.86447,-2.234175,2.05005,-0.740245,333.9634,140.3612,294.2155
12.86745,-2.234175,2.05005,-0.740245,333.9634,140.3612,294.2155
12.87073,-2.234175,2.05005,-0.740245,333.9634,140.3612,294.2155
12.87373,-2.234175,2.05005,-0.740245,333.9634,140.3612,294.2155
12.87676,-2.234175,2.05005,-0.740245,333.9634,140.3612,294.2155
12.87965,-2.234175,2.05005,-0.740245,333.9634,140.3612,294.2155
12.88308,-2.234175,2.05005,-0.740245,333.9634,140.3612,294.2155
12.88871,-2.234175,2.05005,-0.740245,333.9634,140.3612,294.2155
12.89156,-2.234175,2.05005,-0.740245,333.9634,140.3612,294.2155
12.89446,-2.234175,2.05005,-0.740245,333.9634,140.3612,294.2155
12.89847,-2.234175,2.05005,-0.740245,333.9634,140.3612,294.2155
12.90166,-2.234175,2.05005,-0.740245,333.9634,140.3612,294.2155
12.90844,-2.234175,2.05005,-0.740245,333.9634,140.3612,294.2155
12.9116,-2.234175,2.05005,-0.740245,333.9634,140.3612,294.2155
12.91536,-2.234175,2.05005,-0.740245,333.9634,140.3612,294.2155
12.91839,-2.234175,2.05005,-0.740245,333.9634,140.3612,294.2155
12.92147,-2.234175,2.05005,-0.740245,333.904,140.2706,294.2314
12.92549,-2.234175,2.05005,-0.740245,333.904,140.2706,294.2314
12.92924,-2.234175,2.05005,-0.740245,333.904,140.2706,294.2314
12.93233,-2.234175,2.05005,-0.740245,333.904,140.2706,294.2314
12.93561,-2.234175,2.05005,-0.740245,333.904,140.2706,294.2314
