time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
55.26534,-3.529892,2.05005,-0.006013,319.2366,139.4574,81.81365
55.26858,-3.529892,2.05005,-0.006013,319.2366,139.4574,81.81365
55.27236,-3.529892,2.05005,-0.006013,319.2366,139.4574,81.81365
55.27525,-3.529892,2.05005,-0.006013,319.2366,139.4574,81.81365
55.27893,-3.529892,2.05005,-0.006013,319.2366,139.4574,81.81365
55.28215,-3.529892,2.05005,-0.006013,319.2366,139.4574,81.88691
55.28595,-3.529892,2.05005,-0.006013,319.2366,139.4574,81.88691
55.28937,-3.529892,2.05005,-0.006013,319.2366,139.4574,81.88691
55.29245,-3.529892,2.05005,-0.006013,319.2366,139.4574,81.88691
55.29573,-3.529892,2.05005,-0.006013,319.2366,139.4574,81.88691
55.29866,-3.529892,2.05005,-0.006013,319.2366,139.4574,81.88691
55.30164,-3.529892,2.05005,-0.006013,319.3082,139.4776,81.87371
55.30503,-3.529892,2.05005,-0.006013,319.3082,139.4776,81.87371
55.30784,-3.529892,2.05005,-0.006013,319.3082,139.4776,81.87371
55.31156,-3.529892,2.05005,-0.006013,319.3082,139.4776,81.87371
55.31558,-3.529892,2.05005,-0.006013,319.3082,139.4776,81.87371
55.32162,-3.528665,2.05005,-0.00364,319.2454,139.4761,81.85835
55.32512,-3.528665,2.05005,-0.00364,319.2454,139.4761,81.85835
55.32878,-3.528665,2.05005,-0.00364,319.2454,139.4761,81.85835
55.3319,-3.528665,2.05005,-0.00364,319.2454,139.4761,81.85835
55.33519,-3.528665,2.05005,-0.00364,319.2454,139.4761,81.85835
55.34065,-3.528969,2.05005,-0.004228,319.233,139.5524,81.77847
55.34562,-3.528969,2.05005,-0.004228,319.233,139.5524,81.77847
55.34846,-3.528969,2.05005,-0.004228,319.233,139.5524,81.77847
55.35146,-3.528969,2.05005,-0.004228,319.233,139.5524,81.77847
55.35457,-3.528969,2.05005,-0.004228,319.233,139.5524,81.77847
55.3578,-3.528969,2.05005,-0.004228,319.233,139.5524,81.77847
55.36153,-3.528969,2.05005,-0.004228,319.233,139.5524,81.77847
55.36618,-3.528969,2.05005,-0.004228,319.233,139.5524,81.77847
55.37004,-3.528969,2.05005,-0.004228,319.233,139.5524,81.77847
55.37297,-3.528969,2.05005,-0.004228,319.233,139.5524,81.77847
55.37669,-3.528969,2.05005,-0.004228,319.233,139.5524,81.77847
55.38029,-3.527741,2.05005,-0.001855,319.1702,139.5509,81.7631
55.38972,-3.527741,2.05005,-0.001855,319.1702,139.5509,81.7631
55.39193,-3.527741,2.05005,-0.001855,319.1702,139.5509,81.7631
55.39542,-3.527741,2.05005,-0.001855,319.1702,139.5509,81.7631
55.39841,-3.527741,2.05005,-0.001855,319.1702,139.5509,81.7631
55.40137,-3.527741,2.05005,-0.001855,319.2419,139.571,81.74992
55.40469,-3.527741,2.05005,-0.001855,319.2419,139.571,81.74992
55.40751,-3.527741,2.05005,-0.001855,319.2419,139.571,81.74992
55.41121,-3.527741,2.05005,-0.001855,319.2419,139.571,81.74992
55.41441,-3.527741,2.05005,-0.001855,319.2419,139.571,81.74992
55.41728,-3.527741,2.05005,-0.001855,319.2419,139.571,81.74992
55.41995,-3.527741,2.05005,-0.001855,319.2419,139.571,81.74992
55.42535,-3.524937,2.05005,-0.003305,319.1702,139.5273,81.83634
55.43109,-3.524937,2.05005,-0.003305,319.1702,139.5273,81.83634
55.43446,-3.524937,2.05005,-0.003305,319.1702,139.5273,81.83634
55.43744,-3.524937,2.05005,-0.003305,319.1702,139.5273,81.83634
55.43996,-3.524937,2.05005,-0.003305,319.1702,139.5273,81.83634
55.44445,-3.524937,2.05005,-0.003305,319.1579,139.6037,81.75645
