time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
29.30628,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.31285,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.31825,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.32309,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.32806,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.33325,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.33719,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.3426,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.34778,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.35223,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.36098,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.3688,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.37685,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.37974,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.38442,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.39107,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.39587,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.40032,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.4051,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.41046,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.41473,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.41893,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.42438,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.42925,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.43391,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.43869,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.44476,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.4612,0,1.244465,2.80571,335.6389,179.9952,210.1441
29.46739,0,1.244464,2.80571,335.6389,179.9952,210.1441
29.47265,0,1.244464,2.80571,335.6389,179.9952,210.1441
29.47935,0,1.244464,2.80571,335.6389,179.9952,210.1441
29.48509,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.49007,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.49576,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.49987,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.50476,0,1.244464,2.80571,335.6388,180.1077,210.2024
29.51113,0,1.244464,2.80571,335.6388,180.1077,210.2024
29.51534,0,1.244464,2.80571,335.6388,180.1077,210.2024
29.51984,0,1.244464,2.80571,335.6388,180.1077,210.2024
29.52478,0,1.244464,2.80571,335.5656,180.0514,210.1733
29.53061,0,1.244464,2.80571,335.5656,180.0514,210.1733
29.53638,0,1.244464,2.80571,335.5656,180.0514,210.1733
29.54108,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.54582,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.55061,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.55573,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.56129,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.56651,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.5711,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.5768,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.58313,0,1.244464,2.80571,335.5656,180.0514,210.1733
29.58839,0,1.244464,2.80571,335.5656,180.0514,210.1733
29.59467,0,1.244464,2.80571,335.5656,180.0514,210.1733
29.59939,0,1.244464,2.80571,335.5656,180.0514,210.1733
29.60366,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.60916,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.61379,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.61802,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.62259,0,1.244464,2.80571,335.6388,180.1077,210.2024
29.62828,0,1.244464,2.80571,335.6388,180.1077,210.2024
29.63276,0,1.244464,2.80571,335.6388,180.1077,210.2024
29.63728,0,1.244464,2.80571,335.6388,180.1077,210.2024
29.64275,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.64772,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.65206,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.65727,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.66211,0,1.244465,2.80571,335.6389,180.0515,210.1732
29.66686,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.67154,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.67632,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.68077,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.68572,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.69093,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.69568,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.70057,0,1.244464,2.80571,335.6388,180.1077,210.2024
29.70546,0,1.244464,2.80571,335.6388,180.1077,210.2024
29.71023,0,1.244464,2.80571,335.6388,180.1077,210.2024
29.71463,0,1.244464,2.80571,335.6388,180.1077,210.2024
29.71957,0,1.244464,2.80571,335.6388,180.1077,210.2024
29.725,0,1.244464,2.80571,335.6388,180.1077,210.2024
29.7317,0,1.244464,2.80571,335.6388,180.1077,210.2024
29.73716,0,1.244464,2.80571,335.6388,180.1077,210.2024
29.74321,0,1.244464,2.80571,335.5656,180.0514,210.1733
29.74945,0,1.244464,2.80571,335.5656,180.0514,210.1733
29.75442,0,1.244464,2.80571,335.5656,180.0514,210.1733
29.75925,0,1.244464,2.80571,335.5656,180.0514,210.1733
29.76511,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.77092,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.77552,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.78102,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.78617,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.79145,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.79719,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.80199,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.80704,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.81354,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.81884,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.82446,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.831,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.83527,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.84002,0,1.244464,2.80571,335.5656,180.0514,210.1733
29.84555,0,1.244464,2.80571,335.5656,180.0514,210.1733
29.85017,0,1.244464,2.80571,335.5656,180.0514,210.1733
29.85484,0,1.244464,2.80571,335.5656,180.0514,210.1733
29.8606,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.86538,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.87019,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.87558,0,1.244464,2.80571,335.6389,180.0515,210.1732
29.88014,0,1.244464,2.80571,335.5656,180.0514,210.1733
29.88491,0,1.244464,2.80571,335.5656,180.0514,210.1733
29.88965,0,1.244464,2.80571,335.5656,180.0514,210.1733
29.89507,0,1.244464,2.80571,335.5656,180.0514,210.1733
29.89979,0,1.244464,2.80571,335.5656,180.0514,210.1733
29.90503,0,1.244464,2.80571,335.5656,180.1077,210.2024
29.91095,0,1.244464,2.80571,335.5656,180.1077,210.2024
29.91524,0,1.244464,2.80571,335.5656,180.1077,210.2024
29.92031,0,1.244464,2.80571,335.5656,180.1077,210.2024
29.92581,0,1.244464,2.80571,335.5656,180.1077,210.2024
29.92998,0,1.244464,2.80571,335.5656,180.1077,210.2024
29.93441,0,1.244464,2.80571,335.5656,180.1077,210.2024
