time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
38.12732,-3.389915,2.05005,-0.064973,319.998,138.2252,105.3574
38.13266,-3.389915,2.05005,-0.064973,319.998,138.2252,105.3574
38.13811,-3.389915,2.05005,-0.064973,319.998,138.2252,105.3574
38.14457,-3.392745,2.05005,-0.063578,319.9662,138.402,105.2673
38.15142,-3.392745,2.05005,-0.063578,319.9662,138.402,105.2673
38.15578,-3.392745,2.05005,-0.063578,319.9662,138.402,105.2673
38.16178,-3.392745,2.05005,-0.063578,319.9503,138.4786,105.2589
38.16691,-3.392745,2.05005,-0.063578,319.9503,138.4786,105.2589
38.17118,-3.392745,2.05005,-0.063578,319.9503,138.4786,105.2589
38.18418,-3.392745,2.05005,-0.063578,319.8637,138.5303,105.1932
38.19097,-3.392745,2.05005,-0.063578,319.8637,138.5303,105.1932
38.1959,-3.392745,2.05005,-0.063578,319.8637,138.5303,105.1932
38.19997,-3.392745,2.05005,-0.063578,319.8637,138.5303,105.1932
38.20515,-3.393913,2.05005,-0.065947,319.8389,138.5887,105.1397
38.21296,-3.393912,2.05005,-0.065947,319.839,138.5887,105.1397
38.21681,-3.393913,2.05005,-0.065947,319.8389,138.5888,105.1397
38.22187,-3.393913,2.05005,-0.065947,319.8389,138.5887,105.0665
38.22749,-3.393913,2.05005,-0.065947,319.8389,138.5887,105.0665
38.23256,-3.393912,2.05005,-0.065947,319.8389,138.5887,105.0665
38.23701,-3.393913,2.05005,-0.065947,319.8389,138.5887,105.0665
38.24191,-3.394395,2.05005,-0.066924,319.9096,138.6138,105.1235
38.24687,-3.394394,2.05005,-0.066924,319.9096,138.6138,105.1235
38.25171,-3.394395,2.05005,-0.066924,319.9096,138.6138,105.1235
38.25636,-3.394395,2.05005,-0.066924,319.9096,138.6138,105.1235
38.26151,-3.394394,2.05005,-0.066924,319.9096,138.6138,105.0503
38.2681,-3.394395,2.05005,-0.066924,319.9096,138.6138,105.0503
38.27312,-3.394394,2.05005,-0.066924,319.9096,138.6138,105.0503
38.27934,-3.394395,2.05005,-0.066924,319.9096,138.6138,105.0503
38.28403,-3.394395,2.05005,-0.066924,319.9096,138.6138,105.0503
38.29052,-3.394395,2.05005,-0.066924,319.9096,138.6138,105.0503
38.29772,-3.394395,2.05005,-0.066924,319.9096,138.6138,105.0503
38.30201,-3.394395,2.05005,-0.066924,319.9803,138.6389,104.9609
38.30712,-3.394395,2.05005,-0.066924,319.9803,138.6389,104.9609
38.31266,-3.394395,2.05005,-0.066924,319.9803,138.6389,104.9609
38.3183,-3.394395,2.05005,-0.066924,319.9803,138.6389,104.9609
38.32319,-3.394395,2.05005,-0.066924,320.0829,138.5105,105.1084
