experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,interval_time,path_number,trainee_right_stylus_movement_location_0,mentor_left_stylus_movement_location_0
guidance_experiment,doze-3648f70b-ef99-4793-bad2-aa4fecd449b5,1,1,1,1,8.284269,10.76,5,1,guidance_experiment/doze-3648f70b-ef99-4793-bad2-aa4fecd449b5/S001/trackers/trainee_right_stylus_movement_T001.csv,guidance_experiment/doze-3648f70b-ef99-4793-bad2-aa4fecd449b5/S001/trackers/mentor_left_stylus_movement_T001.csv
guidance_experiment,doze-3648f70b-ef99-4793-bad2-aa4fecd449b5,1,2,1,2,13.82922,16.16,5,1,guidance_experiment/doze-3648f70b-ef99-4793-bad2-aa4fecd449b5/S001/trackers/trainee_right_stylus_movement_T002.csv,guidance_experiment/doze-3648f70b-ef99-4793-bad2-aa4fecd449b5/S001/trackers/mentor_left_stylus_movement_T002.csv
guidance_experiment,doze-3648f70b-ef99-4793-bad2-aa4fecd449b5,1,3,2,1,18.94791,22.32,5,2,guidance_experiment/doze-3648f70b-ef99-4793-bad2-aa4fecd449b5/S001/trackers/trainee_right_stylus_movement_T003.csv,guidance_experiment/doze-3648f70b-ef99-4793-bad2-aa4fecd449b5/S001/trackers/mentor_left_stylus_movement_T003.csv
guidance_experiment,doze-3648f70b-ef99-4793-bad2-aa4fecd449b5,1,4,2,2,24.46369,25.92,5,2,guidance_experiment/doze-3648f70b-ef99-4793-bad2-aa4fecd449b5/S001/trackers/trainee_right_stylus_movement_T004.csv,guidance_experiment/doze-3648f70b-ef99-4793-bad2-aa4fecd449b5/S001/trackers/mentor_left_stylus_movement_T004.csv
guidance_experiment,doze-3648f70b-ef99-4793-bad2-aa4fecd449b5,1,5,3,1,29.30628,31.12,6,3,guidance_experiment/doze-3648f70b-ef99-4793-bad2-aa4fecd449b5/S001/trackers/trainee_right_stylus_movement_T005.csv,guidance_experiment/doze-3648f70b-ef99-4793-bad2-aa4fecd449b5/S001/trackers/mentor_left_stylus_movement_T005.csv
guidance_experiment,doze-3648f70b-ef99-4793-bad2-aa4fecd449b5,1,6,3,2,33.02244,34.28,6,3,guidance_experiment/doze-3648f70b-ef99-4793-bad2-aa4fecd449b5/S001/trackers/trainee_right_stylus_movement_T006.csv,guidance_experiment/doze-3648f70b-ef99-4793-bad2-aa4fecd449b5/S001/trackers/mentor_left_stylus_movement_T006.csv
guidance_experiment,doze-3648f70b-ef99-4793-bad2-aa4fecd449b5,1,7,4,1,38.12732,40.34,6,1,guidance_experiment/doze-3648f70b-ef99-4793-bad2-aa4fecd449b5/S001/trackers/trainee_right_stylus_movement_T007.csv,guidance_experiment/doze-3648f70b-ef99-4793-bad2-aa4fecd449b5/S001/trackers/mentor_left_stylus_movement_T007.csv
guidance_experiment,doze-3648f70b-ef99-4793-bad2-aa4fecd449b5,1,8,4,2,42.66499,44.6,6,1,guidance_experiment/doze-3648f70b-ef99-4793-bad2-aa4fecd449b5/S001/trackers/trainee_right_stylus_movement_T008.csv,guidance_experiment/doze-3648f70b-ef99-4793-bad2-aa4fecd449b5/S001/trackers/mentor_left_stylus_movement_T008.csv
guidance_experiment,doze-3648f70b-ef99-4793-bad2-aa4fecd449b5,1,9,5,1,46.72268,48.14,7,2,guidance_experiment/doze-3648f70b-ef99-4793-bad2-aa4fecd449b5/S001/trackers/trainee_right_stylus_movement_T009.csv,guidance_experiment/doze-3648f70b-ef99-4793-bad2-aa4fecd449b5/S001/trackers/mentor_left_stylus_movement_T009.csv
guidance_experiment,doze-3648f70b-ef99-4793-bad2-aa4fecd449b5,1,10,5,2,50.26938,51.62,7,2,guidance_experiment/doze-3648f70b-ef99-4793-bad2-aa4fecd449b5/S001/trackers/trainee_right_stylus_movement_T010.csv,guidance_experiment/doze-3648f70b-ef99-4793-bad2-aa4fecd449b5/S001/trackers/mentor_left_stylus_movement_T010.csv
guidance_experiment,doze-3648f70b-ef99-4793-bad2-aa4fecd449b5,1,11,6,1,53.46912,54.88,7,3,guidance_experiment/doze-3648f70b-ef99-4793-bad2-aa4fecd449b5/S001/trackers/trainee_right_stylus_movement_T011.csv,guidance_experiment/doze-3648f70b-ef99-4793-bad2-aa4fecd449b5/S001/trackers/mentor_left_stylus_movement_T011.csv
guidance_experiment,doze-3648f70b-ef99-4793-bad2-aa4fecd449b5,1,12,6,2,56.82757,58.18,7,3
,guidance_experiment/doze-3648f70b-ef99-4793-bad2-aa4fecd449b5/S001/trackers/trainee_right_stylus_movement_T012.csv,guidance_experiment/doze-3648f70b-ef99-4793-bad2-aa4fecd449b5/S001/trackers/mentor_left_stylus_movement_T012.csv
