time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
92.64214,0,1.244464,2.80571,335.6389,179.9952,210.1441
92.64838,0,1.244464,2.80571,335.6389,179.9952,210.1441
92.65254,0,1.244464,2.80571,335.6389,179.9952,210.1441
92.65675,0,1.244464,2.80571,335.6389,179.9952,210.1441
92.66125,0,1.244464,2.80571,335.6389,179.939,210.115
92.66636,0,1.244464,2.80571,335.6389,179.939,210.115
92.67053,0,1.244464,2.80571,335.6389,179.939,210.115
92.67477,0,1.244464,2.80571,335.6389,179.939,210.115
92.6799,0,1.244464,2.80571,335.6389,179.939,210.115
92.68405,0,1.244464,2.80571,335.6389,179.939,210.115
92.69025,0,1.244464,2.80571,335.6389,179.939,210.115
92.69474,0,1.244464,2.80571,335.6389,179.939,210.115
92.69935,0,1.244464,2.80571,335.6389,179.939,210.115
92.70365,0,1.244464,2.80571,335.5656,179.9952,210.1441
92.70922,0,1.244464,2.80571,335.5656,179.9952,210.1441
92.71506,0,1.244464,2.80571,335.5656,179.9952,210.1441
92.72084,0,1.244464,2.80571,335.6389,179.9952,210.1441
92.72532,0,1.244464,2.80571,335.6389,179.9952,210.1441
92.73049,0,1.244464,2.80571,335.6389,179.9952,210.1441
92.73468,0,1.244464,2.80571,335.6389,179.9952,210.1441
92.74588,0,1.244464,2.80571,335.5656,179.9952,210.1441
92.74993,0,1.244464,2.80571,335.5656,179.9952,210.1441
92.754,0,1.244464,2.80571,335.5656,179.9952,210.1441
92.75829,0,1.244464,2.80571,335.5656,179.9952,210.1441
92.76286,0,1.244464,2.80571,335.6389,179.939,210.115
92.76788,0,1.244464,2.80571,335.6389,179.939,210.115
92.77209,0,1.244464,2.80571,335.6389,179.939,210.115
92.77639,0,1.244464,2.80571,335.6389,179.939,210.115
92.78123,0,1.244464,2.80571,335.6389,179.9952,210.1441
92.78608,0,1.244464,2.80571,335.6389,179.9952,210.1441
92.79033,0,1.244464,2.80571,335.6389,179.9952,210.1441
92.79482,0,1.244464,2.80571,335.6389,179.9952,210.1441
92.79952,0,1.244464,2.80571,335.6389,179.9952,210.1441
92.80422,0,1.244464,2.80571,335.6389,179.9952,210.1441
92.8103,0,1.244464,2.80571,335.6389,179.9952,210.1441
92.81499,0,1.244464,2.80571,335.6389,179.9952,210.1441
92.81965,0,1.244464,2.80571,335.6389,179.9952,210.1441
92.82409,0,1.244464,2.80571,335.5656,179.9952,210.1441
92.83282,0,1.244464,2.80571,335.5656,179.9952,210.1441
92.83633,0,1.244464,2.80571,335.5656,179.9952,210.1441
92.84071,0,1.244464,2.80571,335.6389,179.9952,210.1441
92.84656,0,1.244464,2.80571,335.6389,179.9952,210.1441
92.85259,0,1.244464,2.80571,335.6389,179.9952,210.1441
92.8569,0,1.244464,2.80571,335.6389,179.9952,210.1441
92.86151,0,1.244464,2.80571,335.6389,179.939,210.115
92.86627,0,1.244464,2.80571,335.6389,179.939,210.115
92.87079,0,1.244464,2.80571,335.6389,179.939,210.115
92.87497,0,1.244464,2.80571,335.6389,179.939,210.115
92.88053,0,1.244464,2.80571,335.6389,179.9952,210.1441
92.88503,0,1.244464,2.80571,335.6389,179.9952,210.1441
92.88933,0,1.244464,2.80571,335.6389,179.9952,210.1441
92.89369,0,1.244464,2.80571,335.6389,179.9952,210.1441
92.89867,0,1.244464,2.80571,335.6389,179.9952,210.1441
92.90294,0,1.244464,2.80571,335.5656,179.9952,210.1441
92.90804,0,1.244464,2.80571,335.5656,179.9952,210.1441
92.91248,0,1.244464,2.80571,335.5656,179.9952,210.1441
92.91673,0,1.244464,2.80571,335.5656,179.9952,210.1441
92.92109,0,1.244464,2.80571,335.6389,179.9952,210.2174
92.92685,0,1.244464,2.80571,335.6389,179.9952,210.2174
92.93248,0,1.244464,2.80571,335.6389,179.9952,210.2174
92.93703,0,1.244464,2.80571,335.6389,179.9952,210.2174
92.94172,0,1.244464,2.80571,335.6389,179.9952,210.1441
92.9477,0,1.244464,2.80571,335.6389,179.9952,210.1441
92.95198,0,1.244464,2.80571,335.6389,179.9952,210.1441
92.95673,0,1.244464,2.80571,335.6389,179.9952,210.1441
92.96144,0,1.244464,2.80571,335.6389,179.9952,210.1441
92.9664,0,1.244464,2.80571,335.6389,179.9952,210.1441
92.97076,0,1.244464,2.80571,335.6389,179.9952,210.1441
92.9751,0,1.244464,2.80571,335.6389,179.9952,210.1441
92.9799,0,1.244464,2.80571,335.6389,179.9952,210.1441
92.98416,0,1.244464,2.80571,335.6389,179.939,210.115
92.9903,0,1.244464,2.80571,335.6389,179.939,210.115
92.99431,0,1.244464,2.80571,335.6389,179.939,210.115
92.99905,0,1.244464,2.80571,335.6389,179.939,210.115
93.00352,0,1.244464,2.80571,335.6389,179.9952,210.1441
93.00895,0,1.244464,2.80571,335.6389,179.9952,210.1441
93.01411,0,1.244464,2.80571,335.6389,179.9952,210.1441
93.01891,0,1.244464,2.80571,335.6389,179.9952,210.1441
93.02328,0,1.244464,2.80571,335.6389,179.939,210.115
93.02902,0,1.244464,2.80571,335.6389,179.939,210.115
93.0368,0,1.244464,2.80571,335.6389,179.939,210.115
93.03981,0,1.244464,2.80571,335.6389,179.939,210.115
93.04418,0,1.244464,2.80571,335.6389,179.939,210.115
93.05253,0,1.244464,2.80571,335.6389,179.939,210.115
93.057,0,1.244464,2.80571,335.6389,179.939,210.115
93.06273,0,1.244464,2.80571,335.6389,179.939,210.115
93.06977,0,1.244464,2.80571,335.6389,179.939,210.115
93.07672,0,1.244464,2.80571,335.6389,179.939,210.115
93.08328,0,1.244464,2.80571,335.6389,179.9952,210.1441
93.09068,0,1.244464,2.80571,335.6389,179.9952,210.1441
93.09766,0,1.244464,2.80571,335.6389,179.9952,210.1441
93.10213,0,1.244464,2.80571,335.5656,179.9952,210.1441
93.10925,0,1.244464,2.80571,335.5656,179.9952,210.1441
93.11481,0,1.244464,2.80571,335.5656,179.9952,210.1441
93.11989,0,1.244464,2.80571,335.5656,179.9952,210.1441
93.12638,0,1.244464,2.80571,335.6389,179.939,210.115
93.13441,0,1.244464,2.80571,335.6389,179.939,210.115
93.1394,0,1.244464,2.80571,335.6389,179.939,210.115
93.14416,0,1.244464,2.80571,335.6389,179.9952,210.1441
93.15178,0,1.244464,2.80571,335.6389,179.9952,210.1441
93.15727,0,1.244464,2.80571,335.6389,179.9952,210.1441
