time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
66.5227,0.135095,2.05005,-1.395231,316.835,160.2016,336.1031
66.52937,0.135095,2.05005,-1.395231,316.835,160.2016,336.1031
66.53938,0.135095,2.05005,-1.395231,316.835,160.2016,336.1031
66.54956,0.135095,2.05005,-1.395231,316.7622,160.1906,336.0374
66.55496,0.135095,2.05005,-1.395231,316.7622,160.1906,336.0374
66.55916,0.135095,2.05005,-1.395231,316.7622,160.1906,336.0374
66.56362,0.135095,2.05005,-1.395231,316.7622,160.1906,336.0374
66.56969,0.135095,2.05005,-1.395231,316.7622,160.1906,336.0374
66.57383,0.135095,2.05005,-1.395231,316.7622,160.1906,336.0374
66.57822,0.135095,2.05005,-1.395231,316.7622,160.1906,336.0374
66.58286,0.135111,2.05005,-1.396239,316.6822,160.2692,336.0161
66.58789,0.135111,2.05005,-1.396239,316.6822,160.2692,336.0161
66.59211,0.135111,2.05005,-1.396239,316.6822,160.2692,336.0161
66.59653,0.135111,2.05005,-1.396239,316.6822,160.2692,336.0161
66.60181,0.135111,2.05005,-1.396239,316.6894,160.1796,336.045
66.60661,0.135111,2.05005,-1.396239,316.6894,160.1796,336.045
66.61076,0.135111,2.05005,-1.396239,316.6894,160.1796,336.045
66.61584,0.135111,2.05005,-1.396239,316.6894,160.1796,336.045
66.62074,0.135111,2.05005,-1.396239,316.6894,160.1796,336.045
66.62561,0.135111,2.05005,-1.396239,316.6894,160.1796,336.045
66.63043,0.135111,2.05005,-1.396239,316.6894,160.1796,336.045
66.63515,0.135111,2.05005,-1.396239,316.6894,160.1796,336.045
66.6395,0.135111,2.05005,-1.396239,316.6894,160.1796,336.045
66.64358,0.135128,2.05005,-1.397246,316.6965,160.09,336.1471
66.64895,0.135128,2.05005,-1.397246,316.6965,160.09,336.1471
66.65294,0.135128,2.05005,-1.397246,316.6965,160.09,336.1471
66.65724,0.135128,2.05005,-1.397246,316.6965,160.09,336.1471
66.66149,0.135145,2.05005,-1.398252,316.6237,160.0789,336.1547
66.66713,0.135145,2.05005,-1.398252,316.6237,160.0789,336.1547
66.67123,0.135145,2.05005,-1.398252,316.6237,160.0789,336.1547
66.67548,0.135145,2.05005,-1.398252,316.6237,160.0789,336.1547
66.68053,0.135102,2.05005,-1.395663,316.6458,160.0861,336.071
66.68552,0.135102,2.05005,-1.395663,316.6458,160.0861,336.071
66.68979,0.135102,2.05005,-1.395663,316.6458,160.0861,336.071
66.69391,0.135102,2.05005,-1.395663,316.6458,160.0861,336.071
66.699,0.135102,2.05005,-1.395663,316.6458,160.0861,336.071
66.70316,0.135119,2.05005,-1.396668,316.6458,160.0861,336.071
66.70797,0.135119,2.05005,-1.396668,316.6458,160.0861,336.071
66.7126,0.135119,2.05005,-1.396668,316.6458,160.0861,336.071
66.71725,0.135119,2.05005,-1.396668,316.6458,160.0861,336.071
66.72154,0.135119,2.05005,-1.396668,316.6531,159.9965,336.1731
66.72682,0.135119,2.05005,-1.396668,316.6531,159.9965,336.1731
66.73151,0.135119,2.05005,-1.396668,316.6531,159.9965,336.1731
66.736,0.135119,2.05005,-1.396668,316.6531,159.9965,336.1731
66.74086,0.138453,2.05005,-1.394023,316.6824,159.9141,336.1181
66.75021,0.138453,2.05005,-1.394023,316.6824,159.9141,336.1181
66.75295,0.138453,2.05005,-1.394023,316.6824,159.9141,336.1181
66.75754,0.138453,2.05005,-1.394023,316.6824,159.9141,336.1181
66.76174,0.138365,2.05005,-1.388843,316.7117,159.8082,336.2096
66.76816,0.138365,2.05005,-1.388843,316.7117,159.8082,336.2096
66.7728,0.138365,2.05005,-1.388843,316.7117,159.8082,336.2096
66.77705,0.138365,2.05005,-1.388843,316.7117,159.8082,336.2096
66.78162,0.138278,2.05005,-1.383663,316.705,159.8188,336.1855
66.78619,0.138278,2.05005,-1.383663,316.705,159.8188,336.1855
66.79068,0.138278,2.05005,-1.383663,316.705,159.8188,336.1855
66.79494,0.138278,2.05005,-1.383663,316.705,159.8188,336.1855
66.80028,0.138103,2.05005,-1.373298,316.6549,159.7361,336.187
66.80566,0.138103,2.05005,-1.373298,316.6549,159.7361,336.187
