experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,vmr_angle,trainee_right_stylus_movement_location_0,mentor_left_stylus_movement_location_0
guidance_experiment,drama-2a3db625-3315-48dd-ae03-951c46e52aad,1,1,1,1,25.80633,31.62,,guidance_experiment/drama-2a3db625-3315-48dd-ae03-951c46e52aad/S001/trackers/trainee_right_stylus_movement_T001.csv,guidance_experiment/drama-2a3db625-3315-48dd-ae03-951c46e52aad/S001/trackers/mentor_left_stylus_movement_T001.csv
guidance_experiment,drama-2a3db625-3315-48dd-ae03-951c46e52aad,1,2,1,2,33.68047,39.5,,guidance_experiment/drama-2a3db625-3315-48dd-ae03-951c46e52aad/S001/trackers/trainee_right_stylus_movement_T002.csv,guidance_experiment/drama-2a3db625-3315-48dd-ae03-951c46e52aad/S001/trackers/mentor_left_stylus_movement_T002.csv
guidance_experiment,drama-2a3db625-3315-48dd-ae03-951c46e52aad,1,3,2,1,45.30561,53.7,,guidance_experiment/drama-2a3db625-3315-48dd-ae03-951c46e52aad/S001/trackers/trainee_right_stylus_movement_T003.csv,guidance_experiment/drama-2a3db625-3315-48dd-ae03-951c46e52aad/S001/trackers/mentor_left_stylus_movement_T003.csv
guidance_experiment,drama-2a3db625-3315-48dd-ae03-951c46e52aad,1,4,2,2,57.38591,64.98,,guidance_experiment/drama-2a3db625-3315-48dd-ae03-951c46e52aad/S001/trackers/trainee_right_stylus_movement_T004.csv,guidance_experiment/drama-2a3db625-3315-48dd-ae03-951c46e52aad/S001/trackers/mentor_left_stylus_movement_T004.csv
guidance_experiment,drama-2a3db625-3315-48dd-ae03-951c46e52aad,1,5,3,1,66.5227,68.78,,guidance_experiment/drama-2a3db625-3315-48dd-ae03-951c46e52aad/S001/trackers/trainee_right_stylus_movement_T005.csv,guidance_experiment/drama-2a3db625-3315-48dd-ae03-951c46e52aad/S001/trackers/mentor_left_stylus_movement_T005.csv
guidance_experiment,drama-2a3db625-3315-48dd-ae03-951c46e52aad,1,6,3,2,71.78593,73.02,,guidance_experiment/drama-2a3db625-3315-48dd-ae03-951c46e52aad/S001/trackers/trainee_right_stylus_movement_T006.csv,guidance_experiment/drama-2a3db625-3315-48dd-ae03-951c46e52aad/S001/trackers/mentor_left_stylus_movement_T006.csv
guidance_experiment,drama-2a3db625-3315-48dd-ae03-951c46e52aad,1,7,4,1,76.72629,77.8,,guidance_experiment/drama-2a3db625-3315-48dd-ae03-951c46e52aad/S001/trackers/trainee_right_stylus_movement_T007.csv,guidance_experiment/drama-2a3db625-3315-48dd-ae03-951c46e52aad/S001/trackers/mentor_left_stylus_movement_T007.csv
guidance_experiment,drama-2a3db625-3315-48dd-ae03-951c46e52aad,1,8,4,2,90.12068,90.84,,guidance_experiment/drama-2a3db625-3315-48dd-ae03-951c46e52aad/S001/trackers/trainee_right_stylus_movement_T008.csv,guidance_experiment/drama-2a3db625-3315-48dd-ae03-951c46e52aad/S001/trackers/mentor_left_stylus_movement_T008.csv
guidance_experiment,drama-2a3db625-3315-48dd-ae03-951c46e52aad,1,9,5,1,92.64214,93.72,,guidance_experiment/drama-2a3db625-3315-48dd-ae03-951c46e52aad/S001/trackers/trainee_right_stylus_movement_T009.csv,guidance_experiment/drama-2a3db625-3315-48dd-ae03-951c46e52aad/S001/trackers/mentor_left_stylus_movement_T009.csv
guidance_experiment,drama-2a3db625-3315-48dd-ae03-951c46e52aad,1,10,5,2,98.1487,99.04,,guidance_experiment/drama-2a3db625-3315-48dd-ae03-951c46e52aad/S001/trackers/trainee_right_stylus_movement_T010.csv,guidance_experiment/drama-2a3db625-3315-48dd-ae03-951c46e52aad/S001/trackers/mentor_left_stylus_movement_T010.csv
guidance_experiment,drama-2a3db625-3315-48dd-ae03-951c46e52aad,1,11,6,1,101.6848,102.52,,guidance_experiment/drama-2a3db625-3315-48dd-ae03-951c46e52aad/S001/trackers/trainee_right_stylus_movement_T011.csv,guidance_experiment/drama-2a3db625-3315-48dd-ae03-951c46e52aad/S001/trackers/mentor_left_stylus_movement_T011.csv
guidance_experiment,drama-2a3db625-3315-48dd-ae03-951c46e52aad,1,12,6,2,104.222,104.86,,guidance_experiment/drama-2a3db625-3315-48dd-ae03-951c46e52aad/S001/trackers/trainee_right_stylus_movement_T012.csv,guidance_experiment/drama-2a3db625-3315-48dd-ae03-951c46e52aad/S001/trackers/mentor_left_stylus_movement_T012.csv
