time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
13.18128,-3.525407,2.05005,0.057243,316.291,136.6221,80.82149
13.18818,-3.525407,2.05005,0.057243,316.291,136.6221,80.82149
13.1909,-3.525407,2.05005,0.057243,316.291,136.6221,80.82149
13.19381,-3.525407,2.05005,0.057243,316.291,136.6221,80.82149
13.19635,-3.525407,2.05005,0.057243,316.291,136.6221,80.82149
13.1994,-3.525407,2.05005,0.057243,316.291,136.6221,80.82149
13.202,-3.526645,2.05005,0.054868,316.295,136.5249,80.85757
13.2075,-3.526645,2.05005,0.054868,316.295,136.5249,80.85757
13.21051,-3.526645,2.05005,0.054868,316.295,136.5249,80.85757
13.21327,-3.526645,2.05005,0.054868,316.295,136.5249,80.85757
13.23638,-3.526645,2.05005,0.054868,316.2468,136.3518,80.80999
13.25,-3.524142,2.05005,0.052885,316.3535,136.1214,80.88511
13.25519,-3.524142,2.05005,0.052885,316.3535,136.1214,80.88511
13.25756,-3.524142,2.05005,0.052885,316.3535,136.1214,80.88511
13.26005,-3.518578,2.05005,0.049989,316.2936,136.0008,80.90513
13.26388,-3.518578,2.05005,0.049989,316.2936,136.0008,80.90513
13.26712,-3.518578,2.05005,0.049989,316.2936,136.0008,80.90513
13.26986,-3.518578,2.05005,0.049989,316.2936,136.0008,80.90513
13.27232,-3.518578,2.05005,0.049989,316.2936,136.0008,80.90513
13.27511,-3.518578,2.05005,0.049989,316.2936,136.0008,80.90513
13.27768,-3.518578,2.05005,0.049989,316.2936,136.0008,80.90513
13.28021,-3.511459,2.05005,0.043276,316.4048,135.6029,81.08918
13.28474,-3.511459,2.05005,0.043276,316.4048,135.6029,81.08918
13.30629,-3.494397,2.05005,0.028436,316.3542,135.1469,81.25436
13.31193,-3.494397,2.05005,0.028436,316.3542,135.1469,81.25436
13.31493,-3.494397,2.05005,0.028436,316.3542,135.1469,81.25436
13.31779,-3.494397,2.05005,0.028436,316.3542,135.1469,81.25436
13.32055,-3.488812,2.05005,0.025564,316.3542,135.0997,81.32761
13.32684,-3.488812,2.05005,0.025564,316.3542,135.0997,81.32761
13.32989,-3.488812,2.05005,0.025564,316.3542,135.0997,81.32761
13.33306,-3.488812,2.05005,0.025564,316.3542,135.0997,81.32761
13.33611,-3.488812,2.05005,0.025564,316.3542,135.0997,81.32761
13.33894,-3.488812,2.05005,0.025564,316.3542,135.0997,81.32761
13.34187,-3.486019,2.05005,0.02413,316.3779,134.9245,81.33815
13.34687,-3.486019,2.05005,0.02413,316.3779,134.9245,81.33815
13.3497,-3.486019,2.05005,0.02413,316.3779,134.9245,81.33815
13.35266,-3.486019,2.05005,0.02413,316.3779,134.9245,81.33815
13.37843,-3.486019,2.05005,0.02413,316.3897,134.8488,81.48986
13.38507,-3.486019,2.05005,0.02413,316.3897,134.8488,81.48986
13.3888,-3.486019,2.05005,0.02413,316.3897,134.8488,81.48986
13.3916,-3.486019,2.05005,0.02413,316.3897,134.8488,81.48986
13.39441,-3.486019,2.05005,0.02413,316.3897,134.8488,81.48986
13.39711,-3.486019,2.05005,0.02413,316.3897,134.8488,81.48986
13.40003,-3.486019,2.05005,0.02413,316.3897,134.8488,81.4166
13.40362,-3.486019,2.05005,0.02413,316.3897,134.8488,81.4166
13.40613,-3.486019,2.05005,0.02413,316.3897,134.8488,81.4166
13.4093,-3.486019,2.05005,0.02413,316.3897,134.8488,81.4166
13.41208,-3.486019,2.05005,0.02413,316.3897,134.8488,81.4166
13.41521,-3.486019,2.05005,0.02413,316.3897,134.8488,81.4166
13.41795,-3.486019,2.05005,0.02413,316.3897,134.8488,81.4166
13.42083,-3.484797,2.05005,0.026512,316.4087,134.7942,81.53761
13.42473,-3.484796,2.05005,0.026512,316.4087,134.7942,81.53761
13.44847,-3.484797,2.05005,0.026512,316.4323,134.6427,81.9874
13.45523,-3.484797,2.05005,0.026512,316.4323,134.6427,81.9874
13.45778,-3.484797,2.05005,0.026512,316.4323,134.6427,81.9874
13.46013,-3.484797,2.05005,0.026512,316.5039,134.664,81.97273
13.46368,-3.484797,2.05005,0.026512,316.5039,134.664,81.97273
13.46691,-3.484797,2.05005,0.026512,316.5039,134.664,81.97273
13.46982,-3.484797,2.05005,0.026512,316.5039,134.664,81.97273
13.47241,-3.484797,2.05005,0.026512,316.5039,134.664,81.97273
13.475,-3.484797,2.05005,0.026512,316.5039,134.664,81.97273
13.47794,-3.484797,2.05005,0.026512,316.5039,134.664,81.97273
13.48107,-3.47921,2.05005,0.023649,316.4323,134.5956,82.20715
13.48711,-3.47921,2.05005,0.023649,316.4323,134.5956,82.20715
13.4899,-3.47921,2.05005,0.023649,316.4323,134.5956,82.20715
13.493,-3.47921,2.05005,0.023649,316.4323,134.5956,82.20715
13.49579,-3.47921,2.05005,0.023649,316.4323,134.5956,82.20715
13.51839,-3.462438,2.05005,0.015086,316.5039,134.4991,82.48545
13.5233,-3.440042,2.05005,0.003732,316.5756,134.3083,82.61732
13.52743,-3.440042,2.05005,0.003732,316.5756,134.3083,82.61732
13.53058,-3.440042,2.05005,0.003732,316.5756,134.3083,82.61732
13.53436,-3.440042,2.05005,0.003732,316.5756,134.3083,82.61732
13.53754,-3.440042,2.05005,0.003732,316.5756,134.3083,82.61732
13.54071,-3.40076,2.05005,-0.015958,316.659,133.971,82.68114
13.5444,-3.40076,2.05005,-0.015958,316.659,133.971,82.68114
13.54755,-3.400761,2.05005,-0.015958,316.659,133.971,82.68114
13.55068,-3.40076,2.05005,-0.015958,316.659,133.971,82.68114
13.55384,-3.40076,2.05005,-0.015958,316.659,133.971,82.68114
