time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
8.883276,-2.645912,2.05005,-0.181302,331.3056,142.993,144.3993
8.900346,-2.645912,2.05005,-0.181302,331.2962,143.0686,144.3925
8.907975,-2.645912,2.05005,-0.181302,331.2962,143.0686,144.3925
8.911366,-2.645912,2.05005,-0.181302,331.2962,143.0686,144.3925
8.922953,-2.643034,2.05005,-0.182389,331.2962,143.0451,144.3193
8.927526,-2.643034,2.05005,-0.182389,331.2962,143.0451,144.3193
8.929693,-2.643034,2.05005,-0.182389,331.2962,143.0451,144.3193
8.933505,-2.643034,2.05005,-0.182389,331.2962,143.0451,144.3193
8.936288,-2.643034,2.05005,-0.182389,331.2962,143.0451,144.3193
8.939077,-2.643034,2.05005,-0.182389,331.2962,143.0451,144.3193
8.941776,-2.643034,2.05005,-0.182389,331.3056,142.9694,144.3261
8.946741,-2.643034,2.05005,-0.182389,331.3056,142.9694,144.3261
8.949932,-2.643034,2.05005,-0.182389,331.3056,142.9694,144.3261
8.95262,-2.643034,2.05005,-0.182389,331.3056,142.9694,144.3261
8.954822,-2.643034,2.05005,-0.182389,331.3056,142.9694,144.3261
8.95724,-2.643034,2.05005,-0.182389,331.3056,142.9694,144.3261
8.959467,-2.643034,2.05005,-0.182389,331.3056,142.9694,144.3261
8.96176,-2.643034,2.05005,-0.182389,331.3056,142.9694,144.3261
8.96706,-2.643034,2.05005,-0.182389,331.3056,142.9694,144.3261
8.970214,-2.643034,2.05005,-0.182389,331.3056,142.9694,144.3261
8.990525,-2.643034,2.05005,-0.182389,331.3056,142.9694,144.3261
8.99584,-2.643034,2.05005,-0.182389,331.3056,142.9694,144.3261
8.999246,-2.643034,2.05005,-0.182389,331.3056,142.9694,144.3261
9.002307,-2.643034,2.05005,-0.182389,331.3056,142.9694,144.3261
9.005738,-2.643034,2.05005,-0.182389,331.3056,142.9694,144.3261
9.008739,-2.643034,2.05005,-0.182389,331.3056,142.9694,144.3261
9.011695,-2.643034,2.05005,-0.182389,331.3056,142.9694,144.3261
9.014348,-2.643034,2.05005,-0.182389,331.3056,142.9694,144.3261
9.017011,-2.643034,2.05005,-0.182389,331.3056,142.9694,144.3261
9.019653,-2.643034,2.05005,-0.182389,331.3056,142.9694,144.3261
9.022396,-2.643034,2.05005,-0.182389,331.3056,142.9694,144.3261
9.028049,-2.643034,2.05005,-0.182389,331.3056,142.9694,144.3261
9.03086,-2.643034,2.05005,-0.182389,331.3056,142.9694,144.3261
9.03367,-2.643034,2.05005,-0.182389,331.3056,142.9694,144.3261
9.035976,-2.643034,2.05005,-0.182389,331.3056,142.9694,144.3261
9.038213,-2.643034,2.05005,-0.182389,331.3056,142.9694,144.3261
9.047922,-2.643034,2.05005,-0.182389,331.2962,143.0451,144.3193
9.056761,-2.643034,2.05005,-0.182389,331.2962,143.0451,144.3193
9.05909,-2.643034,2.05005,-0.182389,331.2962,143.0451,144.3193
9.061628,-2.643034,2.05005,-0.182389,331.3782,142.9811,144.3937
9.065104,-2.643034,2.05005,-0.182389,331.3782,142.9811,144.3937
9.067507,-2.643034,2.05005,-0.182389,331.3782,142.9811,144.3937
9.070173,-2.643034,2.05005,-0.182389,331.3782,142.9811,144.3937
9.072968,-2.643034,2.05005,-0.182389,331.3782,142.9811,144.3937
9.0757,-2.643034,2.05005,-0.182389,331.3782,142.9811,144.3937
9.078158,-2.643034,2.05005,-0.182389,331.3782,142.9811,144.3937
9.080548,-2.643034,2.05005,-0.182389,331.3782,142.9811,144.3204
9.086973,-2.643034,2.05005,-0.182389,331.3782,142.9811,144.3204
9.089695,-2.643034,2.05005,-0.182389,331.3782,142.9811,144.3204
9.091775,-2.643034,2.05005,-0.182389,331.3782,142.9811,144.3204
9.09402,-2.643034,2.05005,-0.182389,331.3782,142.9811,144.3204
9.096175,-2.643034,2.05005,-0.182389,331.3782,142.9811,144.3204
9.099518,-2.643034,2.05005,-0.182389,331.3782,142.9811,144.3204
9.121883,-2.640156,2.05005,-0.183475,331.3782,142.9576,144.3937
9.129083,-2.640156,2.05005,-0.183475,331.3782,142.9576,144.3937
9.13205,-2.640156,2.05005,-0.183475,331.3782,142.9576,144.3937
9.135077,-2.640156,2.05005,-0.183475,331.3782,142.9576,144.3937
9.137684,-2.640156,2.05005,-0.183475,331.3782,142.9576,144.3937
