time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
32.74238,2.99321,2.05005,-0.851078,330.3232,144.7963,267.0437
32.74849,2.99321,2.05005,-0.851078,330.3232,144.7963,267.0437
32.75157,2.99321,2.05005,-0.851078,330.3232,144.7963,267.0437
32.75461,2.99321,2.05005,-0.851078,330.3232,144.7963,267.0437
32.75754,2.99321,2.05005,-0.851078,330.3232,144.7963,267.0437
32.76058,2.99321,2.05005,-0.851078,330.3232,144.7963,267.0437
32.76682,2.99321,2.05005,-0.851078,330.3232,144.7963,267.0437
32.77013,2.99321,2.05005,-0.851078,330.3232,144.7963,267.0437
32.77309,2.99321,2.05005,-0.851078,330.3232,144.7963,267.0437
32.77619,2.99321,2.05005,-0.851078,330.3232,144.7963,267.0437
32.77929,2.99321,2.05005,-0.851078,330.3232,144.7963,267.0437
32.78233,2.99321,2.05005,-0.851078,330.3232,144.7963,267.0437
32.7866,2.99321,2.05005,-0.851078,330.3232,144.7963,267.0437
32.78955,2.99321,2.05005,-0.851078,330.3232,144.7963,267.0437
32.79294,2.99321,2.05005,-0.851078,330.3232,144.7963,267.0437
32.79599,2.99321,2.05005,-0.851078,330.3232,144.7963,267.0437
32.79949,2.99321,2.05005,-0.851078,330.3232,144.7963,267.0437
32.8028,2.99321,2.05005,-0.851078,330.3278,144.715,267.0651
32.80688,2.99321,2.05005,-0.851078,330.3278,144.715,267.0651
32.80976,2.99321,2.05005,-0.851078,330.3278,144.715,267.0651
32.81281,2.99321,2.05005,-0.851078,330.3278,144.715,267.0651
32.81586,2.99321,2.05005,-0.851078,330.3278,144.715,267.0651
32.81896,2.99321,2.05005,-0.851078,330.3278,144.715,267.0651
32.82166,2.99321,2.05005,-0.851078,330.3232,144.7963,267.0437
32.82677,2.99321,2.05005,-0.851078,330.3232,144.7963,267.0437
32.83028,2.99321,2.05005,-0.851078,330.3232,144.7963,267.0437
32.83329,2.99321,2.05005,-0.851078,330.3232,144.7963,267.0437
32.83602,2.99321,2.05005,-0.851078,330.3232,144.7963,267.0437
32.83936,2.99321,2.05005,-0.851078,330.3232,144.7963,267.0437
32.84212,2.99321,2.05005,-0.851078,330.3232,144.7963,267.0437
32.8469,2.99321,2.05005,-0.851078,330.3232,144.7963,267.0437
32.84998,2.99321,2.05005,-0.851078,330.3232,144.7963,267.0437
32.8528,2.99321,2.05005,-0.851078,330.3232,144.7963,267.0437
32.85575,2.99321,2.05005,-0.851078,330.3232,144.7963,267.0437
32.85855,2.99321,2.05005,-0.851078,330.3232,144.7963,267.0437
32.86149,2.99321,2.05005,-0.851078,330.3278,144.715,267.0651
32.86715,2.99321,2.05005,-0.851078,330.3278,144.715,267.0651
32.87086,2.99321,2.05005,-0.851078,330.3278,144.715,267.0651
32.88437,2.99321,2.05005,-0.851078,330.3232,144.7963,267.0437
32.89441,2.99321,2.05005,-0.851078,330.3232,144.7963,267.0437
32.89779,2.99321,2.05005,-0.851078,330.3232,144.7963,267.0437
32.90061,2.99321,2.05005,-0.851078,330.3232,144.7963,267.0437
32.90668,2.99321,2.05005,-0.851078,330.3232,144.7963,267.0437
32.90978,2.99321,2.05005,-0.851078,330.3232,144.7963,267.0437
32.91304,2.99321,2.05005,-0.851078,330.3232,144.7963,267.0437
32.91634,2.99321,2.05005,-0.851078,330.3232,144.7963,267.0437
32.91912,2.99321,2.05005,-0.851078,330.3232,144.7963,267.0437
32.92152,2.99321,2.05005,-0.851078,330.3278,144.715,267.0651
32.92687,2.99321,2.05005,-0.851078,330.3278,144.715,267.0651
32.92983,2.99321,2.05005,-0.851078,330.3278,144.715,267.0651
32.93324,2.99321,2.05005,-0.851078,330.3278,144.715,267.0651
32.93605,2.99321,2.05005,-0.851078,330.3278,144.715,267.0651
32.93882,2.99321,2.05005,-0.851078,330.3278,144.715,267.0651
32.94157,2.99321,2.05005,-0.851078,330.3232,144.7963,267.0437
32.94728,2.99321,2.05005,-0.851078,330.3232,144.7963,267.0437
32.95026,2.99321,2.05005,-0.851078,330.3232,144.7963,267.0437
32.95296,2.99321,2.05005,-0.851078,330.3232,144.7963,267.0437
32.95534,2.99321,2.05005,-0.851078,330.3232,144.7963,267.0437
32.95855,2.99321,2.05005,-0.851078,330.3232,144.7963,267.0437
32.96124,2.99321,2.05005,-0.851078,330.3232,144.7963,267.0437
