experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,interval_time,path_number,trainee_right_stylus_movement_location_0,mentor_left_stylus_movement_location_0
guidance_experiment,exit-d45cc056-38b1-42e9-9212-b91501278a00,1,1,1,1,23.58729,25.88,,1,guidance_experiment/exit-d45cc056-38b1-42e9-9212-b91501278a00/S001/trackers/trainee_right_stylus_movement_T001.csv,guidance_experiment/exit-d45cc056-38b1-42e9-9212-b91501278a00/S001/trackers/mentor_left_stylus_movement_T001.csv
guidance_experiment,exit-d45cc056-38b1-42e9-9212-b91501278a00,1,2,1,2,27.58732,28.24,,1,guidance_experiment/exit-d45cc056-38b1-42e9-9212-b91501278a00/S001/trackers/trainee_right_stylus_movement_T002.csv,guidance_experiment/exit-d45cc056-38b1-42e9-9212-b91501278a00/S001/trackers/mentor_left_stylus_movement_T002.csv
guidance_experiment,exit-d45cc056-38b1-42e9-9212-b91501278a00,1,3,2,1,29.72646,30.64,,2,guidance_experiment/exit-d45cc056-38b1-42e9-9212-b91501278a00/S001/trackers/trainee_right_stylus_movement_T003.csv,guidance_experiment/exit-d45cc056-38b1-42e9-9212-b91501278a00/S001/trackers/mentor_left_stylus_movement_T003.csv
guidance_experiment,exit-d45cc056-38b1-42e9-9212-b91501278a00,1,4,2,2,32.74238,33.7,,2,guidance_experiment/exit-d45cc056-38b1-42e9-9212-b91501278a00/S001/trackers/trainee_right_stylus_movement_T004.csv,guidance_experiment/exit-d45cc056-38b1-42e9-9212-b91501278a00/S001/trackers/mentor_left_stylus_movement_T004.csv
guidance_experiment,exit-d45cc056-38b1-42e9-9212-b91501278a00,1,5,3,1,35.22047,36.12,,3,guidance_experiment/exit-d45cc056-38b1-42e9-9212-b91501278a00/S001/trackers/trainee_right_stylus_movement_T005.csv,guidance_experiment/exit-d45cc056-38b1-42e9-9212-b91501278a00/S001/trackers/mentor_left_stylus_movement_T005.csv
guidance_experiment,exit-d45cc056-38b1-42e9-9212-b91501278a00,1,6,3,2,37.60715,38.48,,3,guidance_experiment/exit-d45cc056-38b1-42e9-9212-b91501278a00/S001/trackers/trainee_right_stylus_movement_T006.csv,guidance_experiment/exit-d45cc056-38b1-42e9-9212-b91501278a00/S001/trackers/mentor_left_stylus_movement_T006.csv
guidance_experiment,exit-d45cc056-38b1-42e9-9212-b91501278a00,1,7,4,1,40.10249,41.1,,1,guidance_experiment/exit-d45cc056-38b1-42e9-9212-b91501278a00/S001/trackers/trainee_right_stylus_movement_T007.csv,guidance_experiment/exit-d45cc056-38b1-42e9-9212-b91501278a00/S001/trackers/mentor_left_stylus_movement_T007.csv
guidance_experiment,exit-d45cc056-38b1-42e9-9212-b91501278a00,1,8,4,2,43.74374,44.78,,1,guidance_experiment/exit-d45cc056-38b1-42e9-9212-b91501278a00/S001/trackers/trainee_right_stylus_movement_T008.csv,guidance_experiment/exit-d45cc056-38b1-42e9-9212-b91501278a00/S001/trackers/mentor_left_stylus_movement_T008.csv
guidance_experiment,exit-d45cc056-38b1-42e9-9212-b91501278a00,1,9,5,1,46.4013,47.26,,2,guidance_experiment/exit-d45cc056-38b1-42e9-9212-b91501278a00/S001/trackers/trainee_right_stylus_movement_T009.csv,guidance_experiment/exit-d45cc056-38b1-42e9-9212-b91501278a00/S001/trackers/mentor_left_stylus_movement_T009.csv
guidance_experiment,exit-d45cc056-38b1-42e9-9212-b91501278a00,1,10,5,2,48.72082,49.38,,2,guidance_experiment/exit-d45cc056-38b1-42e9-9212-b91501278a00/S001/trackers/trainee_right_stylus_movement_T010.csv,guidance_experiment/exit-d45cc056-38b1-42e9-9212-b91501278a00/S001/trackers/mentor_left_stylus_movement_T010.csv
guidance_experiment,exit-d45cc056-38b1-42e9-9212-b91501278a00,1,11,6,1,50.84638,51.64,,3,guidance_experiment/exit-d45cc056-38b1-42e9-9212-b91501278a00/S001/trackers/trainee_right_stylus_movement_T011.csv,guidance_experiment/exit-d45cc056-38b1-42e9-9212-b91501278a00/S001/trackers/mentor_left_stylus_movement_T011.csv
guidance_experiment,exit-d45cc056-38b1-42e9-9212-b91501278a00,1,12,6,2,53.12165,53.74,,3
,guidance_experiment/exit-d45cc056-38b1-42e9-9212-b91501278a00/S001/trackers/trainee_right_stylus_movement_T012.csv,guidance_experiment/exit-d45cc056-38b1-42e9-9212-b91501278a00/S001/trackers/mentor_left_stylus_movement_T012.csv
