time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
43.48081,-3.554567,2.05005,-0.144656,336.9612,139.606,313.7694
43.49298,-3.554567,2.05005,-0.144656,336.9612,139.606,313.7694
43.50013,-3.554567,2.05005,-0.144656,336.8902,139.5864,313.7771
43.50533,-3.554568,2.05005,-0.144656,336.8902,139.5864,313.7771
43.51048,-3.554567,2.05005,-0.144656,336.8902,139.5864,313.7771
43.51641,-3.554567,2.05005,-0.144656,336.8902,139.5864,313.7771
43.52097,-3.554567,2.05005,-0.144656,336.9612,139.606,313.8427
43.52808,-3.554567,2.05005,-0.144656,336.9612,139.606,313.8427
43.533,-3.554567,2.05005,-0.144656,336.9612,139.606,313.8427
43.538,-3.554567,2.05005,-0.144656,336.9612,139.606,313.8427
43.54312,-3.554567,2.05005,-0.144656,336.9612,139.606,313.8427
43.54943,-3.554567,2.05005,-0.144656,336.9612,139.606,313.8427
43.55408,-3.554567,2.05005,-0.144656,336.9612,139.606,313.8427
43.55895,-3.554567,2.05005,-0.144656,336.9612,139.606,313.8427
43.56416,-3.554567,2.05005,-0.144656,336.9439,139.6799,313.7616
43.57454,-3.554567,2.05005,-0.144656,336.9439,139.6799,313.7616
43.57938,-3.554567,2.05005,-0.144656,336.9439,139.6799,313.7616
43.58505,-3.554567,2.05005,-0.144656,336.9439,139.6799,313.7616
43.59013,-3.554567,2.05005,-0.144656,336.9439,139.6799,313.7616
43.59639,-3.554567,2.05005,-0.144656,336.9439,139.6799,313.7616
43.60944,-3.551704,2.05005,-0.146117,336.9612,139.5825,313.8427
43.61622,-3.551704,2.05005,-0.146117,336.9612,139.5825,313.8427
43.625,-3.551704,2.05005,-0.146117,336.9439,139.6563,313.8349
43.63077,-3.551704,2.05005,-0.146117,336.9439,139.6563,313.8349
43.63528,-3.551704,2.05005,-0.146117,336.9439,139.6563,313.8349
43.63886,-3.551704,2.05005,-0.146117,336.9439,139.6563,313.8349
43.64423,-3.551704,2.05005,-0.146117,336.8729,139.6367,313.8426
43.64978,-3.551704,2.05005,-0.146117,336.8729,139.6367,313.8426
43.65393,-3.551704,2.05005,-0.146117,336.8729,139.6367,313.8426
43.65871,-3.551704,2.05005,-0.146117,336.8729,139.6367,313.8426
