time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
43.48081,-2.809645,2.05005,-0.550214,337.006,141.3942,307.1352
43.49298,-2.809645,2.05005,-0.550214,337.006,141.3942,307.1352
43.50013,-2.809645,2.05005,-0.550214,337.006,141.3942,307.1352
43.50533,-2.809645,2.05005,-0.550214,337.006,141.3942,307.1352
43.51048,-2.809645,2.05005,-0.550214,337.006,141.3942,307.1352
43.51641,-2.809645,2.05005,-0.550214,337.006,141.3942,307.1352
43.52097,-2.809645,2.05005,-0.550214,337.006,141.3942,307.1352
43.52808,-2.809645,2.05005,-0.550214,337.006,141.3942,307.1352
43.533,-2.809645,2.05005,-0.550214,337.006,141.3942,307.1352
43.538,-2.809645,2.05005,-0.550214,337.006,141.3942,307.1352
43.54312,-2.809645,2.05005,-0.550214,337.006,141.3942,307.1352
43.54943,-2.809645,2.05005,-0.550214,337.006,141.3942,307.1352
43.55408,-2.809645,2.05005,-0.550214,337.006,141.3942,307.1352
43.55895,-2.809645,2.05005,-0.550214,337.006,141.3942,307.1352
43.56416,-2.809645,2.05005,-0.550214,337.006,141.3942,307.1352
43.57454,-2.809645,2.05005,-0.550214,337.006,141.3942,307.1352
43.57938,-2.809645,2.05005,-0.550214,337.006,141.3942,307.1352
43.58505,-2.809645,2.05005,-0.550214,337.006,141.3942,307.2085
43.59013,-2.809645,2.05005,-0.550214,337.006,141.3942,307.2085
43.59639,-2.809645,2.05005,-0.550214,337.006,141.3942,307.2085
43.60944,-2.809645,2.05005,-0.550214,337.006,141.3942,307.1352
43.61622,-2.809645,2.05005,-0.550214,337.006,141.3942,307.1352
43.625,-2.809645,2.05005,-0.550214,337.0229,141.3194,307.146
43.63077,-2.809645,2.05005,-0.550214,337.0229,141.3194,307.146
43.63528,-2.809645,2.05005,-0.550214,337.0229,141.3194,307.146
43.63886,-2.809645,2.05005,-0.550214,337.0229,141.3194,307.146
43.64423,-2.809645,2.05005,-0.550214,336.9891,141.469,307.1244
43.64978,-2.809645,2.05005,-0.550214,336.9891,141.469,307.1244
43.65393,-2.809645,2.05005,-0.550214,336.9891,141.469,307.1244
43.65871,-2.809645,2.05005,-0.550214,336.9891,141.469,307.1244
43.66297,-2.809645,2.05005,-0.550214,337.006,141.3942,307.2085
43.67136,-2.809645,2.05005,-0.550214,337.006,141.3942,307.2085
43.67692,-2.809645,2.05005,-0.550214,337.006,141.3942,307.2085
43.682,-2.810036,2.05005,-0.55124,337.006,141.3942,307.1352
43.69074,-2.810036,2.05005,-0.55124,337.006,141.3942,307.1352
43.6951,-2.810036,2.05005,-0.55124,337.006,141.3942,307.1352
43.70005,-2.810036,2.05005,-0.55124,337.006,141.3942,307.1352
43.70622,-2.810036,2.05005,-0.55124,337.006,141.3942,307.1352
43.71201,-2.810036,2.05005,-0.55124,337.006,141.3942,307.1352
43.71689,-2.810036,2.05005,-0.55124,337.006,141.3942,307.1352
43.72201,-2.810036,2.05005,-0.55124,337.006,141.3942,307.1352
43.72902,-2.810036,2.05005,-0.55124,337.006,141.3942,307.1352
43.73378,-2.810036,2.05005,-0.55124,337.006,141.3942,307.1352
43.73855,-2.810036,2.05005,-0.55124,337.006,141.3942,307.1352
43.74287,-2.810036,2.05005,-0.55124,337.006,141.3942,307.1352
43.75048,-2.810036,2.05005,-0.55124,337.006,141.3942,307.1352
43.76135,-2.813066,2.05005,-0.550084,337.0229,141.3429,307.146
43.76777,-2.813066,2.05005,-0.550084,337.0229,141.3429,307.146
43.77236,-2.813066,2.05005,-0.550084,337.0229,141.3429,307.146
43.77822,-2.813066,2.05005,-0.550084,337.0229,141.3429,307.146
43.78376,-2.812132,2.05005,-0.547638,337.0347,141.3515,307.1241
43.7892,-2.812132,2.05005,-0.547638,337.0347,141.3515,307.1241
43.79501,-2.812131,2.05005,-0.547638,337.0347,141.3515,307.1241
43.79997,-2.812132,2.05005,-0.547638,337.0347,141.3515,307.1241
43.8053,-2.809103,2.05005,-0.548794,337.089,141.4216,307.106
43.81152,-2.809103,2.05005,-0.548794,337.089,141.4216,307.106
43.81617,-2.809103,2.05005,-0.548794,337.089,141.4216,307.106
43.81968,-2.809103,2.05005,-0.548794,337.089,141.4216,307.106
