timestamp,log_type,message,stacktrace
0,Log,(1.16 3.99 -0.95),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.02,Log,(1.16 3.46 -0.54),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.3533334,Log,(1.23 3.10 -0.66),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.3775534,Log,(1.24 3.14 -0.67),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.3879269,Log,(1.24 3.15 -0.67),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.3905863,Log,(1.24 3.15 -0.67),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.3936453,Log,(1.24 3.15 -0.67),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.3967274,Log,(1.24 3.15 -0.67),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.4004875,Log,(1.25 3.17 -0.68),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.4075633,Log,(1.25 3.17 -0.68),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.4105631,Log,(1.25 3.17 -0.68),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.4137197,Log,(1.25 3.17 -0.68),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.4168127,Log,(1.25 3.17 -0.68),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.4199272,Log,(1.25 3.17 -0.68),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.4226615,Log,(1.25 3.18 -0.68),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.4273681,Log,(1.25 3.18 -0.68),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.4306263,Log,(1.25 3.18 -0.68),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.438127,Log,(1.25 3.18 -0.68),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.4437614,Log,(1.25 3.18 -0.68),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.4487907,Log,(1.25 3.18 -0.68),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.4518587,Log,(1.25 3.18 -0.68),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.4548377,Log,(1.25 3.18 -0.68),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.4582805,Log,(1.25 3.18 -0.68),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.4616456,Log,(1.25 3.18 -0.68),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.4674208,Log,(1.25 3.18 -0.68),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.4705249,Log,(1.25 3.18 -0.68),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.4758361,Log,(1.25 3.18 -0.68),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.4787402,Log,(1.25 3.18 -0.68),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.4828629,Log,(1.25 3.18 -0.68),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.4877192,Log,(1.25 3.18 -0.68),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.4911234,Log,(1.25 3.18 -0.68),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.494289,Log,(1.25 3.18 -0.68),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.4976397,Log,(1.25 3.18 -0.68),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.5008711,Log,(1.25 3.18 -0.68),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.507226,Log,(1.25 3.18 -0.68),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.509985,Log,(1.25 3.18 -0.68),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.5129405,Log,(1.25 3.18 -0.68),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.5161793,Log,(1.25 3.18 -0.68),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.5193747,Log,(1.25 3.18 -0.68),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.5305203,Log,(1.25 3.18 -0.67),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.5381325,Log,(1.25 3.18 -0.67),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.5407709,Log,(1.25 3.18 -0.66),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.5481408,Log,(1.25 3.18 -0.66),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.5515018,Log,(1.25 3.18 -0.66),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.5546364,Log,(1.25 3.18 -0.66),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.5579854,Log,(1.25 3.18 -0.66),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.5610701,Log,(1.25 3.17 -0.65),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.5677478,Log,(1.25 3.17 -0.65),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.5709938,Log,(1.25 3.17 -0.65),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.5742614,Log,(1.25 3.17 -0.65),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.5775355,Log,(1.25 3.17 -0.65),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.5812041,Log,(1.25 3.14 -0.63),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.5877134,Log,(1.25 3.14 -0.63),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.5908334,Log,(1.25 3.14 -0.63),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.5935804,Log,(1.25 3.14 -0.63),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.5968921,Log,(1.25 3.14 -0.63),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.6003867,Log,(1.25 3.12 -0.62),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.6042235,Log,(1.25 3.12 -0.62),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.6073231,Log,(1.25 3.12 -0.62),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.6101491,Log,(1.25 3.12 -0.62),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.6130028,Log,(1.25 3.12 -0.62),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.6158416,Log,(1.25 3.12 -0.62),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.6191649,Log,(1.25 3.12 -0.62),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.6223615,Log,(1.24 3.00 -0.57),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.6286452,Log,(1.24 3.00 -0.57),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.6320447,Log,(1.24 3.00 -0.57),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.6345574,Log,(1.24 3.00 -0.57),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.6370105,Log,(1.24 3.00 -0.57),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.6396567,Log,(1.24 3.00 -0.57),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.6423287,Log,(1.23 2.92 -0.55),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.6477008,Log,(1.23 2.92 -0.55),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.651094,Log,(1.23 2.92 -0.55),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.6541699,Log,(1.23 2.92 -0.55),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.6575319,Log,(1.23 2.92 -0.55),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.6606631,Log,(1.22 2.82 -0.53),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.667423,Log,(1.22 2.82 -0.53),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.6702331,Log,(1.22 2.82 -0.53),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.6731567,Log,(1.22 2.82 -0.53),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.6761723,Log,(1.22 2.82 -0.53),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.6790963,Log,(1.22 2.82 -0.53),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.6829218,Log,(1.21 2.71 -0.50),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.6870984,Log,(1.21 2.71 -0.50),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.6900811,Log,(1.21 2.71 -0.50),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.6932172,Log,(1.21 2.71 -0.50),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.6961473,Log,(1.21 2.71 -0.50),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.6992394,Log,(1.21 2.71 -0.50),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.7023163,Log,(1.21 2.57 -0.46),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.7077177,Log,(1.21 2.57 -0.46),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.7107897,Log,(1.21 2.57 -0.46),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.713998,Log,(1.21 2.57 -0.46),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.7168735,Log,(1.21 2.57 -0.46),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.7198231,Log,(1.21 2.57 -0.46),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.7224616,Log,(1.20 2.42 -0.41),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.7276899,Log,(1.20 2.42 -0.41),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.733007,Log,(1.20 2.42 -0.41),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.7360817,Log,(1.20 2.42 -0.41),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.7393109,Log,(1.20 2.42 -0.41),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.7422894,Log,(1.19 2.26 -0.35),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.7480223,Log,(1.19 2.26 -0.35),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.7511156,Log,(1.19 2.26 -0.35),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.7542503,Log,(1.19 2.26 -0.35),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.7576659,Log,(1.19 2.26 -0.35),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.7601492,Log,(1.18 2.18 -0.31),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
0.7640069,Log,(1.18 2.18 -0.31),UnityEngine.Debug:Log (object).  ProvideGuidance:Update () (at Assets/Scripts/ProvideGuidance.cs:140).  
