time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
16.40315,-3.478745,2.05005,-0.05185,309.3947,147.4077,58.798
16.41141,-3.478745,2.05005,-0.05185,309.3947,147.4077,58.798
16.4178,-3.478745,2.05005,-0.05185,309.3947,147.4077,58.798
16.42243,-3.476205,2.05005,-0.053844,309.3832,147.4645,58.86052
16.42536,-3.476205,2.05005,-0.053844,309.3832,147.4645,58.86052
16.4278,-3.476205,2.05005,-0.053844,309.3832,147.4645,58.86052
16.43053,-3.476205,2.05005,-0.053844,309.3832,147.4645,58.86052
16.43285,-3.476205,2.05005,-0.053844,309.3832,147.4645,58.86052
16.43515,-3.476205,2.05005,-0.053844,309.3832,147.4645,58.86052
16.43784,-3.476205,2.05005,-0.053844,309.3832,147.4645,58.86052
16.44048,-3.474999,2.05005,-0.051461,309.3947,147.3842,59.0177
16.44345,-3.474999,2.05005,-0.051461,309.3947,147.3842,59.0177
16.44607,-3.474999,2.05005,-0.051461,309.3947,147.3842,59.0177
16.44913,-3.474999,2.05005,-0.051461,309.3947,147.3842,59.0177
16.45151,-3.474999,2.05005,-0.051461,309.3947,147.3842,59.0177
16.45433,-3.474999,2.05005,-0.051461,309.3947,147.3842,59.0177
16.45702,-3.474999,2.05005,-0.051461,309.3947,147.3842,59.0177
16.4595,-3.474999,2.05005,-0.051461,309.3947,147.3842,59.0177
16.46185,-3.472174,2.05005,-0.052889,309.4066,147.3851,59.0593
16.46509,-3.472174,2.05005,-0.052889,309.4066,147.3851,59.0593
16.46763,-3.472175,2.05005,-0.052889,309.4066,147.3851,59.0593
16.47038,-3.472174,2.05005,-0.052889,309.4066,147.3851,59.0593
16.47279,-3.472174,2.05005,-0.052889,309.4066,147.3851,59.0593
16.47493,-3.472174,2.05005,-0.052889,309.4066,147.3851,59.0593
16.47713,-3.472174,2.05005,-0.052889,309.4066,147.3851,59.0593
16.47947,-3.472174,2.05005,-0.052889,309.4066,147.3851,59.0593
16.4817,-3.470969,2.05005,-0.050504,309.43,147.3293,59.11152
16.48458,-3.47097,2.05005,-0.050504,309.43,147.3293,59.11152
16.48691,-3.470969,2.05005,-0.050504,309.43,147.3293,59.11152
16.48925,-3.470969,2.05005,-0.050504,309.43,147.3293,59.11152
16.4917,-3.470969,2.05005,-0.050504,309.43,147.3293,59.11152
16.49395,-3.470969,2.05005,-0.050505,309.43,147.3293,59.11152
16.49648,-3.47097,2.05005,-0.050504,309.43,147.3293,59.11152
16.49897,-3.47097,2.05005,-0.050504,309.43,147.3293,59.11152
16.50303,-3.47097,2.05005,-0.050504,309.43,147.3293,59.18478
16.50728,-3.470969,2.05005,-0.050505,309.43,147.3293,59.18478
16.50929,-3.470969,2.05005,-0.050505,309.43,147.3293,59.18478
16.51142,-3.470969,2.05005,-0.050504,309.43,147.3293,59.18478
