time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
16.40315,13.23476,2.05005,-0.565346,312.2961,146.0187,336.2639
16.41141,13.23476,2.05005,-0.565346,312.2961,146.0187,336.2639
16.4178,13.23476,2.05005,-0.565346,312.2961,146.0187,336.2639
16.42243,13.23476,2.05005,-0.565346,312.2915,146.1022,336.2488
16.42536,13.23476,2.05005,-0.565346,312.2915,146.1022,336.2488
16.4278,13.23476,2.05005,-0.565346,312.2915,146.1022,336.2488
16.43053,13.23476,2.05005,-0.565346,312.2915,146.1022,336.2488
16.43285,13.23476,2.05005,-0.565346,312.2915,146.1022,336.2488
16.43515,13.23476,2.05005,-0.565346,312.2915,146.1022,336.2488
16.43784,13.23476,2.05005,-0.565346,312.2915,146.1022,336.2488
16.44048,13.23476,2.05005,-0.565346,312.2915,146.1022,336.3221
16.44345,13.23476,2.05005,-0.565346,312.2915,146.1022,336.3221
16.44607,13.23476,2.05005,-0.565346,312.2915,146.1022,336.3221
16.44913,13.23476,2.05005,-0.565346,312.2915,146.1022,336.3221
16.45151,13.23476,2.05005,-0.565346,312.2915,146.1022,336.3221
16.45433,13.23476,2.05005,-0.565346,312.2915,146.1022,336.3221
16.45702,13.23476,2.05005,-0.565346,312.2915,146.1022,336.3221
16.4595,13.23476,2.05005,-0.565346,312.2915,146.1022,336.3221
16.46185,13.23476,2.05005,-0.565346,312.2915,146.1022,336.2488
16.46509,13.23476,2.05005,-0.565346,312.2915,146.1022,336.2488
16.46763,13.23476,2.05005,-0.565346,312.2915,146.1022,336.2488
16.47038,13.23476,2.05005,-0.565346,312.2915,146.1022,336.2488
16.47279,13.23476,2.05005,-0.565346,312.2915,146.1022,336.2488
16.47493,13.23476,2.05005,-0.565346,312.2915,146.1022,336.2488
16.47713,13.23476,2.05005,-0.565346,312.2915,146.1022,336.2488
16.47947,13.23476,2.05005,-0.565346,312.2915,146.1022,336.2488
16.4817,13.23476,2.05005,-0.565346,312.2961,146.0187,336.2639
16.48458,13.23476,2.05005,-0.565346,312.2961,146.0187,336.2639
16.48691,13.23476,2.05005,-0.565346,312.2961,146.0187,336.2639
16.48925,13.23476,2.05005,-0.565346,312.2961,146.0187,336.2639
16.4917,13.23476,2.05005,-0.565346,312.2961,146.0187,336.2639
16.49395,13.23476,2.05005,-0.565346,312.2961,146.0187,336.2639
16.49648,13.23476,2.05005,-0.565346,312.2961,146.0187,336.2639
16.49897,13.23476,2.05005,-0.565346,312.2961,146.0187,336.2639
16.50303,13.23476,2.05005,-0.565346,312.2915,146.1022,336.2488
16.50728,13.23476,2.05005,-0.565347,312.2915,146.1022,336.2488
16.50929,13.23476,2.05005,-0.565346,312.2915,146.1022,336.2488
16.51142,13.23476,2.05005,-0.565346,312.2915,146.1022,336.2488
16.51415,13.23476,2.05005,-0.565346,312.2915,146.1022,336.2488
16.51681,13.23476,2.05005,-0.565346,312.2915,146.1022,336.2488
16.51945,13.23476,2.05005,-0.565346,312.2915,146.1022,336.2488
16.52204,13.23476,2.05005,-0.565346,312.3691,146.0276,336.2573
16.52457,13.23476,2.05005,-0.565346,312.3691,146.0276,336.2573
16.52692,13.23476,2.05005,-0.565346,312.3691,146.0276,336.2573
16.52955,13.23476,2.05005,-0.565346,312.3691,146.0276,336.2573
16.53207,13.23476,2.05005,-0.565346,312.3691,146.0276,336.2573
16.53444,13.23476,2.05005,-0.565346,312.3691,146.0276,336.2573
16.53644,13.23476,2.05005,-0.565346,312.3691,146.0276,336.2573
16.53882,13.23476,2.05005,-0.565346,312.3691,146.0276,336.2573
16.54109,13.23476,2.05005,-0.565346,312.2915,146.1022,336.2488
16.54361,13.23476,2.05005,-0.565346,312.2915,146.1022,336.2488
16.54622,13.23476,2.05005,-0.565346,312.2915,146.1022,336.2488
16.54897,13.23476,2.05005,-0.565347,312.2915,146.1022,336.2488
16.55122,13.23476,2.05005,-0.565346,312.2915,146.1022,336.2488
16.55368,13.23476,2.05005,-0.565346,312.2915,146.1022,336.2488
16.55593,13.23476,2.05005,-0.565346,312.2915,146.1022,336.2488
