time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
22.88041,-3.458427,2.05005,-0.039691,334.394,138.6523,63.69223
22.88878,-3.458427,2.05005,-0.039691,334.394,138.6523,63.69223
22.89461,-3.458427,2.05005,-0.039691,334.394,138.6523,63.69223
22.89828,-3.458427,2.05005,-0.039691,334.394,138.6523,63.69223
22.90092,-3.458427,2.05005,-0.039691,334.394,138.6523,63.76546
22.90395,-3.458427,2.05005,-0.039691,334.394,138.6523,63.76546
22.90637,-3.458427,2.05005,-0.039691,334.394,138.6523,63.76546
22.90863,-3.458427,2.05005,-0.039691,334.394,138.6523,63.76546
22.91122,-3.458427,2.05005,-0.039691,334.394,138.6523,63.76546
22.91403,-3.458427,2.05005,-0.039691,334.394,138.6523,63.76546
22.91667,-3.458427,2.05005,-0.039691,334.394,138.6523,63.76546
22.91903,-3.458427,2.05005,-0.039691,334.394,138.6523,63.76546
22.9215,-3.458427,2.05005,-0.039691,334.4781,138.5923,63.83788
22.92456,-3.458427,2.05005,-0.039691,334.4781,138.5923,63.83788
22.92719,-3.458427,2.05005,-0.039691,334.4781,138.5923,63.83788
22.92981,-3.458427,2.05005,-0.039691,334.4781,138.5923,63.83788
22.93297,-3.458427,2.05005,-0.039691,334.4781,138.5923,63.83788
22.93525,-3.458427,2.05005,-0.039691,334.4781,138.5923,63.83788
22.93756,-3.458427,2.05005,-0.039691,334.4781,138.5923,63.83788
22.93984,-3.458427,2.05005,-0.039691,334.4781,138.5923,63.83788
22.94216,-3.461247,2.05005,-0.038268,334.4781,138.6159,63.83788
22.94528,-3.461247,2.05005,-0.038268,334.4781,138.6159,63.83788
22.94802,-3.461247,2.05005,-0.038268,334.4781,138.6159,63.83788
22.95047,-3.461247,2.05005,-0.038268,334.4781,138.6159,63.83788
22.95299,-3.461247,2.05005,-0.038268,334.4781,138.6159,63.83788
22.95523,-3.461247,2.05005,-0.038268,334.4781,138.6159,63.83788
22.95774,-3.461247,2.05005,-0.038268,334.4781,138.6159,63.83788
22.96029,-3.461247,2.05005,-0.038268,334.4781,138.6159,63.98436
22.96364,-3.461247,2.05005,-0.038268,334.4781,138.6159,63.98436
22.96608,-3.461247,2.05005,-0.038268,334.4781,138.6159,63.98436
22.96864,-3.461247,2.05005,-0.038268,334.4781,138.6159,63.98436
22.9708,-3.461247,2.05005,-0.038268,334.4781,138.6159,63.98436
