time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
22.88041,8.499153,2.05005,-0.039437,327.9705,147.046,330.9413
22.88878,8.499153,2.05005,-0.039437,327.9705,147.046,330.9413
22.89461,8.499153,2.05005,-0.039437,327.9705,147.046,330.9413
22.89828,8.499153,2.05005,-0.039437,327.9705,147.046,330.9413
22.90092,8.499153,2.05005,-0.039437,327.9706,147.046,331.0145
22.90395,8.499153,2.05005,-0.039437,327.9706,147.046,331.0145
22.90637,8.499153,2.05005,-0.039437,327.9706,147.046,331.0145
22.90863,8.499153,2.05005,-0.039437,327.9706,147.046,331.0145
22.91122,8.499153,2.05005,-0.039437,327.9706,147.046,331.0145
22.91403,8.499153,2.05005,-0.039437,327.9706,147.046,331.0145
22.91667,8.499153,2.05005,-0.039437,327.9706,147.046,331.0145
22.91903,8.499153,2.05005,-0.039437,327.9706,147.046,331.0145
22.9215,8.499153,2.05005,-0.039437,327.9821,146.9698,331.0224
22.92456,8.499153,2.05005,-0.039437,327.9821,146.9698,331.0224
22.92719,8.499153,2.05005,-0.039437,327.9821,146.9698,331.0224
22.92981,8.499153,2.05005,-0.039437,327.9821,146.9698,331.0224
22.93297,8.499153,2.05005,-0.039437,327.9821,146.9698,331.0224
22.93525,8.499153,2.05005,-0.039437,327.9821,146.9698,331.0224
22.93756,8.499153,2.05005,-0.039437,327.9821,146.9698,331.0224
22.93984,8.499153,2.05005,-0.039437,327.9821,146.9698,331.0224
22.94216,8.499153,2.05005,-0.039437,327.9821,146.9698,330.9492
22.94528,8.499153,2.05005,-0.039437,327.9821,146.9698,330.9492
22.94802,8.499153,2.05005,-0.039437,327.9821,146.9698,330.9492
22.95047,8.499153,2.05005,-0.039437,327.9821,146.9698,330.9492
22.95299,8.499153,2.05005,-0.039437,327.9821,146.9698,330.9492
22.95523,8.499153,2.05005,-0.039437,327.9821,146.9698,330.9492
22.95774,8.499153,2.05005,-0.039437,327.9821,146.9698,330.9492
22.96029,8.499153,2.05005,-0.039437,327.9101,146.9545,331.0305
22.96364,8.499153,2.05005,-0.039437,327.9101,146.9545,331.0305
22.96608,8.499153,2.05005,-0.039437,327.9101,146.9545,331.0305
22.96864,8.499153,2.05005,-0.039437,327.9101,146.9545,331.0305
22.9708,8.499153,2.05005,-0.039437,327.9101,146.9545,331.0305
22.97328,8.499153,2.05005,-0.039437,327.9101,146.9545,331.0305
22.97562,8.499153,2.05005,-0.039437,327.9101,146.9545,331.0305
22.97788,8.499153,2.05005,-0.039437,327.9101,146.9545,331.0305
22.98047,8.499153,2.05005,-0.039437,327.9938,146.8936,331.0303
22.98356,8.499153,2.05005,-0.039437,327.9938,146.8936,331.0303
22.98583,8.499153,2.05005,-0.039437,327.9938,146.8936,331.0303
22.98853,8.499153,2.05005,-0.039437,327.9938,146.8936,331.0303
22.9908,8.499153,2.05005,-0.039437,327.9938,146.8936,331.0303
22.99303,8.499153,2.05005,-0.039437,327.9938,146.8936,331.0303
22.9952,8.499153,2.05005,-0.039437,327.9938,146.8936,331.0303
22.99794,8.499153,2.05005,-0.039437,327.9938,146.8936,331.0303
23.00013,8.499153,2.05005,-0.039437,327.9217,146.8783,331.0384
23.00355,8.499153,2.05005,-0.039437,327.9217,146.8783,331.0384
23.00603,8.499153,2.05005,-0.039437,327.9217,146.8783,331.0384
23.00859,8.499153,2.05005,-0.039437,327.9217,146.8783,331.0384
23.01097,8.499153,2.05005,-0.039437,327.9217,146.8783,331.0384
23.01347,8.499153,2.05005,-0.039437,327.9217,146.8783,331.0384
23.01605,8.499153,2.05005,-0.039437,327.9217,146.8783,331.0384
23.02223,8.499153,2.05005,-0.039437,327.9217,146.8783,330.9652
23.02499,8.499153,2.05005,-0.039437,327.9217,146.8783,330.9652
23.02749,8.499153,2.05005,-0.039437,327.9217,146.8783,330.9652
23.0304,8.499153,2.05005,-0.039437,327.9217,146.8783,330.9652
23.03321,8.499153,2.05005,-0.039437,327.9217,146.8783,330.9652
23.03634,8.499153,2.05005,-0.039437,327.9217,146.8783,330.9652
23.03968,8.499153,2.05005,-0.039437,327.9217,146.8783,330.9652
23.04393,8.499153,2.05005,-0.039437,328.0054,146.8174,331.0381
23.04809,8.499153,2.05005,-0.039437,328.0054,146.8174,331.0381
23.05087,8.499153,2.05005,-0.039437,328.0054,146.8174,331.0381
23.05358,8.499153,2.05005,-0.039437,328.0054,146.8174,331.0381
23.0554,8.499153,2.05005,-0.039437,328.0054,146.8174,331.0381
23.05749,8.499153,2.05005,-0.039437,328.0054,146.8174,331.0381
23.05949,8.499153,2.05005,-0.039437,328.0054,146.8174,331.0381
23.06162,8.499153,2.05005,-0.039437,327.9938,146.8936,330.9571
23.06464,8.499153,2.05005,-0.039437,327.9938,146.8936,330.9571
23.06729,8.499153,2.05005,-0.039437,327.9938,146.8936,330.9571
23.06992,8.499153,2.05005,-0.039437,327.9938,146.8936,330.9571
23.07214,8.499153,2.05005,-0.039437,327.9938,146.8936,330.9571
23.07405,8.499153,2.05005,-0.039437,327.9938,146.8936,330.9571
23.07642,8.499153,2.05005,-0.039437,327.9938,146.8936,330.9571
23.07853,8.499153,2.05005,-0.039437,327.9938,146.8936,330.9571
23.08126,8.499153,2.05005,-0.039437,327.9217,146.8783,331.0384
23.08395,8.499153,2.05005,-0.039437,327.9217,146.8783,331.0384
23.08641,8.499153,2.05005,-0.039437,327.9217,146.8783,331.0384
23.08902,8.499153,2.05005,-0.039437,327.9217,146.8783,331.0384
23.09175,8.499153,2.05005,-0.039437,327.9217,146.8783,331.0384
23.09398,8.499153,2.05005,-0.039437,327.9217,146.8783,331.0384
23.09624,8.499153,2.05005,-0.039437,327.9217,146.8783,331.0384
23.09874,8.499153,2.05005,-0.039437,327.9217,146.8783,331.0384
23.10149,8.499153,2.05005,-0.039437,328.0054,146.8174,331.0381
23.10431,8.499153,2.05005,-0.039437,328.0054,146.8174,331.0381
23.10664,8.499153,2.05005,-0.039437,328.0054,146.8174,331.0381
23.10853,8.499153,2.05005,-0.039437,328.0054,146.8174,331.0381
23.11064,8.499153,2.05005,-0.039437,328.0054,146.8174,331.0381
23.1126,8.499153,2.05005,-0.039437,328.0054,146.8174,331.0381
23.11508,8.499153,2.05005,-0.039437,328.0054,146.8174,331.0381
23.1171,8.499153,2.05005,-0.039437,328.0054,146.8174,331.0381
23.11948,8.499153,2.05005,-0.039437,328.0054,146.8174,331.0381
23.12152,8.499447,2.05005,-0.038862,327.9217,146.8783,331.0384
23.1247,8.499447,2.05005,-0.038862,327.9217,146.8783,331.0384
23.12717,8.499447,2.05005,-0.038862,327.9217,146.8783,331.0384
23.12958,8.499447,2.05005,-0.038862,327.9217,146.8783,331.0384
23.13236,8.499447,2.05005,-0.038862,327.9217,146.8783,331.0384
23.1346,8.499447,2.05005,-0.038862,327.9217,146.8783,331.0384
23.13673,8.499447,2.05005,-0.038862,327.9217,146.8783,331.0384
23.1392,8.499447,2.05005,-0.038862,327.9217,146.8783,331.0384
23.14153,8.502266,2.05005,-0.040301,327.9938,146.8936,330.9571
23.14473,8.502266,2.05005,-0.040301,327.9938,146.8936,330.9571
23.14769,8.502266,2.05005,-0.040301,327.9938,146.8936,330.9571
23.15046,8.502266,2.05005,-0.040301,327.9938,146.8936,330.9571
23.15281,8.502266,2.05005,-0.040301,327.9938,146.8936,330.9571
23.15488,8.502266,2.05005,-0.040301,327.9938,146.8936,330.9571
23.15685,8.502266,2.05005,-0.040301,327.9938,146.8936,330.9571
23.15988,8.502266,2.05005,-0.040301,327.9938,146.8936,330.9571
23.16275,8.511021,2.05005,-0.044035,327.9217,146.784,331.0384
23.16598,8.511021,2.05005,-0.044035,327.9217,146.784,331.0384
23.168,8.511021,2.05005,-0.044035,327.9217,146.784,331.0384
23.17042,8.511021,2.05005,-0.044035,327.9217,146.784,331.0384
23.17244,8.511021,2.05005,-0.044035,327.9217,146.784,331.0384
23.17495,8.511021,2.05005,-0.044035,327.9217,146.784,331.0384
23.17732,8.511021,2.05005,-0.044035,327.9217,146.784,331.0384
23.17966,8.511021,2.05005,-0.044035,327.9217,146.784,331.0384
23.18199,8.522312,2.05005,-0.049764,327.9938,146.7051,331.0303
23.18493,8.522312,2.05005,-0.049764,327.9938,146.7051,331.0303
23.18732,8.522312,2.05005,-0.049764,327.9938,146.7051,331.0303
23.18995,8.522312,2.05005,-0.049764,327.9938,146.7051,331.0303
23.19213,8.522312,2.05005,-0.049764,327.9938,146.7051,331.0303
23.19488,8.522312,2.05005,-0.049764,327.9938,146.7051,331.0303
23.19759,8.522312,2.05005,-0.049764,327.9938,146.7051,331.0303
23.20018,8.540757,2.05005,-0.05536,328.0054,146.5764,330.9332
23.20333,8.540757,2.05005,-0.05536,328.0054,146.5764,330.9332
23.20582,8.540757,2.05005,-0.05536,328.0054,146.5764,330.9332
23.20836,8.540756,2.05005,-0.05536,328.0054,146.5764,330.9332
23.21094,8.540757,2.05005,-0.05536,328.0054,146.5764,330.9332
23.21324,8.540757,2.05005,-0.05536,328.0054,146.5764,330.9332
23.21595,8.540757,2.05005,-0.05536,328.0054,146.5764,330.9332
23.2184,8.540757,2.05005,-0.05536,328.0054,146.5764,330.9332
23.22091,8.56606,2.05005,-0.061342,328.0287,146.4132,330.9587
23.22387,8.56606,2.05005,-0.061342,328.0287,146.4132,330.9587
23.22656,8.56606,2.05005,-0.061342,328.0287,146.4132,330.9587
23.22923,8.56606,2.05005,-0.061342,328.0287,146.4132,330.9587
23.23222,8.56606,2.05005,-0.061342,328.0287,146.4132,330.9587
23.23478,8.56606,2.05005,-0.061342,328.0287,146.4132,330.9587
23.2379,8.56606,2.05005,-0.061342,328.0287,146.4132,330.9587
23.24056,8.602515,2.050049,-0.066055,328.0406,146.3678,330.8715
23.24368,8.602515,2.050049,-0.066055,328.0406,146.3678,330.8715
23.24605,8.602516,2.050049,-0.066055,328.0406,146.3678,330.8715
23.24957,8.602514,2.050049,-0.066055,328.0406,146.3678,330.8715
23.25209,8.602515,2.050049,-0.066055,328.0406,146.3678,330.8715
23.25493,8.602515,2.050049,-0.066055,328.0406,146.3678,330.8715
23.25705,8.602515,2.050049,-0.066055,328.0406,146.3678,330.8715
23.25927,8.602515,2.050049,-0.066055,328.0406,146.3678,330.8715
23.26137,8.653785,2.050049,-0.068877,328.0392,146.1874,330.7051
23.26472,8.653785,2.050049,-0.068877,328.0392,146.1874,330.7051
23.26681,8.653785,2.050049,-0.068877,328.0392,146.1874,330.7051
23.26981,8.653785,2.050049,-0.068877,328.0392,146.1874,330.7051
23.27228,8.653785,2.050049,-0.068877,328.0392,146.1874,330.7051
23.27447,8.653785,2.050049,-0.068877,328.0392,146.1874,330.7051
23.27644,8.653785,2.050049,-0.068877,328.0392,146.1874,330.7051
23.27881,8.653785,2.050049,-0.068877,328.0392,146.1874,330.7051
23.28098,8.714089,2.050049,-0.066781,328.0518,146.1028,330.4524
23.28406,8.714089,2.050049,-0.066781,328.0518,146.1028,330.4524
23.28668,8.714089,2.050049,-0.066781,328.0518,146.1028,330.4524
23.28921,8.714088,2.050049,-0.066781,328.0518,146.1028,330.4524
23.29133,8.714089,2.050049,-0.066781,328.0518,146.1028,330.4524
23.29401,8.714089,2.050049,-0.066781,328.0518,146.1028,330.4524
23.29638,8.714089,2.050049,-0.066781,328.0518,146.1028,330.4524
23.29924,8.714089,2.050049,-0.066781,328.0518,146.1028,330.4524
23.30169,8.783558,2.050048,-0.066301,328.0678,146.0596,330.1696
23.30479,8.783558,2.050048,-0.066301,328.0678,146.0596,330.1696
23.307,8.783558,2.050048,-0.066301,328.0678,146.0596,330.1696
23.30962,8.783558,2.050048,-0.066301,328.0678,146.0596,330.1696
23.31195,8.783558,2.050048,-0.066301,328.0678,146.0596,330.1696
23.31432,8.783558,2.050048,-0.066301,328.0678,146.0596,330.1696
23.31641,8.783558,2.050048,-0.066301,328.0678,146.0596,330.1696
23.31918,8.783558,2.050048,-0.066301,328.0678,146.0596,330.1696
23.32149,8.867461,2.050048,-0.062974,328.0099,146.2503,329.7953
23.32424,8.867461,2.050048,-0.062974,328.0099,146.2503,329.7953
23.32604,8.867461,2.050048,-0.062974,328.0099,146.2503,329.7953
23.32858,8.867461,2.050048,-0.062974,328.0099,146.2503,329.7953
23.33163,8.867461,2.050048,-0.062974,328.0099,146.2503,329.7953
23.33414,8.867461,2.050048,-0.062974,328.0099,146.2503,329.7953
23.33626,8.867461,2.050048,-0.062974,328.0099,146.2503,329.7953
23.33864,8.867461,2.050048,-0.062974,328.0099,146.2503,329.7953
23.34067,8.948824,2.050048,-0.063536,327.8643,146.4922,329.3731
23.3453,8.948825,2.050048,-0.063536,327.8643,146.4922,329.3731
23.34813,8.948825,2.050048,-0.063536,327.8643,146.4922,329.3731
23.35057,8.948825,2.050048,-0.063536,327.8643,146.4922,329.3731
23.35291,8.948825,2.050048,-0.063536,327.8643,146.4922,329.3731
23.35508,8.948825,2.050048,-0.063536,327.8643,146.4922,329.3731
23.35723,8.948825,2.050048,-0.063536,327.8643,146.4922,329.3731
23.35919,8.948825,2.050048,-0.063536,327.8643,146.4922,329.3731
23.36116,9.037592,2.050047,-0.06866,327.7502,146.7401,329.0815
23.36442,9.037593,2.050047,-0.06866,327.7502,146.7401,329.0815
23.36666,9.037593,2.050047,-0.06866,327.7502,146.7401,329.0815
