time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
9.664838,-3.550421,2.05005,0.036503,327.3306,141.2994,236.1214
9.676607,-3.550421,2.05005,0.036503,327.3306,141.2994,236.1214
9.683844,-3.550421,2.05005,0.036503,327.2282,141.4299,236.1163
9.689116,-3.550421,2.05005,0.036503,327.2282,141.4299,236.1163
9.693102,-3.550421,2.05005,0.036503,327.2282,141.4299,236.1163
9.696579,-3.550421,2.05005,0.036503,327.2282,141.4299,236.1163
9.701043,-3.550421,2.05005,0.036503,327.1969,141.5813,236.0999
9.706069,-3.550422,2.05005,0.036503,327.1969,141.5813,236.0999
9.711352,-3.550421,2.05005,0.036503,327.1969,141.5813,236.0999
9.716195,-3.550421,2.05005,0.036503,327.1969,141.5813,236.0999
9.721373,-3.550421,2.05005,0.036503,327.1657,141.7327,236.0833
9.726904,-3.550421,2.05005,0.036503,327.1657,141.7327,236.0833
9.732327,-3.550422,2.05005,0.036503,327.1657,141.7327,236.0833
9.737615,-3.550421,2.05005,0.036503,327.1657,141.7327,236.0833
9.742005,-3.550421,2.05005,0.036503,327.1657,141.7327,236.0833
9.746958,-3.550422,2.05005,0.036503,327.1657,141.7327,236.0833
9.75174,-3.550422,2.05005,0.036503,327.1657,141.7327,236.0833
9.756589,-3.550422,2.05005,0.036503,327.1657,141.7327,236.0833
9.761769,-3.550421,2.05005,0.036503,327.1501,141.8084,236.075
9.767544,-3.550421,2.05005,0.036503,327.1501,141.8084,236.075
9.771853,-3.550421,2.05005,0.036503,327.1501,141.8084,236.075
9.775721,-3.550421,2.05005,0.036503,327.1501,141.8084,236.075
9.780011,-3.550421,2.05005,0.036503,327.1345,141.8842,235.9934
9.785383,-3.550421,2.05005,0.036503,327.1345,141.8842,235.9934
9.789448,-3.550422,2.05005,0.036503,327.1345,141.8842,235.9934
9.794261,-3.550421,2.05005,0.036503,327.1345,141.8842,235.9934
9.802938,-3.549196,2.05005,0.038843,327.0574,141.953,236.0442
9.810294,-3.549196,2.05005,0.038843,327.0574,141.953,236.0442
9.816195,-3.549196,2.05005,0.038843,327.0574,141.953,236.0442
9.824203,-3.549196,2.05005,0.038843,327.0574,141.953,236.0442
9.832057,-3.549196,2.05005,0.038843,327.0574,141.953,236.0442
9.839624,-3.549196,2.05005,0.038843,327.0574,141.953,236.0442
9.841753,-3.546744,2.05005,0.043525,327.0055,141.9599,236.0047
9.846137,-3.546744,2.05005,0.043525,327.0055,141.9599,236.0047
9.850827,-3.546745,2.05005,0.043525,327.0055,141.9599,236.0047
9.855108,-3.546745,2.05005,0.043525,327.0055,141.9599,236.0047
