time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
9.664838,1.973172,2.05005,-1.183706,324.4236,147.3041,82.29335
9.676607,1.973172,2.05005,-1.183706,324.4236,147.3041,82.29335
9.683844,1.973172,2.05005,-1.183706,324.4965,147.3137,82.28779
9.689116,1.973172,2.05005,-1.183706,324.4965,147.3137,82.28779
9.693102,1.973172,2.05005,-1.183706,324.4965,147.3137,82.28779
9.696579,1.973172,2.05005,-1.183706,324.4965,147.3137,82.28779
9.701043,1.973172,2.05005,-1.183706,324.4965,147.3137,82.28779
9.706069,1.973172,2.05005,-1.183706,324.4965,147.3137,82.28779
9.711352,1.973172,2.05005,-1.183706,324.4965,147.3137,82.28779
9.716195,1.973172,2.05005,-1.183706,324.4965,147.3137,82.28779
9.721373,1.973172,2.05005,-1.183706,324.5768,147.2382,82.30888
9.726904,1.973172,2.05005,-1.183706,324.5768,147.2382,82.30888
9.732327,1.973172,2.05005,-1.183706,324.5768,147.2382,82.30888
9.737615,1.973172,2.05005,-1.183706,324.5768,147.2382,82.30888
9.742005,1.973172,2.05005,-1.183706,324.5693,147.3232,82.209
9.746958,1.973172,2.05005,-1.183706,324.5693,147.3232,82.209
9.75174,1.973172,2.05005,-1.183706,324.5693,147.3232,82.209
9.756589,1.973172,2.05005,-1.183706,324.5693,147.3232,82.209
9.761769,1.973172,2.05005,-1.183706,324.6496,147.2478,82.30334
9.767544,1.973172,2.05005,-1.183706,324.6496,147.2478,82.30334
9.771853,1.973172,2.05005,-1.183706,324.6496,147.2478,82.30334
9.775721,1.973172,2.05005,-1.183706,324.6496,147.2478,82.30334
9.780011,1.973172,2.05005,-1.183706,324.6496,147.2478,82.30334
9.785383,1.973172,2.05005,-1.183706,324.6496,147.2478,82.30334
9.789448,1.973172,2.05005,-1.183706,324.6496,147.2478,82.30334
9.794261,1.973172,2.05005,-1.183706,324.6496,147.2478,82.30334
9.802938,1.973172,2.05005,-1.183706,324.6496,147.2478,82.2301
9.810294,1.973172,2.05005,-1.183706,324.6496,147.2478,82.2301
9.816195,1.973172,2.05005,-1.183706,324.6496,147.2478,82.2301
9.824203,1.973172,2.05005,-1.183706,324.6422,147.3327,82.20348
9.832057,1.973172,2.05005,-1.183706,324.6422,147.3327,82.20348
9.839624,1.973172,2.05005,-1.183706,324.6422,147.3327,82.20348
9.841753,1.973172,2.05005,-1.183706,324.6422,147.3327,82.20348
9.846137,1.973172,2.05005,-1.183706,324.6422,147.3327,82.20348
9.850827,1.973172,2.05005,-1.183706,324.6422,147.3327,82.20348
9.855108,1.973172,2.05005,-1.183706,324.6422,147.3327,82.20348
9.860106,1.973172,2.05005,-1.183706,324.715,147.3423,82.27121
9.869638,1.973172,2.05005,-1.183706,324.715,147.3423,82.27121
9.873054,1.973172,2.05005,-1.183706,324.715,147.3423,82.27121
9.876894,1.973172,2.05005,-1.183706,324.715,147.3423,82.27121
9.881044,1.973172,2.05005,-1.183706,324.6422,147.3327,82.27672
9.887872,1.973172,2.05005,-1.183706,324.6422,147.3327,82.27672
9.892272,1.973172,2.05005,-1.183706,324.6422,147.3327,82.27672
9.896671,1.973172,2.05005,-1.183706,324.6422,147.3327,82.27672
9.901741,1.973172,2.05005,-1.183706,324.6422,147.3327,82.27672
9.907489,1.973172,2.05005,-1.183706,324.6422,147.3327,82.27672
9.911851,1.973172,2.05005,-1.183706,324.6422,147.3327,82.27672
9.915932,1.973172,2.05005,-1.183706,324.6422,147.3327,82.27672
9.920896,1.972554,2.05005,-1.181201,324.6642,147.3381,82.26748
9.926053,1.972554,2.05005,-1.181201,324.6642,147.3381,82.26748
9.931099,1.972555,2.05005,-1.181201,324.6642,147.3381,82.26748
9.936054,1.972555,2.05005,-1.181201,324.6642,147.3381,82.26748
9.940361,1.972555,2.05005,-1.181201,324.6642,147.3381,82.19424
9.945578,1.972555,2.05005,-1.181201,324.6642,147.3381,82.19424
9.950749,1.972555,2.05005,-1.181201,324.6642,147.3381,82.19424
9.954576,1.972555,2.05005,-1.181201,324.6642,147.3381,82.19424
9.958765,1.972555,2.05005,-1.181201,324.6642,147.3381,82.19424
9.962961,1.972555,2.05005,-1.181201,324.6642,147.3381,82.26748
9.969893,1.972554,2.05005,-1.181201,324.6642,147.3381,82.26748
9.974067,1.972555,2.05005,-1.181201,324.6642,147.3381,82.26748
9.977818,1.972555,2.05005,-1.181201,324.6642,147.3381,82.26748
9.982718,1.972555,2.05005,-1.181201,324.6642,147.3381,82.26748
9.987266,1.972555,2.05005,-1.181201,324.6642,147.3381,82.26748
9.991363,1.972555,2.05005,-1.181201,324.6642,147.3381,82.26748
9.995779,1.972555,2.05005,-1.181201,324.6642,147.3381,82.26748
10.0005,1.972555,2.05005,-1.181201,324.6642,147.3381,82.19424
10.00602,1.972555,2.05005,-1.181201,324.6642,147.3381,82.19424
10.01093,1.972555,2.05005,-1.181201,324.6642,147.3381,82.19424
10.01552,1.972554,2.05005,-1.181201,324.6642,147.3381,82.19424
10.02075,1.971937,2.05005,-1.178695,324.7666,147.2681,82.27929
10.02617,1.971937,2.05005,-1.178695,324.7666,147.2681,82.27929
10.03187,1.971937,2.05005,-1.178695,324.7666,147.2681,82.27929
10.03622,1.971937,2.05005,-1.178695,324.7666,147.2681,82.27929
10.04195,1.971937,2.05005,-1.178695,324.6938,147.2585,82.28481
10.04693,1.971937,2.05005,-1.178695,324.6938,147.2585,82.28481
10.05148,1.971937,2.05005,-1.178695,324.6938,147.2585,82.28481
10.05534,1.971937,2.05005,-1.178695,324.6938,147.2585,82.28481
10.05943,1.971937,2.05005,-1.178695,324.6938,147.2585,82.28481
10.06398,1.971937,2.05005,-1.178695,324.7012,147.1736,82.31133
10.06981,1.971937,2.05005,-1.178695,324.7012,147.1736,82.31133
10.07456,1.971937,2.05005,-1.178695,324.7012,147.1736,82.31133
10.07853,1.971937,2.05005,-1.178695,324.7012,147.1736,82.31133
10.08326,1.971937,2.05005,-1.178695,324.7012,147.1736,82.23809
10.08887,1.971937,2.05005,-1.178695,324.7012,147.1736,82.23809
10.09252,1.971937,2.05005,-1.178695,324.7012,147.1736,82.23809
10.09867,1.971937,2.05005,-1.178695,324.7012,147.1736,82.23809
10.10493,1.971937,2.05005,-1.178695,324.6938,147.2585,82.28481
10.11148,1.971937,2.05005,-1.178695,324.6938,147.2585,82.28481
10.11512,1.971937,2.05005,-1.178695,324.6938,147.2585,82.28481
10.12034,1.971937,2.05005,-1.178695,324.7012,147.1736,82.31133
10.12545,1.971937,2.05005,-1.178695,324.7012,147.1736,82.31133
10.12995,1.971937,2.05005,-1.178695,324.7012,147.1736,82.31133
10.13534,1.971937,2.05005,-1.178695,324.7012,147.1736,82.31133
10.13958,1.971937,2.05005,-1.178695,324.7012,147.1736,82.31133
10.14429,1.971319,2.05005,-1.17619,324.7232,147.179,82.30204
10.1507,1.971319,2.05005,-1.17619,324.7232,147.179,82.30204
10.15649,1.971319,2.05005,-1.17619,324.7232,147.179,82.30204
