time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
42.86361,0,1.244464,2.80571,326.5565,179.9957,127.7431
42.87092,0,1.244464,2.80571,326.5565,179.9957,127.7431
42.87678,0,1.244464,2.80571,326.5565,179.9957,127.7431
42.87959,0,1.244464,2.80571,326.5565,179.9957,127.7431
42.88271,0,1.244464,2.80571,326.5565,179.9957,127.7431
42.88779,0,1.244464,2.80571,326.5565,179.9957,127.7431
42.89086,0,1.244464,2.80571,326.5565,179.9957,127.7431
42.89344,0,1.244464,2.80571,326.5565,179.9957,127.7431
42.89661,0,1.244464,2.80571,326.5565,179.9957,127.7431
42.89928,0,1.244464,2.80571,326.5565,179.9957,127.7431
42.90206,0,1.244464,2.80571,326.5565,179.9957,127.7431
42.90748,0,1.244464,2.80571,326.5565,179.9957,127.7431
42.91018,0,1.244464,2.80571,326.5565,179.9957,127.7431
42.91312,0,1.244464,2.80571,326.5565,179.9957,127.7431
42.91581,0,1.244464,2.80571,326.5565,179.9957,127.7431
42.91835,0,1.244464,2.80571,326.5565,179.9957,127.7431
42.92136,0,1.244464,2.80571,326.5565,179.9957,127.7431
42.92446,0,1.244464,2.80571,326.5565,179.9957,127.7431
42.92689,0,1.244464,2.80571,326.5565,179.9957,127.7431
42.92962,0,1.244464,2.80571,326.5565,179.9957,127.7431
42.93222,0,1.244464,2.80571,326.5565,179.9957,127.7431
42.93545,0,1.244464,2.80571,326.5565,179.9957,127.7431
42.93831,0,1.244464,2.80571,326.5565,179.9957,127.7431
42.94143,0,1.244464,2.80571,326.5565,179.9957,127.7431
42.94929,0,1.244464,2.80571,326.5565,179.9957,127.7431
42.95354,0,1.244464,2.80571,326.5565,179.9957,127.7431
42.95572,0,1.244464,2.80571,326.5565,179.9957,127.7431
42.95851,0,1.244464,2.80571,326.5565,179.9957,127.7431
42.9608,0,1.244464,2.80571,326.5565,179.9957,127.7431
42.96414,0,1.244464,2.80571,326.5565,179.9957,127.7431
42.9665,0,1.244464,2.80571,326.5565,179.9957,127.7431
42.96955,0,1.244464,2.80571,326.5565,179.9957,127.7431
