time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
42.86361,-3.436704,2.05005,-0.024585,325.934,156.962,243.9296
42.87092,-3.436704,2.05005,-0.024585,325.934,156.962,243.9296
42.87678,-3.436704,2.05005,-0.024585,325.934,156.962,243.9296
42.87959,-3.436704,2.05005,-0.024585,325.934,156.962,243.9296
42.88271,-3.436704,2.05005,-0.024585,325.9467,156.8834,244.0158
42.88779,-3.436704,2.05005,-0.024585,325.9467,156.8834,244.0158
42.89086,-3.436704,2.05005,-0.024585,325.9467,156.8834,244.0158
42.89344,-3.436704,2.05005,-0.024585,325.9467,156.8834,244.0158
42.89661,-3.436704,2.05005,-0.024585,325.9467,156.8834,244.0158
42.89928,-3.436704,2.05005,-0.024585,325.9467,156.8834,244.0158
42.90206,-3.436704,2.05005,-0.024585,325.9467,156.8834,244.0158
42.90748,-3.436704,2.05005,-0.024585,325.9467,156.8834,244.0158
42.91018,-3.436704,2.05005,-0.024585,325.9467,156.8834,244.0158
42.91312,-3.436704,2.05005,-0.024585,325.9467,156.8834,244.0158
42.91581,-3.436704,2.05005,-0.024585,325.9467,156.8834,244.0158
42.91835,-3.436704,2.05005,-0.024585,325.9467,156.8834,244.0158
42.92136,-3.436704,2.05005,-0.024585,325.9467,156.8834,243.9426
42.92446,-3.436704,2.05005,-0.024585,325.9467,156.8834,243.9426
42.92689,-3.436704,2.05005,-0.024585,325.9467,156.8834,243.9426
42.92962,-3.436704,2.05005,-0.024585,325.9467,156.8834,243.9426
42.93222,-3.436704,2.05005,-0.024585,325.9467,156.8834,243.9426
42.93545,-3.436704,2.05005,-0.024585,325.9467,156.8834,243.9426
42.93831,-3.436704,2.05005,-0.024585,325.9467,156.8834,243.9426
42.94143,-3.436704,2.05005,-0.024585,325.9467,156.8834,244.0158
42.94929,-3.436704,2.05005,-0.024585,325.9467,156.8834,244.0158
42.95354,-3.436704,2.05005,-0.024585,325.9467,156.8834,244.0158
42.95572,-3.436704,2.05005,-0.024585,325.9467,156.8834,244.0158
42.95851,-3.436704,2.05005,-0.024585,325.9467,156.8834,244.0158
42.9608,-3.436704,2.05005,-0.024585,325.9467,156.8834,243.9426
42.96414,-3.436704,2.05005,-0.024585,325.9467,156.8834,243.9426
