time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
19.9219,0.027636,2.05005,-1.583464,308.4145,169.8211,117.7498
19.92809,0.027636,2.05005,-1.583464,308.4145,169.8211,117.7498
19.93223,0.027636,2.05005,-1.583464,308.4145,169.8211,117.7498
19.93578,0.027636,2.05005,-1.583464,308.4145,169.8211,117.7498
19.93895,0.027636,2.05005,-1.583464,308.4145,169.8211,117.7498
19.94242,0.027636,2.05005,-1.583464,308.4145,169.8211,117.7498
19.95041,0.027636,2.05005,-1.583464,308.4145,169.8211,117.7498
19.95432,0.027636,2.05005,-1.583464,308.4145,169.8211,117.7498
19.95792,0.027636,2.05005,-1.583464,308.4145,169.8211,117.7498
19.96274,0.027636,2.05005,-1.583464,308.3414,169.813,117.7561
19.96881,0.027636,2.05005,-1.583464,308.3414,169.813,117.7561
19.97264,0.027636,2.05005,-1.583464,308.3414,169.813,117.7561
19.97696,0.027636,2.05005,-1.583464,308.3414,169.813,117.7561
19.98093,0.027636,2.05005,-1.583464,308.3414,169.813,117.7561
19.9857,0.027636,2.05005,-1.583464,308.3414,169.813,117.7561
19.99475,0.027636,2.05005,-1.583464,308.3414,169.813,117.7561
19.99855,0.027636,2.05005,-1.583464,308.3414,169.813,117.7561
20.00238,0.027636,2.05005,-1.583464,308.3456,169.7136,117.8681
20.00777,0.027636,2.05005,-1.583464,308.3456,169.7136,117.8681
20.01163,0.027636,2.05005,-1.583464,308.3456,169.7136,117.8681
20.01608,0.027636,2.05005,-1.583464,308.3456,169.7136,117.8681
20.0202,0.027636,2.05005,-1.583464,308.3414,169.813,117.7561
20.02763,0.027636,2.05005,-1.583464,308.3414,169.813,117.7561
20.03286,0.027636,2.05005,-1.583464,308.3414,169.813,117.7561
20.03659,0.027636,2.05005,-1.583464,308.3414,169.813,117.7561
20.04077,0.024181,2.05005,-1.583475,308.2683,169.8285,117.7625
20.04597,0.024181,2.05005,-1.583475,308.2683,169.8285,117.7625
20.04954,0.024181,2.05005,-1.583474,308.2683,169.8285,117.7625
20.05363,0.024181,2.05005,-1.583474,308.2683,169.8285,117.7625
20.05783,0.024181,2.05005,-1.583475,308.2683,169.8285,117.7625
20.06168,0.024181,2.05005,-1.583475,308.3456,169.7372,117.7949
20.06612,0.024181,2.05005,-1.583475,308.3456,169.7372,117.7949
20.07045,0.024181,2.05005,-1.583475,308.3456,169.7372,117.7949
20.07481,0.024181,2.05005,-1.583475,308.3456,169.7372,117.7949
20.07947,0.024181,2.05005,-1.583475,308.3456,169.7372,117.7949
20.0835,0.024181,2.05005,-1.583475,308.2726,169.729,117.8013
20.08955,0.024181,2.05005,-1.583474,308.2726,169.729,117.8013
20.09362,0.024181,2.05005,-1.583475,308.2726,169.729,117.8013
20.0972,0.024181,2.05005,-1.583475,308.2726,169.729,117.8013
20.10147,0.024181,2.05005,-1.583475,308.2726,169.729,117.8013
20.10579,0.024181,2.05005,-1.583475,308.2726,169.729,117.8013
20.10944,0.024181,2.05005,-1.583475,308.2726,169.729,117.8013
20.11341,0.024181,2.05005,-1.583475,308.2726,169.729,117.8013
20.11781,0.024181,2.05005,-1.583475,308.2726,169.729,117.8013
20.12254,0.024181,2.05005,-1.583475,308.2726,169.729,117.728
20.13091,0.024181,2.05005,-1.583475,308.2726,169.729,117.728
20.13515,0.024181,2.05005,-1.583475,308.2726,169.729,117.728
20.13826,0.024181,2.05005,-1.583475,308.2726,169.729,117.728
20.14231,0.024181,2.05005,-1.583475,308.3499,169.6378,117.9068
20.1491,0.024181,2.05005,-1.583475,308.3499,169.6378,117.9068
20.15261,0.024181,2.05005,-1.583475,308.3499,169.6378,117.9068
