experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,vmr_angle,trainee_right_stylus_movement_location_0,mentor_left_stylus_movement_location_0
guidance_experiment,jab-d6b8184d-71eb-4d61-b3d7-18734d2cde1e,1,1,1,1,9.543761,11.96,,guidance_experiment/jab-d6b8184d-71eb-4d61-b3d7-18734d2cde1e/S001/trackers/trainee_right_stylus_movement_T001.csv,guidance_experiment/jab-d6b8184d-71eb-4d61-b3d7-18734d2cde1e/S001/trackers/mentor_left_stylus_movement_T001.csv
guidance_experiment,jab-d6b8184d-71eb-4d61-b3d7-18734d2cde1e,1,2,1,2,13.44517,14.26,,guidance_experiment/jab-d6b8184d-71eb-4d61-b3d7-18734d2cde1e/S001/trackers/trainee_right_stylus_movement_T002.csv,guidance_experiment/jab-d6b8184d-71eb-4d61-b3d7-18734d2cde1e/S001/trackers/mentor_left_stylus_movement_T002.csv
guidance_experiment,jab-d6b8184d-71eb-4d61-b3d7-18734d2cde1e,1,3,2,1,17.30516,18.22,,guidance_experiment/jab-d6b8184d-71eb-4d61-b3d7-18734d2cde1e/S001/trackers/trainee_right_stylus_movement_T003.csv,guidance_experiment/jab-d6b8184d-71eb-4d61-b3d7-18734d2cde1e/S001/trackers/mentor_left_stylus_movement_T003.csv
guidance_experiment,jab-d6b8184d-71eb-4d61-b3d7-18734d2cde1e,1,4,2,2,19.9219,21.7,,guidance_experiment/jab-d6b8184d-71eb-4d61-b3d7-18734d2cde1e/S001/trackers/trainee_right_stylus_movement_T004.csv,guidance_experiment/jab-d6b8184d-71eb-4d61-b3d7-18734d2cde1e/S001/trackers/mentor_left_stylus_movement_T004.csv
guidance_experiment,jab-d6b8184d-71eb-4d61-b3d7-18734d2cde1e,1,5,3,1,24.76394,26.24,,guidance_experiment/jab-d6b8184d-71eb-4d61-b3d7-18734d2cde1e/S001/trackers/trainee_right_stylus_movement_T005.csv,guidance_experiment/jab-d6b8184d-71eb-4d61-b3d7-18734d2cde1e/S001/trackers/mentor_left_stylus_movement_T005.csv
guidance_experiment,jab-d6b8184d-71eb-4d61-b3d7-18734d2cde1e,1,6,3,2,27.84269,33.58,,guidance_experiment/jab-d6b8184d-71eb-4d61-b3d7-18734d2cde1e/S001/trackers/trainee_right_stylus_movement_T006.csv,guidance_experiment/jab-d6b8184d-71eb-4d61-b3d7-18734d2cde1e/S001/trackers/mentor_left_stylus_movement_T006.csv
guidance_experiment,jab-d6b8184d-71eb-4d61-b3d7-18734d2cde1e,1,7,4,1,35.82482,46.54,,guidance_experiment/jab-d6b8184d-71eb-4d61-b3d7-18734d2cde1e/S001/trackers/trainee_right_stylus_movement_T007.csv,guidance_experiment/jab-d6b8184d-71eb-4d61-b3d7-18734d2cde1e/S001/trackers/mentor_left_stylus_movement_T007.csv
guidance_experiment,jab-d6b8184d-71eb-4d61-b3d7-18734d2cde1e,1,8,4,2,48.16925,49.62,,guidance_experiment/jab-d6b8184d-71eb-4d61-b3d7-18734d2cde1e/S001/trackers/trainee_right_stylus_movement_T008.csv,guidance_experiment/jab-d6b8184d-71eb-4d61-b3d7-18734d2cde1e/S001/trackers/mentor_left_stylus_movement_T008.csv
guidance_experiment,jab-d6b8184d-71eb-4d61-b3d7-18734d2cde1e,1,9,5,1,51.6255,64.88,,guidance_experiment/jab-d6b8184d-71eb-4d61-b3d7-18734d2cde1e/S001/trackers/trainee_right_stylus_movement_T009.csv,guidance_experiment/jab-d6b8184d-71eb-4d61-b3d7-18734d2cde1e/S001/trackers/mentor_left_stylus_movement_T009.csv
guidance_experiment,jab-d6b8184d-71eb-4d61-b3d7-18734d2cde1e,1,10,5,2,66.26373,66.86,,guidance_experiment/jab-d6b8184d-71eb-4d61-b3d7-18734d2cde1e/S001/trackers/trainee_right_stylus_movement_T010.csv,guidance_experiment/jab-d6b8184d-71eb-4d61-b3d7-18734d2cde1e/S001/trackers/mentor_left_stylus_movement_T010.csv
guidance_experiment,jab-d6b8184d-71eb-4d61-b3d7-18734d2cde1e,1,11,6,1,70.54605,71.78,,guidance_experiment/jab-d6b8184d-71eb-4d61-b3d7-18734d2cde1e/S001/trackers/trainee_right_stylus_movement_T011.csv,guidance_experiment/jab-d6b8184d-71eb-4d61-b3d7-18734d2cde1e/S001/trackers/mentor_left_stylus_movement_T011.csv
guidance_experiment,jab-d6b8184d-71eb-4d61-b3d7-18734d2cde1e,1,12,6,2,73.60606,74.48,,guidance_experiment/jab-d6b8184d-71eb-4d61-b3d7-18734d2cde1e/S001/trackers/trainee_right_stylus_movement_T012.csv,guidance_experiment/jab-d6b8184d-71eb-4d61-b3d7-18734d2cde1e/S001/trackers/mentor_left_stylus_movement_T012.csv
