time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
8.145404,-3.468237,2.05005,-0.115771,328.24,163.2326,113.602
8.162523,-3.468237,2.05005,-0.115771,328.324,163.1686,113.6822
8.179071,-3.468237,2.05005,-0.115771,328.324,163.1686,113.6822
8.190405,-3.467746,2.05005,-0.121919,328.2901,163.1252,113.7199
8.202551,-3.468925,2.05005,-0.12428,328.3453,163.1304,113.7308
8.213887,-3.468925,2.05005,-0.12428,328.3453,163.1304,113.7308
8.22467,-3.472464,2.05005,-0.131362,328.2944,163.1007,113.8607
8.236344,-3.472464,2.05005,-0.131362,328.2944,163.1007,113.8607
8.247764,-3.470947,2.05005,-0.149806,328.3248,163.08,113.9429
8.260275,-3.468737,2.05005,-0.159741,328.3582,162.9395,113.9333
8.271476,-3.468737,2.05005,-0.159741,328.3582,162.9395,113.9333
8.282666,-3.458516,2.05005,-0.182454,328.4604,162.8641,114.007
8.294002,-3.458516,2.05005,-0.182454,328.4604,162.8641,114.007
8.30457,-3.442556,2.05005,-0.215572,328.5115,162.6891,114.1366
8.318398,-3.442556,2.05005,-0.215572,328.5115,162.6891,114.1366
8.337569,-3.434987,2.050049,-0.356331,328.0978,162.256,114.8719
8.351931,-3.437824,2.05005,-0.392677,327.9218,162.184,115.0747
8.364516,-3.436413,2.050049,-0.451171,327.8146,161.8799,115.4068
8.376095,-3.436413,2.050049,-0.451171,327.8146,161.8799,115.4068
8.38678,-3.418427,2.050048,-0.625886,327.2496,160.8396,116.437
8.401675,-3.401947,2.050047,-0.687428,327.0572,160.4776,116.7627
8.413004,-3.401948,2.050047,-0.687428,327.0572,160.4776,116.7627
8.423771,-3.354716,2.050046,-0.815747,326.7977,159.8032,117.3714
8.435518,-3.354716,2.050046,-0.815747,326.7977,159.8032,117.3714
8.446545,-3.262054,2.050044,-0.994213,326.567,159.2296,117.9974
8.461207,-3.223547,2.050043,-1.04712,326.4897,159.1277,118.1227
8.471979,-3.223547,2.050043,-1.04712,326.4897,159.1277,118.1227
8.483216,-3.14341,2.050043,-1.139142,326.5569,159.1608,118.0877
8.493743,-3.143411,2.050043,-1.139142,326.5569,159.1608,118.0877
8.505232,-3.057024,2.050046,-1.218761,326.6701,159.2726,117.6289
8.518303,-3.057024,2.050046,-1.218761,326.6701,159.2726,117.6289
8.528593,-2.938447,2.050049,-1.30669,326.7345,160.0598,116.7926
8.540734,-2.909987,2.050049,-1.322056,326.7044,160.3588,116.5615
8.552559,-2.909987,2.050049,-1.322056,326.7044,160.3588,116.5615
8.564139,-2.868028,2.05005,-1.342027,326.5765,161.0321,116.1808
8.575655,-2.868028,2.05005,-1.342027,326.5765,161.0321,116.1808
8.586884,-2.858802,2.05005,-1.337209,326.5482,162.2032,115.6834
8.600236,-2.864143,2.05005,-1.330975,326.4823,162.4136,115.6102
8.612844,-2.864143,2.05005,-1.330975,326.4823,162.4136,115.6102
8.62382,-2.869725,2.05005,-1.304131,326.5477,162.7361,115.3464
8.636019,-2.869725,2.05005,-1.304131,326.5477,162.7361,115.3464
8.646843,-2.858035,2.05005,-1.249919,326.5496,162.8799,115.0255
8.660952,-2.856988,2.05005,-1.225942,326.4133,162.9252,114.9336
8.672248,-2.856988,2.05005,-1.225942,326.4133,162.9252,114.9336
8.683533,-2.849266,2.05005,-1.162563,326.2677,162.992,114.6721
8.69467,-2.849266,2.05005,-1.162563,326.2677,162.992,114.6721
8.705771,-2.839433,2.05005,-1.093907,326.2005,163.1917,114.4475
8.718157,-2.839433,2.05005,-1.093907,326.2005,163.1917,114.4475
8.729891,-2.798913,2.050049,-0.960885,326.2726,163.7372,113.6883
8.741006,-2.779178,2.050049,-0.916019,326.3583,164.0736,113.355
8.754707,-2.779179,2.050049,-0.916019,326.3583,164.0736,113.355
8.767813,-2.730324,2.05005,-0.79975,326.2484,164.8756,112.6188
