time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
22.24184,12.02521,2.05005,0.006301,29.28999,148.63,120.6292
22.25158,12.02521,2.05005,0.006301,29.28999,148.63,120.6292
22.25681,12.02521,2.05005,0.006301,29.28999,148.63,120.6292
22.259,12.02521,2.05005,0.006301,29.28999,148.63,120.6292
22.26107,12.02521,2.05005,0.006301,29.36319,148.6328,120.6306
22.26596,12.02521,2.05005,0.006301,29.36319,148.6328,120.6306
22.26832,12.02521,2.05005,0.006301,29.36319,148.6328,120.6306
22.27047,12.02521,2.05005,0.006301,29.36319,148.6328,120.6306
22.27249,12.02521,2.05005,0.006301,29.36319,148.6328,120.6306
22.27475,12.02521,2.05005,0.006301,29.36319,148.6328,120.6306
22.27726,12.02521,2.05005,0.006301,29.36319,148.6328,120.6306
22.27939,12.02521,2.05005,0.006301,29.36319,148.6328,120.6306
22.28191,12.02521,2.05005,0.006301,29.28999,148.6299,120.7024
22.28654,12.02521,2.05005,0.006301,29.28999,148.6299,120.7024
22.289,12.02521,2.05005,0.006301,29.28999,148.6299,120.7024
22.2913,12.02521,2.05005,0.006301,29.28999,148.6299,120.7024
22.29396,12.02521,2.05005,0.006301,29.28999,148.6299,120.7024
22.2963,12.02521,2.05005,0.006301,29.28999,148.6299,120.7024
22.29879,12.02521,2.05005,0.006301,29.28999,148.6299,120.7024
22.30096,12.02521,2.05005,0.006301,29.36319,148.6328,120.6306
22.3072,12.02521,2.05005,0.006301,29.36319,148.6328,120.6306
22.30986,12.02521,2.05005,0.006301,29.36319,148.6328,120.6306
22.31213,12.02521,2.05005,0.006301,29.36319,148.6328,120.6306
22.31466,12.02521,2.05005,0.006301,29.36319,148.6328,120.6306
22.31666,12.02521,2.05005,0.006301,29.36319,148.6328,120.6306
22.31888,12.02521,2.05005,0.006301,29.36319,148.6328,120.6306
22.32083,12.02521,2.05005,0.006301,29.29212,148.5588,120.6332
22.32583,12.02521,2.05005,0.006301,29.29212,148.5588,120.6332
22.32805,12.02521,2.05005,0.006301,29.29212,148.5588,120.6332
22.33045,12.02521,2.05005,0.006301,29.29212,148.5588,120.6332
22.33287,12.02521,2.05005,0.006301,29.29212,148.5588,120.6332
22.33682,12.02521,2.05005,0.006301,29.29212,148.5588,120.6332
22.34004,12.02521,2.05005,0.006301,29.36319,148.6328,120.6306
22.34262,12.02521,2.05005,0.006301,29.36319,148.6328,120.6306
22.34492,12.02521,2.05005,0.006301,29.36319,148.6328,120.6306
22.34705,12.02521,2.05005,0.006301,29.36319,148.6328,120.6306
22.34912,12.02521,2.05005,0.006301,29.36319,148.6328,120.6306
22.35114,12.02521,2.05005,0.006301,29.36319,148.6328,120.6306
22.35311,12.02521,2.05005,0.006301,29.36319,148.6328,120.6306
22.35542,12.02521,2.05005,0.006301,29.36319,148.6328,120.6306
22.35772,12.02521,2.05005,0.006301,29.36319,148.6328,120.6306
22.36033,12.02521,2.05005,0.006301,29.36532,148.5617,120.6346
22.36293,12.02521,2.05005,0.006301,29.36532,148.5617,120.6346
22.36491,12.02521,2.05005,0.006301,29.36532,148.5617,120.6346
22.367,12.02521,2.05005,0.006301,29.36532,148.5617,120.6346
22.36933,12.02521,2.05005,0.006301,29.36532,148.5617,120.6346
22.37153,12.02521,2.05005,0.006301,29.36532,148.5617,120.6346
22.37385,12.02521,2.05005,0.006301,29.36532,148.5617,120.6346
22.37684,12.02521,2.05005,0.006301,29.36532,148.5617,120.6346
22.3807,12.02521,2.05005,0.006301,29.36319,148.6328,120.7038
22.38653,12.02521,2.05005,0.006301,29.36319,148.6328,120.7038
22.3889,12.02521,2.05005,0.006301,29.36319,148.6328,120.7038
22.39143,12.02521,2.05005,0.006301,29.36319,148.6328,120.7038
22.39425,12.02521,2.05005,0.006301,29.36319,148.6328,120.7038
22.39638,12.02521,2.05005,0.006301,29.36319,148.6328,120.7038
22.39842,12.02521,2.05005,0.006301,29.36319,148.6328,120.7038
22.40034,12.02521,2.05005,0.006301,29.36319,148.6328,120.7038
22.40545,12.02521,2.05005,0.006301,29.36319,148.6328,120.7038
22.40701,12.02521,2.05005,0.006301,29.36319,148.6328,120.7038
22.40957,12.02521,2.05005,0.006301,29.36319,148.6328,120.7038
22.41162,12.02521,2.05005,0.006301,29.36319,148.6328,120.7038
22.4132,12.02521,2.05005,0.006301,29.36319,148.6328,120.7038
22.41534,12.02521,2.05005,0.006301,29.36319,148.6328,120.7038
22.41746,12.02521,2.05005,0.006301,29.36319,148.6328,120.7038
22.41946,12.02521,2.05005,0.006301,29.36319,148.6328,120.7038
22.42133,12.02521,2.05005,0.006301,29.28999,148.63,120.6292
22.42683,12.02521,2.05005,0.006301,29.28999,148.63,120.6292
22.4288,12.02521,2.05005,0.006301,29.28999,148.63,120.6292
22.43096,12.02521,2.05005,0.006301,29.28999,148.63,120.6292
22.43292,12.02521,2.05005,0.006301,29.28999,148.63,120.6292
22.43505,12.02521,2.05005,0.006301,29.28999,148.63,120.6292
22.43756,12.02521,2.05005,0.006301,29.28999,148.63,120.6292
22.43985,12.02521,2.05005,0.006301,29.28999,148.63,120.6292
22.442,12.02521,2.05005,0.006301,29.36319,148.6328,120.6306
22.44922,12.02521,2.05005,0.006301,29.36319,148.6328,120.6306
22.45102,12.02521,2.05005,0.006301,29.36319,148.6328,120.6306
22.45334,12.02521,2.05005,0.006301,29.36319,148.6328,120.6306
22.45523,12.02521,2.05005,0.006301,29.36319,148.6328,120.6306
22.45679,12.02521,2.05005,0.006301,29.36319,148.6328,120.6306
22.45879,12.02521,2.05005,0.006301,29.36319,148.6328,120.6306
22.46107,12.02521,2.05005,0.006301,29.36319,148.6328,120.6306
22.46551,12.02521,2.05005,0.006301,29.36319,148.6328,120.6306
22.46749,12.02521,2.05005,0.006301,29.36319,148.6328,120.6306
22.46967,12.02521,2.05005,0.006301,29.36319,148.6328,120.6306
22.47199,12.02521,2.05005,0.006301,29.36319,148.6328,120.6306
22.47457,12.02521,2.05005,0.006301,29.36319,148.6328,120.6306
22.47713,12.02521,2.05005,0.006301,29.36319,148.6328,120.6306
22.47918,12.02521,2.05005,0.006301,29.36319,148.6328,120.6306
22.48105,12.02521,2.05005,0.006301,29.28999,148.6299,120.5559
22.48677,12.02521,2.05005,0.006301,29.28999,148.6299,120.5559
22.48901,12.02521,2.05005,0.006301,29.28999,148.6299,120.5559
