time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
132.4823,0.050802,2.05005,-0.04609,301.5882,142.1275,118.3481
132.4864,0.050802,2.05005,-0.04609,301.5882,142.1275,118.3481
132.4944,0.050802,2.05005,-0.04609,301.5882,142.1275,118.3481
132.4985,0.050802,2.05005,-0.04609,301.5882,142.1275,118.3481
132.5017,0.050802,2.05005,-0.04609,301.591,142.0484,118.4283
132.5055,0.050802,2.05005,-0.04609,301.591,142.0484,118.4283
132.5098,0.050802,2.05005,-0.04609,301.591,142.0484,118.4283
132.5139,0.050802,2.05005,-0.04609,301.591,142.0484,118.4283
132.5184,0.050802,2.05005,-0.04609,301.591,142.0484,118.4283
132.5251,0.050802,2.05005,-0.04609,301.591,142.0484,118.4283
132.5292,0.050802,2.05005,-0.04609,301.591,142.0484,118.4283
132.5323,0.050802,2.05005,-0.04609,301.591,142.0484,118.4283
132.5353,0.050802,2.05005,-0.04609,301.591,142.0484,118.4283
132.5386,0.050802,2.05005,-0.04609,301.591,142.0484,118.4283
132.5425,0.050802,2.05005,-0.04609,301.591,142.0484,118.4283
132.547,0.050802,2.05005,-0.04609,301.591,142.0484,118.4283
132.5501,0.050802,2.05005,-0.04609,301.591,142.0484,118.4283
132.5535,0.050802,2.05005,-0.04609,301.591,142.0484,118.4283
132.557,0.050802,2.05005,-0.04609,301.591,142.0484,118.4283
132.5601,0.050802,2.05005,-0.04609,301.5882,142.1275,118.3481
132.5651,0.050802,2.05005,-0.04609,301.5882,142.1275,118.3481
132.5683,0.050802,2.05005,-0.04609,301.5882,142.1275,118.3481
132.5725,0.050802,2.05005,-0.04609,301.5882,142.1275,118.3481
132.5759,0.050802,2.05005,-0.04609,301.5882,142.1275,118.3481
132.5803,0.050802,2.05005,-0.04609,301.591,142.0484,118.4283
132.5875,0.050802,2.05005,-0.04609,301.591,142.0484,118.4283
132.591,0.050802,2.05005,-0.04609,301.591,142.0484,118.4283
132.5944,0.050802,2.05005,-0.04609,301.591,142.0484,118.4283
132.5979,0.050802,2.05005,-0.04609,301.591,142.0484,118.4283
132.6019,0.050822,2.05005,-0.048801,301.5725,142.0253,118.4555
132.6063,0.050822,2.05005,-0.048801,301.5725,142.0253,118.4555
132.6123,0.050822,2.05005,-0.048801,301.5725,142.0253,118.4555
132.6166,0.050822,2.05005,-0.048801,301.5725,142.0253,118.4555
132.6188,0.050822,2.05005,-0.048801,301.5725,142.0253,118.4555
132.6217,0.050822,2.05005,-0.048801,301.5725,142.0253,118.4555
132.6257,0.050822,2.05005,-0.048801,301.5725,142.0253,118.4555
132.6294,0.050822,2.05005,-0.048801,301.5725,142.0253,118.4555
132.6328,0.050822,2.05005,-0.048801,301.5725,142.0253,118.4555
132.6358,0.050822,2.05005,-0.048801,301.5725,142.0253,118.4555
132.6386,0.050822,2.05005,-0.048801,301.5725,142.0253,118.4555
132.6414,0.050842,2.05005,-0.051513,301.627,142.0117,118.4745
132.6455,0.050842,2.05005,-0.051513,301.627,142.0117,118.4745
132.65,0.050842,2.05005,-0.051513,301.627,142.0117,118.4745
132.6546,0.050842,2.05005,-0.051513,301.627,142.0117,118.4745
132.6614,0.050842,2.05005,-0.051513,301.5511,142.0813,118.4024
132.666,0.050842,2.05005,-0.051513,301.5511,142.0813,118.4024
132.67,0.050842,2.05005,-0.051513,301.5511,142.0813,118.4024
132.6734,0.050842,2.05005,-0.051513,301.5511,142.0813,118.4024
132.6815,0.050842,2.05005,-0.051513,301.5511,142.0812,118.4756
132.6848,0.050842,2.05005,-0.051513,301.5511,142.0812,118.4756
132.6879,0.050842,2.05005,-0.051513,301.5511,142.0812,118.4756
132.691,0.050842,2.05005,-0.051513,301.5511,142.0812,118.4756
132.6943,0.050842,2.05005,-0.051513,301.5511,142.0812,118.4756
132.6982,0.050842,2.05005,-0.051513,301.5511,142.0812,118.4756
132.7016,0.050842,2.05005,-0.051513,301.5511,142.0812,118.4756
132.7052,0.050842,2.05005,-0.051513,301.5511,142.0812,118.4756
132.7089,0.050842,2.05005,-0.051513,301.5511,142.0812,118.4756
132.7136,0.050842,2.05005,-0.051513,301.5511,142.0812,118.4756
132.7177,0.050842,2.05005,-0.051513,301.5511,142.0812,118.4756
132.7233,0.050842,2.05005,-0.051513,301.6242,142.0908,118.3943
132.7282,0.050842,2.05005,-0.051513,301.6242,142.0908,118.3943
132.7317,0.050842,2.05005,-0.051513,301.6242,142.0908,118.3943
132.7349,0.050842,2.05005,-0.051513,301.6242,142.0908,118.3943
132.7376,0.050842,2.05005,-0.051513,301.6242,142.0908,118.3943
132.741,0.050842,2.05005,-0.051513,301.5511,142.0813,118.4024
132.752,0.050842,2.05005,-0.051513,301.5511,142.0813,118.4024
132.7545,0.050842,2.05005,-0.051513,301.5511,142.0813,118.4024
132.7583,0.050842,2.05005,-0.051513,301.5511,142.0813,118.4024
132.7614,0.050842,2.05005,-0.051513,301.5511,142.0812,118.4756
132.7654,0.050842,2.05005,-0.051513,301.5511,142.0812,118.4756
132.7684,0.050842,2.05005,-0.051513,301.5511,142.0812,118.4756
132.7722,0.050842,2.05005,-0.051513,301.5511,142.0812,118.4756
132.7753,0.050842,2.05005,-0.051513,301.5511,142.0812,118.4756
132.7795,0.050842,2.05005,-0.051513,301.5511,142.0812,118.4756
132.7841,0.050842,2.05005,-0.051513,301.5511,142.0813,118.4024
132.7911,0.050842,2.05005,-0.051513,301.5511,142.0813,118.4024
132.794,0.050842,2.05005,-0.051513,301.5511,142.0813,118.4024
132.7973,0.050842,2.05005,-0.051513,301.5511,142.0813,118.4024
132.8,0.050842,2.05005,-0.051513,301.5511,142.0812,118.4756
132.8051,0.050842,2.05005,-0.051513,301.5511,142.0812,118.4756
132.8082,0.050842,2.05005,-0.051513,301.5511,142.0812,118.4756
132.8118,0.050842,2.05005,-0.051513,301.5511,142.0812,118.4756
132.8154,0.050842,2.05005,-0.051513,301.5511,142.0812,118.4756
132.8187,0.050842,2.05005,-0.051513,301.5511,142.0812,118.4756
132.8216,0.050842,2.05005,-0.051513,301.5511,142.0813,118.4024
132.8251,0.050842,2.05005,-0.051513,301.5511,142.0813,118.4024
132.8284,0.050842,2.05005,-0.051513,301.5511,142.0813,118.4024
132.8325,0.050842,2.05005,-0.051513,301.5511,142.0813,118.4024
132.8359,0.050842,2.05005,-0.051513,301.5511,142.0813,118.4024
132.8392,0.050842,2.05005,-0.051513,301.5511,142.0813,118.4024
132.8417,0.050842,2.05005,-0.051513,301.5483,142.1604,118.3953
132.8458,0.050842,2.05005,-0.051513,301.5483,142.1604,118.3953
132.8495,0.050842,2.05005,-0.051513,301.5483,142.1604,118.3953
132.8533,0.050842,2.05005,-0.051513,301.5483,142.1604,118.3953
132.8592,0.050842,2.05005,-0.051513,301.5483,142.1604,118.3953
132.8638,0.050842,2.05005,-0.051513,301.5511,142.0812,118.4756
132.8676,0.050842,2.05005,-0.051513,301.5511,142.0812,118.4756
132.8707,0.050842,2.05005,-0.051513,301.5511,142.0812,118.4756
132.8737,0.050842,2.05005,-0.051513,301.5511,142.0812,118.4756
132.8801,0.050842,2.05005,-0.051513,301.5511,142.0812,118.4756
132.8835,0.050842,2.05005,-0.051513,301.5511,142.0812,118.4756
132.8866,0.050842,2.05005,-0.051513,301.5511,142.0812,118.4756
132.89,0.050842,2.05005,-0.051513,301.5511,142.0812,118.4756
132.8936,0.050842,2.05005,-0.051513,301.5511,142.0812,118.4756
132.8972,0.050842,2.05005,-0.051513,301.5511,142.0812,118.4756
132.9001,0.050842,2.05005,-0.051513,301.5511,142.0812,118.4756
132.9047,0.050842,2.05005,-0.051513,301.5511,142.0812,118.4756
132.908,0.050842,2.05005,-0.051513,301.5511,142.0812,118.4756
132.9123,0.050842,2.05005,-0.051513,301.5511,142.0812,118.4756
132.917,0.050842,2.05005,-0.051513,301.5511,142.0812,118.4756
132.9229,0.050842,2.05005,-0.051513,301.5511,142.0812,118.4756
132.9277,0.050842,2.05005,-0.051513,301.5511,142.0812,118.4756
132.9313,0.050842,2.05005,-0.051513,301.5511,142.0812,118.4756
132.9344,0.050842,2.05005,-0.051513,301.5511,142.0812,118.4756
132.9378,0.050842,2.05005,-0.051513,301.5511,142.0812,118.4756
132.9418,0.050822,2.05005,-0.048801,301.5697,142.1044,118.3753
132.9459,0.050822,2.05005,-0.048801,301.5697,142.1044,118.3753
132.9492,0.050822,2.05005,-0.048801,301.5697,142.1044,118.3753
132.9523,0.050822,2.05005,-0.048801,301.5697,142.1044,118.3753
132.9554,0.050822,2.05005,-0.048801,301.5697,142.1044,118.3753
132.9591,0.050822,2.05005,-0.048801,301.5697,142.1044,118.3753
132.9628,0.050802,2.05005,-0.04609,301.5697,142.1044,118.4485
132.9666,0.050802,2.05005,-0.04609,301.5697,142.1044,118.4485
132.9698,0.050802,2.05005,-0.04609,301.5697,142.1044,118.4485
132.9738,0.050802,2.05005,-0.04609,301.5697,142.1044,118.4485
132.9765,0.050802,2.05005,-0.04609,301.5697,142.1044,118.4485
132.9804,0.050802,2.05005,-0.04609,301.5882,142.1275,118.4214
132.9886,0.050802,2.05005,-0.04609,301.5882,142.1275,118.4214
132.9925,0.050802,2.05005,-0.04609,301.5882,142.1275,118.4214
132.9961,0.050802,2.05005,-0.04609,301.5882,142.1275,118.4214
132.9992,0.050802,2.05005,-0.04609,301.5882,142.1275,118.4214
133.0021,0.050802,2.05005,-0.04609,301.591,142.0484,118.4283
133.0066,0.050802,2.05005,-0.04609,301.591,142.0484,118.4283
133.0097,0.050802,2.05005,-0.04609,301.591,142.0484,118.4283
133.0132,0.050802,2.05005,-0.04609,301.591,142.0484,118.4283
133.0162,0.050802,2.05005,-0.04609,301.591,142.0484,118.4283
133.0212,0.050802,2.05005,-0.04609,301.591,142.0484,118.4283
