time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
128.9021,-3.343063,2.05005,0.044207,310.3611,148.8,113.989
128.9064,-3.343063,2.05005,0.044207,310.3611,148.8,113.989
128.9094,-3.343063,2.05005,0.044207,310.3611,148.8,113.989
128.9134,-3.343063,2.05005,0.044207,310.3611,148.8,113.989
128.9169,-3.343063,2.05005,0.044207,310.3611,148.8,113.989
128.9215,-3.343063,2.05005,0.044207,310.3813,148.6403,114.0089
128.9269,-3.343063,2.05005,0.044207,310.3813,148.6403,114.0089
128.931,-3.343063,2.05005,0.044207,310.3813,148.6403,114.0089
128.9341,-3.343063,2.05005,0.044207,310.3813,148.6403,114.0089
128.9367,-3.343063,2.05005,0.044207,310.3813,148.6403,114.0089
128.9395,-3.343063,2.05005,0.044207,310.3813,148.6403,114.0089
128.9424,-3.343063,2.05005,0.044207,310.3712,148.7201,113.999
128.9467,-3.343063,2.05005,0.044207,310.3712,148.7201,113.999
128.9497,-3.343063,2.05005,0.044207,310.3712,148.7201,113.999
128.9527,-3.343063,2.05005,0.044207,310.3712,148.7201,113.999
128.956,-3.343063,2.05005,0.044207,310.3712,148.7201,113.999
128.9623,-3.343063,2.05005,0.044207,310.2993,148.6983,113.9423
128.9669,-3.343063,2.05005,0.044207,310.2993,148.6983,113.9423
128.9686,-3.343063,2.05005,0.044207,310.2993,148.6983,113.9423
128.9713,-3.343063,2.05005,0.044207,310.2993,148.6983,113.9423
128.9743,-3.343063,2.05005,0.044207,310.2993,148.6983,113.9423
128.9785,-3.343063,2.05005,0.044207,310.2993,148.6983,113.9423
128.9827,-3.343063,2.05005,0.044207,310.2993,148.6983,113.9423
128.9886,-3.343063,2.05005,0.044207,310.2993,148.6983,113.9423
128.992,-3.343063,2.05005,0.044207,310.2993,148.6983,113.9423
128.995,-3.343063,2.05005,0.044207,310.2993,148.6983,113.9423
128.9984,-3.343063,2.05005,0.044207,310.2993,148.6983,113.9423
129.0014,-3.343063,2.05005,0.044207,310.2993,148.6984,114.0155
129.0048,-3.343063,2.05005,0.044207,310.2993,148.6984,114.0155
129.0079,-3.343063,2.05005,0.044207,310.2993,148.6983,114.0155
129.0115,-3.343063,2.05005,0.044207,310.2993,148.6983,114.0155
129.0148,-3.343063,2.05005,0.044207,310.2993,148.6983,114.0155
129.0174,-3.343063,2.05005,0.044207,310.2993,148.6983,114.0155
129.0204,-3.343063,2.05005,0.044207,310.2993,148.6983,114.0888
129.0251,-3.343063,2.05005,0.044207,310.2993,148.6983,114.0888
129.0281,-3.343063,2.05005,0.044207,310.2993,148.6983,114.0888
129.0312,-3.343063,2.05005,0.044207,310.2993,148.6983,114.0888
129.0341,-3.343063,2.05005,0.044207,310.2993,148.6983,114.0888
129.0408,-3.343063,2.05005,0.044207,310.2274,148.6765,113.9589
129.0522,-3.343063,2.05005,0.044207,310.2274,148.6765,113.9589
129.0612,-3.340279,2.05005,0.042833,310.2274,148.653,114.0322
129.0646,-3.340279,2.05005,0.042833,310.2274,148.653,114.0322
129.0675,-3.340279,2.05005,0.042833,310.2274,148.653,114.0322
129.0708,-3.340279,2.05005,0.042833,310.2274,148.653,114.0322
129.0737,-3.340279,2.05005,0.042833,310.2274,148.653,114.0322
129.0767,-3.340279,2.05005,0.042833,310.2274,148.653,114.0322
129.0808,-3.331919,2.05005,0.038718,310.2274,148.5823,114.0322
129.0853,-3.331919,2.05005,0.038718,310.2274,148.5823,114.0322
129.0888,-3.331919,2.05005,0.038718,310.2274,148.5823,114.0322
129.0916,-3.331919,2.05005,0.038718,310.2274,148.5823,114.0322
