experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,interval_time,path_number,trainee_right_stylus_movement_location_0,mentor_left_stylus_movement_location_0
guidance_experiment,juror-bc7cf78a-e2ac-43a4-aeca-7b546ddf76a7,1,1,1,1,22.24534,24.1,5,1,guidance_experiment/juror-bc7cf78a-e2ac-43a4-aeca-7b546ddf76a7/S001/trackers/trainee_right_stylus_movement_T001.csv,guidance_experiment/juror-bc7cf78a-e2ac-43a4-aeca-7b546ddf76a7/S001/trackers/mentor_left_stylus_movement_T001.csv
guidance_experiment,juror-bc7cf78a-e2ac-43a4-aeca-7b546ddf76a7,1,2,1,2,26.76478,28.36,5,1,guidance_experiment/juror-bc7cf78a-e2ac-43a4-aeca-7b546ddf76a7/S001/trackers/trainee_right_stylus_movement_T002.csv,guidance_experiment/juror-bc7cf78a-e2ac-43a4-aeca-7b546ddf76a7/S001/trackers/mentor_left_stylus_movement_T002.csv
guidance_experiment,juror-bc7cf78a-e2ac-43a4-aeca-7b546ddf76a7,1,3,2,1,30.62513,31.98,5,2,guidance_experiment/juror-bc7cf78a-e2ac-43a4-aeca-7b546ddf76a7/S001/trackers/trainee_right_stylus_movement_T003.csv,guidance_experiment/juror-bc7cf78a-e2ac-43a4-aeca-7b546ddf76a7/S001/trackers/mentor_left_stylus_movement_T003.csv
guidance_experiment,juror-bc7cf78a-e2ac-43a4-aeca-7b546ddf76a7,1,4,2,2,37.8203,39.52,5,2,guidance_experiment/juror-bc7cf78a-e2ac-43a4-aeca-7b546ddf76a7/S001/trackers/trainee_right_stylus_movement_T004.csv,guidance_experiment/juror-bc7cf78a-e2ac-43a4-aeca-7b546ddf76a7/S001/trackers/mentor_left_stylus_movement_T004.csv
guidance_experiment,juror-bc7cf78a-e2ac-43a4-aeca-7b546ddf76a7,1,5,3,1,73.84217,89.57999,6,3,guidance_experiment/juror-bc7cf78a-e2ac-43a4-aeca-7b546ddf76a7/S001/trackers/trainee_right_stylus_movement_T005.csv,guidance_experiment/juror-bc7cf78a-e2ac-43a4-aeca-7b546ddf76a7/S001/trackers/mentor_left_stylus_movement_T005.csv
guidance_experiment,juror-bc7cf78a-e2ac-43a4-aeca-7b546ddf76a7,1,6,3,2,92.00616,100.26,6,3,guidance_experiment/juror-bc7cf78a-e2ac-43a4-aeca-7b546ddf76a7/S001/trackers/trainee_right_stylus_movement_T006.csv,guidance_experiment/juror-bc7cf78a-e2ac-43a4-aeca-7b546ddf76a7/S001/trackers/mentor_left_stylus_movement_T006.csv
guidance_experiment,juror-bc7cf78a-e2ac-43a4-aeca-7b546ddf76a7,1,7,4,1,105.8617,109.68,6,1,guidance_experiment/juror-bc7cf78a-e2ac-43a4-aeca-7b546ddf76a7/S001/trackers/trainee_right_stylus_movement_T007.csv,guidance_experiment/juror-bc7cf78a-e2ac-43a4-aeca-7b546ddf76a7/S001/trackers/mentor_left_stylus_movement_T007.csv
guidance_experiment,juror-bc7cf78a-e2ac-43a4-aeca-7b546ddf76a7,1,8,4,2,111.9408,114.94,6,1,guidance_experiment/juror-bc7cf78a-e2ac-43a4-aeca-7b546ddf76a7/S001/trackers/trainee_right_stylus_movement_T008.csv,guidance_experiment/juror-bc7cf78a-e2ac-43a4-aeca-7b546ddf76a7/S001/trackers/mentor_left_stylus_movement_T008.csv
guidance_experiment,juror-bc7cf78a-e2ac-43a4-aeca-7b546ddf76a7,1,9,5,1,116.9423,118.82,7,2,guidance_experiment/juror-bc7cf78a-e2ac-43a4-aeca-7b546ddf76a7/S001/trackers/trainee_right_stylus_movement_T009.csv,guidance_experiment/juror-bc7cf78a-e2ac-43a4-aeca-7b546ddf76a7/S001/trackers/mentor_left_stylus_movement_T009.csv
guidance_experiment,juror-bc7cf78a-e2ac-43a4-aeca-7b546ddf76a7,1,10,5,2,122.4623,124.96,7,2,guidance_experiment/juror-bc7cf78a-e2ac-43a4-aeca-7b546ddf76a7/S001/trackers/trainee_right_stylus_movement_T010.csv,guidance_experiment/juror-bc7cf78a-e2ac-43a4-aeca-7b546ddf76a7/S001/trackers/mentor_left_stylus_movement_T010.csv
guidance_experiment,juror-bc7cf78a-e2ac-43a4-aeca-7b546ddf76a7,1,11,6,1,128.9021,130.54,7,3,guidance_experiment/juror-bc7cf78a-e2ac-43a4-aeca-7b546ddf76a7/S001/trackers/trainee_right_stylus_movement_T011.csv,guidance_experiment/juror-bc7cf78a-e2ac-43a4-aeca-7b546ddf76a7/S001/trackers/mentor_left_stylus_movement_T011.csv
guidance_experiment,juror-bc7cf78a-e2ac-43a4-aeca-7b546ddf76a7,1,12,6,2,132.4823,134.02,7,3
,guidance_experiment/juror-bc7cf78a-e2ac-43a4-aeca-7b546ddf76a7/S001/trackers/trainee_right_stylus_movement_T012.csv,guidance_experiment/juror-bc7cf78a-e2ac-43a4-aeca-7b546ddf76a7/S001/trackers/mentor_left_stylus_movement_T012.csv
