time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
46.80095,-3.397538,2.05005,-0.016528,349.3714,147.5165,277.9465
46.80514,-3.397538,2.05005,-0.016528,349.3714,147.5165,277.9465
46.80751,-3.397538,2.05005,-0.016528,349.3714,147.5165,277.9465
46.81063,-3.397538,2.05005,-0.016528,349.3714,147.5165,277.9465
46.81315,-3.397538,2.05005,-0.016528,349.3714,147.5165,277.9465
46.81536,-3.397538,2.05005,-0.016528,349.3714,147.5165,277.9465
46.81742,-3.397538,2.05005,-0.016528,349.3714,147.5165,277.9465
46.81978,-3.397538,2.05005,-0.016528,349.3714,147.5165,277.9465
46.82203,-3.397538,2.05005,-0.016528,349.3822,147.4431,278.0264
46.82499,-3.397538,2.05005,-0.016528,349.3822,147.4431,278.0264
46.8274,-3.397538,2.05005,-0.016528,349.3822,147.4431,278.0264
46.82969,-3.397538,2.05005,-0.016528,349.3822,147.4431,278.0264
46.83279,-3.397538,2.05005,-0.016528,349.3822,147.4431,278.0264
46.83502,-3.397538,2.05005,-0.016528,349.3822,147.4431,278.0264
46.83727,-3.397538,2.05005,-0.016528,349.3822,147.4431,278.0264
46.83958,-3.397538,2.05005,-0.016528,349.3822,147.4431,278.0264
46.84266,-3.397538,2.05005,-0.016528,349.3822,147.4431,278.0264
46.85149,-3.397538,2.05005,-0.016528,349.3822,147.4431,278.0264
46.85358,-3.397538,2.05005,-0.016528,349.3822,147.4431,278.0264
46.85599,-3.397538,2.05005,-0.016528,349.3822,147.4431,278.0264
46.85912,-3.397538,2.05005,-0.016528,349.3822,147.4431,278.0264
46.86129,-3.397538,2.05005,-0.016528,349.3822,147.4431,278.0264
46.86386,-3.397538,2.05005,-0.016528,349.3822,147.4431,278.0264
46.86605,-3.397538,2.05005,-0.016528,349.3822,147.4431,278.0264
46.86845,-3.397538,2.05005,-0.016528,349.3822,147.4431,278.0264
46.87118,-3.397538,2.05005,-0.016528,349.3822,147.4431,278.0264
46.87387,-3.397538,2.05005,-0.016528,349.3822,147.4431,278.0264
46.87647,-3.397538,2.05005,-0.016528,349.3822,147.4431,278.0264
46.87887,-3.397538,2.05005,-0.016528,349.3822,147.4431,278.0264
46.88134,-3.397538,2.05005,-0.016528,349.299,147.5054,278.0219
46.88454,-3.397538,2.05005,-0.016528,349.299,147.5054,278.0219
46.88683,-3.397538,2.05005,-0.016528,349.299,147.5054,278.0219
46.88945,-3.397538,2.05005,-0.016528,349.299,147.5054,278.0219
46.89216,-3.397538,2.05005,-0.016528,349.299,147.5054,278.0219
46.89447,-3.397538,2.05005,-0.016528,349.299,147.5054,278.0219
46.89664,-3.397538,2.05005,-0.016528,349.299,147.5054,278.0219
46.89921,-3.397538,2.05005,-0.016528,349.299,147.5054,278.0219
46.90155,-3.397538,2.05005,-0.016528,349.3714,147.5165,278.0198
46.90488,-3.397538,2.05005,-0.016528,349.3714,147.5165,278.0198
46.90715,-3.397538,2.05005,-0.016528,349.3714,147.5165,278.0198
46.90981,-3.397538,2.05005,-0.016528,349.3714,147.5165,278.0198
46.91214,-3.397538,2.05005,-0.016528,349.3714,147.5165,278.0198
46.91459,-3.397538,2.05005,-0.016528,349.3714,147.5165,278.0198
46.91698,-3.397538,2.05005,-0.016528,349.3714,147.5165,278.0198
46.91958,-3.397538,2.05005,-0.016528,349.3714,147.5165,278.0198
46.92197,-3.398729,2.05005,-0.018924,349.3702,147.4394,278.0468
46.92488,-3.398729,2.05005,-0.018924,349.3702,147.4394,278.0468
46.92709,-3.398729,2.05005,-0.018924,349.3702,147.4394,278.0468
46.92952,-3.398729,2.05005,-0.018924,349.3702,147.4394,278.0468
46.93367,-3.398729,2.05005,-0.018924,349.3702,147.4394,278.0468
46.93745,-3.398729,2.05005,-0.018924,349.3702,147.4394,278.0468
46.93929,-3.398729,2.05005,-0.018924,349.3702,147.4394,278.0468
46.94151,-3.398729,2.05005,-0.018924,349.3702,147.4394,278.0468
