time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
21.12481,12.49281,2.05005,-0.479161,309.8706,148.2514,72.13436
21.12817,12.49281,2.05005,-0.479161,309.8706,148.2514,72.13436
21.131,12.49281,2.05005,-0.479161,309.8706,148.2514,72.13436
21.13331,12.49281,2.05005,-0.479161,309.8706,148.2514,72.13436
21.13559,12.49281,2.05005,-0.479161,309.8706,148.2514,72.13436
21.13775,12.49281,2.05005,-0.479161,309.8706,148.2514,72.13436
21.13986,12.49281,2.05005,-0.479161,309.8706,148.2514,72.13436
21.14256,12.49281,2.05005,-0.479161,309.8749,148.169,72.14707
21.14522,12.49281,2.05005,-0.479161,309.8749,148.169,72.14707
21.1474,12.49281,2.05005,-0.479161,309.8749,148.169,72.14707
21.15571,12.49281,2.05005,-0.479161,309.8749,148.169,72.14707
21.1576,12.49281,2.05005,-0.479161,309.8749,148.169,72.14707
21.16024,12.49281,2.05005,-0.479161,309.8706,148.2514,72.13436
21.16417,12.49281,2.05005,-0.479161,309.8706,148.2514,72.13436
21.16634,12.49281,2.05005,-0.479161,309.8706,148.2514,72.13436
21.16852,12.49281,2.05005,-0.479161,309.8706,148.2514,72.13436
21.17098,12.49281,2.05005,-0.479161,309.8706,148.2514,72.13436
21.17335,12.49281,2.05005,-0.479161,309.8706,148.2514,72.13436
21.17584,12.49281,2.05005,-0.479161,309.8706,148.2514,72.13436
21.17825,12.49281,2.05005,-0.479161,309.8706,148.2514,72.13436
21.18054,12.48981,2.05005,-0.479363,309.8706,148.2514,72.06113
21.18406,12.48981,2.05005,-0.479363,309.8706,148.2514,72.06113
21.18638,12.48981,2.05005,-0.479363,309.8706,148.2514,72.06113
21.18873,12.48981,2.05005,-0.479363,309.8706,148.2514,72.06113
21.19112,12.48981,2.05005,-0.479363,309.8706,148.2514,72.06113
21.19374,12.48981,2.05005,-0.479363,309.8706,148.2514,72.06113
21.19611,12.48981,2.05005,-0.479363,309.8706,148.2514,72.06113
21.19828,12.48981,2.05005,-0.479363,309.8706,148.2514,72.06113
21.20058,12.48981,2.05005,-0.479363,309.8706,148.275,72.13435
21.20432,12.48981,2.05005,-0.479363,309.8706,148.275,72.13435
21.20653,12.48981,2.05005,-0.479363,309.8706,148.275,72.13435
21.20903,12.48981,2.05005,-0.479363,309.8706,148.275,72.13435
21.21144,12.48981,2.05005,-0.479363,309.8706,148.275,72.13435
21.21568,12.48981,2.05005,-0.479363,309.8706,148.275,72.13435
21.21936,12.48981,2.05005,-0.479363,309.8706,148.275,72.13435
21.22112,12.48981,2.05005,-0.479363,309.8706,148.275,72.06111
21.22435,12.48981,2.05005,-0.479363,309.8706,148.275,72.06111
21.22711,12.48981,2.05005,-0.479363,309.8706,148.275,72.06111
21.22948,12.48981,2.05005,-0.479363,309.8706,148.275,72.06111
21.23176,12.48981,2.05005,-0.479363,309.8706,148.275,72.06111
21.2339,12.48981,2.05005,-0.479363,309.8706,148.275,72.06111
21.23624,12.48981,2.05005,-0.479363,309.8706,148.275,72.06111
21.23865,12.48981,2.05005,-0.479363,309.8706,148.275,72.06111
21.24108,12.48981,2.05005,-0.479363,309.9436,148.2843,72.12721
21.24436,12.48981,2.05005,-0.479363,309.9436,148.2843,72.12721
21.24661,12.48981,2.05005,-0.479363,309.9436,148.2843,72.12721
21.24876,12.48981,2.05005,-0.479363,309.9436,148.2843,72.12721
21.25108,12.48981,2.05005,-0.479363,309.9436,148.2843,72.12721
21.25338,12.48981,2.05005,-0.479363,309.9436,148.2843,72.12721
21.25555,12.48981,2.05005,-0.479363,309.9436,148.2843,72.12721
21.25801,12.48981,2.05005,-0.479363,309.9436,148.2843,72.12721
21.26074,12.48981,2.05005,-0.479363,309.8706,148.275,72.13435
21.26442,12.48981,2.05005,-0.479363,309.8706,148.275,72.13435
21.26678,12.48981,2.05005,-0.479363,309.8706,148.275,72.13435
21.2689,12.48981,2.05005,-0.479363,309.8706,148.275,72.13435
21.27117,12.48981,2.05005,-0.479363,309.8706,148.275,72.13435
21.27386,12.48981,2.05005,-0.479363,309.8706,148.275,72.13435
21.27644,12.48981,2.05005,-0.479363,309.8706,148.275,72.13435
21.27859,12.48981,2.05005,-0.479363,309.8706,148.275,72.13435
21.28068,12.48981,2.05005,-0.479363,309.8706,148.275,72.13435
21.28416,12.48981,2.05005,-0.479363,309.8706,148.275,72.13435
21.28626,12.48981,2.05005,-0.479363,309.8706,148.275,72.13435
21.28848,12.48981,2.05005,-0.479363,309.8706,148.275,72.13435
21.29058,12.48981,2.05005,-0.479363,309.8706,148.275,72.13435
21.29308,12.48981,2.05005,-0.479363,309.8706,148.275,72.13435
21.29556,12.48981,2.05005,-0.479363,309.8706,148.275,72.13435
21.29754,12.48981,2.05005,-0.479363,309.8706,148.275,72.13435
21.29998,12.48981,2.05005,-0.479363,309.8706,148.275,72.13435
21.30191,12.48981,2.05005,-0.479363,309.9436,148.2843,72.12721
21.30448,12.48981,2.05005,-0.479363,309.9436,148.2843,72.12721
21.30663,12.48981,2.05005,-0.479363,309.9436,148.2843,72.12721
21.3089,12.48981,2.05005,-0.479363,309.9436,148.2843,72.12721
21.3117,12.48981,2.05005,-0.479363,309.9436,148.2843,72.12721
21.31406,12.48981,2.05005,-0.479363,309.9436,148.2843,72.12721
21.3159,12.48981,2.05005,-0.479363,309.9436,148.2843,72.12721
21.31799,12.48981,2.05005,-0.479363,309.9436,148.2843,72.12721
21.3203,12.48981,2.05005,-0.479363,309.9436,148.2843,72.05399
21.32392,12.48981,2.05005,-0.479363,309.9436,148.2843,72.05399
21.32639,12.48981,2.05005,-0.479363,309.9436,148.2843,72.05399
21.32888,12.48981,2.05005,-0.479363,309.9436,148.2843,72.05399
21.33133,12.48981,2.05005,-0.479363,309.9436,148.2843,72.05399
21.33341,12.48981,2.05005,-0.479363,309.9436,148.2843,72.05399
21.3357,12.48981,2.05005,-0.479363,309.9436,148.2843,72.05399
21.33792,12.48981,2.05005,-0.479363,309.9436,148.2843,72.05399
21.33994,12.48981,2.05005,-0.479363,309.9436,148.2843,72.05399
21.34201,12.48981,2.05005,-0.479363,309.9393,148.3667,72.11453
21.34496,12.48981,2.05005,-0.479363,309.9393,148.3667,72.11453
21.34723,12.48981,2.05005,-0.479363,309.9393,148.3667,72.11453
21.34963,12.48981,2.05005,-0.479363,309.9393,148.3667,72.11453
21.35179,12.48981,2.05005,-0.479363,309.9393,148.3667,72.11453
21.35373,12.48981,2.05005,-0.479363,309.9393,148.3667,72.11453
21.35608,12.48981,2.05005,-0.479363,309.9393,148.3667,72.11453
21.35832,12.48981,2.05005,-0.479363,309.9393,148.3667,72.11453
21.36075,12.49277,2.05005,-0.47851,309.9436,148.2607,72.12724
