time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
32.77906,-3.406294,1.81957,-0.020027,315.3582,151.811,67.94186
32.78324,-3.405999,1.822209,-0.019436,315.3477,151.8905,67.93138
32.78696,-3.406,1.822209,-0.019436,315.3477,151.8905,67.93138
32.78991,-3.405999,1.822209,-0.019436,315.3477,151.8905,67.93138
32.79297,-3.406,1.822209,-0.019436,315.3477,151.8905,67.93138
32.79606,-3.405999,1.822209,-0.019436,315.3477,151.8905,67.93138
32.80018,-3.407192,1.822687,-0.02183,315.3447,151.7922,67.96862
32.80452,-3.407192,1.822687,-0.02183,315.3447,151.7922,67.96862
32.80748,-3.407192,1.822687,-0.02183,315.3447,151.7922,67.96862
32.81109,-3.407192,1.822687,-0.02183,315.3447,151.7922,67.96862
32.81796,-3.407192,1.822687,-0.02183,315.3447,151.7922,67.96862
32.82077,-3.40809,1.825804,-0.023632,315.4033,151.7922,67.98215
32.82474,-3.40809,1.825804,-0.023632,315.4033,151.7922,67.98215
32.8276,-3.40809,1.825804,-0.023632,315.4033,151.7922,67.98215
32.83128,-3.40809,1.825804,-0.023632,315.4033,151.7922,67.98215
32.83476,-3.40809,1.825804,-0.023632,315.4033,151.7922,67.98215
32.83809,-3.40809,1.825804,-0.023632,315.4033,151.7922,67.98215
32.84139,-3.412859,1.827729,-0.033206,315.3493,151.717,68.08928
32.84533,-3.412859,1.827729,-0.033206,315.3493,151.717,68.08928
32.84909,-3.412859,1.827729,-0.033206,315.3493,151.717,68.08928
32.85234,-3.412859,1.827729,-0.033206,315.3493,151.717,68.08928
32.85521,-3.412859,1.827729,-0.033206,315.3493,151.717,68.08928
32.85815,-3.412859,1.827729,-0.033206,315.3493,151.717,68.08928
32.86189,-3.41614,1.831823,-0.039792,315.2982,151.7399,68.08587
32.86592,-3.41614,1.831823,-0.039792,315.2982,151.7399,68.08587
32.86902,-3.41614,1.831823,-0.039792,315.2982,151.7399,68.08587
32.87214,-3.41614,1.831823,-0.039792,315.2982,151.7399,68.08587
32.87503,-3.41614,1.831823,-0.039792,315.2982,151.7399,68.08587
32.87837,-3.41614,1.831823,-0.039792,315.2982,151.7399,68.08587
32.88201,-3.420315,1.839056,-0.048172,315.3271,151.6042,68.1171
32.88578,-3.420315,1.839056,-0.048172,315.3271,151.6042,68.1171
32.88905,-3.420315,1.839056,-0.048172,315.3271,151.6042,68.1171
32.89232,-3.420315,1.839056,-0.048172,315.3271,151.6042,68.1171
32.89521,-3.420315,1.839056,-0.048172,315.3271,151.6042,68.1171
32.89862,-3.420315,1.839056,-0.048172,315.3271,151.6042,68.1171
