time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
32.77906,2.618513,2.05005,-0.583483,35.47424,175.8504,6.368961
32.78324,2.618513,2.05005,-0.583483,35.47424,175.8504,6.295714
32.78696,2.618513,2.05005,-0.583483,35.47424,175.8504,6.295714
32.78991,2.618513,2.05005,-0.583483,35.47424,175.8504,6.295714
32.79297,2.618513,2.05005,-0.583483,35.47424,175.8504,6.295714
32.79606,2.618513,2.05005,-0.583483,35.47424,175.8504,6.295714
32.80018,2.618513,2.05005,-0.583483,35.40123,175.8577,6.299982
32.80452,2.618513,2.05005,-0.583483,35.40123,175.8577,6.299982
32.80748,2.618513,2.05005,-0.583483,35.40123,175.8577,6.299982
32.81109,2.618513,2.05005,-0.583483,35.40123,175.8577,6.299982
32.81796,2.618513,2.05005,-0.583483,35.40123,175.8577,6.299982
32.82077,2.618513,2.05005,-0.583483,35.47016,175.7894,6.387242
32.82474,2.618513,2.05005,-0.583483,35.47016,175.7894,6.387242
32.8276,2.618513,2.05005,-0.583483,35.47016,175.7894,6.387242
32.83128,2.618513,2.05005,-0.583483,35.47016,175.7894,6.387242
32.83476,2.618513,2.05005,-0.583483,35.47016,175.7894,6.387242
32.83809,2.618513,2.05005,-0.583483,35.47016,175.7894,6.387242
32.84139,2.618513,2.05005,-0.583483,35.47016,175.7894,6.387242
32.84533,2.618513,2.05005,-0.583483,35.47016,175.7894,6.387242
32.84909,2.618513,2.05005,-0.583483,35.47016,175.7894,6.387242
32.85234,2.618513,2.05005,-0.583483,35.47016,175.7894,6.387242
32.85521,2.618513,2.05005,-0.583483,35.47016,175.7894,6.387242
32.85815,2.618513,2.05005,-0.583483,35.47016,175.7894,6.387242
32.86189,2.618513,2.05005,-0.583483,35.40123,175.8577,6.299982
32.86592,2.618513,2.05005,-0.583483,35.40123,175.8577,6.299982
32.86902,2.618513,2.05005,-0.583483,35.40123,175.8577,6.299982
32.87214,2.618513,2.05005,-0.583483,35.40123,175.8577,6.299982
32.87503,2.618513,2.05005,-0.583483,35.40123,175.8577,6.299982
32.87837,2.618513,2.05005,-0.583483,35.40123,175.8577,6.299982
32.88201,2.618513,2.05005,-0.583483,35.47017,175.7894,6.313995
32.88578,2.618513,2.05005,-0.583483,35.47017,175.7894,6.313995
