time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
45.40509,0,1.244464,2.80571,335.6389,180.0515,210.1732
45.40959,0,1.244464,2.80571,335.6389,180.0515,210.1732
45.41376,0,1.244464,2.80571,335.6389,180.0515,210.1732
45.41799,0,1.244464,2.80571,335.6389,180.0515,210.1732
45.42204,0,1.244464,2.80571,335.6389,180.0515,210.1732
45.42631,0,1.244464,2.80571,335.6389,180.0515,210.1732
45.42992,0,1.244464,2.80571,335.6389,180.0515,210.1732
45.43473,0,1.244464,2.80571,335.6389,180.0515,210.1732
45.43925,0,1.244464,2.80571,335.6389,180.0515,210.1732
45.44939,0,1.244464,2.80571,335.5656,180.0514,210.1733
45.45676,0,1.244464,2.80571,335.5656,180.0514,210.1733
45.4604,0,1.244464,2.80571,335.6389,180.0515,210.1732
45.46553,0,1.244464,2.80571,335.6389,180.0515,210.1732
45.46955,0,1.244464,2.80571,335.6389,180.0515,210.1732
45.47297,0,1.244464,2.80571,335.6389,180.0515,210.1732
45.47648,0,1.244464,2.80571,335.6389,180.0515,210.1732
45.48067,0,1.244464,2.80571,335.6389,180.0515,210.1732
45.48595,0,1.244464,2.80571,335.6389,180.0515,210.1732
45.48973,0,1.244464,2.80571,335.6389,180.0515,210.1732
45.49364,0,1.244464,2.80571,335.6389,180.0515,210.1732
45.49757,0,1.244464,2.80571,335.6389,180.0515,210.1732
45.50179,0,1.244464,2.80571,335.6389,180.0515,210.1732
45.50662,0,1.244464,2.80571,335.6389,180.0515,210.1732
45.51091,0,1.244464,2.80571,335.6389,180.0515,210.1732
45.51435,0,1.244464,2.80571,335.6389,180.0515,210.1732
45.52262,0,1.244464,2.80571,335.6389,180.0515,210.1732
45.52832,0,1.244464,2.80571,335.6389,180.0515,210.1732
45.53177,0,1.244464,2.80571,335.6389,180.0515,210.1732
45.53677,0,1.244464,2.80571,335.6389,180.0515,210.1732
45.54147,0,1.244465,2.80571,335.5656,180.0514,210.1733
45.54711,0,1.244465,2.80571,335.5656,180.0514,210.1733
45.55122,0,1.244465,2.80571,335.5656,180.0514,210.1733
45.55545,0,1.244465,2.80571,335.5656,180.0514,210.1733
45.56001,0,1.244464,2.80571,335.6389,180.0515,210.1732
45.56514,0,1.244464,2.80571,335.6389,180.0515,210.1732
45.56963,0,1.244464,2.80571,335.6389,180.0515,210.1732
45.57377,0,1.244464,2.80571,335.6389,180.0515,210.1732
45.57836,0,1.244464,2.80571,335.6389,180.0515,210.1732
45.58191,0,1.244464,2.80571,335.6389,180.0515,210.1732
45.58663,0,1.244464,2.80571,335.6389,180.0515,210.1732
45.59048,0,1.244464,2.80571,335.6389,180.0515,210.1732
