time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
45.40509,0.069127,2.05005,-1.587898,318.5689,131.0096,229.9048
45.40959,0.069127,2.05005,-1.587899,318.5689,131.0096,229.9048
45.41376,0.069127,2.05005,-1.587899,318.5689,131.0096,229.9048
45.41799,0.069127,2.05005,-1.587899,318.5689,131.0096,229.9048
45.42204,0.069106,2.05005,-1.585334,318.6547,131.0521,229.7903
45.42631,0.069106,2.05005,-1.585334,318.6547,131.0521,229.7903
45.42992,0.069106,2.05005,-1.585334,318.6547,131.0521,229.7903
45.43473,0.069106,2.05005,-1.585334,318.6547,131.0521,229.7903
45.43925,0.069106,2.05005,-1.585334,318.6547,131.0521,229.7903
45.44939,0.069085,2.05005,-1.582768,318.6882,130.9843,229.8615
45.45676,0.069085,2.05005,-1.582768,318.6882,130.9843,229.8615
45.4604,0.069085,2.05005,-1.582768,318.5998,131.0404,229.8581
45.46553,0.069085,2.05005,-1.582768,318.5998,131.0404,229.8581
45.46955,0.069085,2.05005,-1.582768,318.5998,131.0404,229.8581
45.47297,0.069085,2.05005,-1.582768,318.5998,131.0404,229.8581
45.47648,0.069085,2.05005,-1.582768,318.5998,131.0404,229.8581
45.48067,0.065631,2.05005,-1.582796,318.6702,131.0911,229.767
45.48595,0.065631,2.05005,-1.582796,318.6702,131.0911,229.767
45.48973,0.065631,2.05005,-1.582796,318.6702,131.0911,229.767
45.49364,0.065631,2.05005,-1.582796,318.6702,131.0911,229.767
45.49757,0.065631,2.05005,-1.582796,318.6702,131.0911,229.767
45.50179,0.062177,2.05005,-1.582822,318.6702,131.0911,229.8402
45.50662,0.062177,2.05005,-1.582822,318.6702,131.0911,229.8402
45.51091,0.062177,2.05005,-1.582822,318.6702,131.0911,229.8402
45.51435,0.062177,2.05005,-1.582822,318.6702,131.0911,229.8402
45.52262,0.062158,2.05005,-1.580257,318.6857,131.13,229.7437
45.52832,0.062158,2.05005,-1.580257,318.6857,131.13,229.7437
45.53177,0.062158,2.05005,-1.580257,318.6857,131.13,229.7437
45.53677,0.062158,2.05005,-1.580257,318.6857,131.13,229.7437
45.54147,0.062158,2.05005,-1.580257,318.6153,131.1029,229.8348
45.54711,0.062158,2.05005,-1.580257,318.6153,131.1029,229.8348
45.55122,0.062158,2.05005,-1.580257,318.6153,131.1029,229.8348
45.55545,0.062158,2.05005,-1.580257,318.6153,131.1029,229.8348
45.56001,0.06212,2.05005,-1.575124,318.7011,131.1453,229.7204
45.56514,0.06212,2.05005,-1.575124,318.7011,131.1453,229.7204
45.56963,0.06212,2.05005,-1.575124,318.7011,131.1453,229.7204
45.57377,0.06212,2.05005,-1.575124,318.7011,131.1453,229.7204
45.57836,0.06212,2.05005,-1.575124,318.7011,131.1453,229.7204
45.58191,0.062101,2.05005,-1.572558,318.7142,131.2592,229.726
45.58663,0.062101,2.05005,-1.572557,318.7142,131.2592,229.726
45.59048,0.062101,2.05005,-1.572558,318.7142,131.2592,229.726
45.59524,0.062101,2.05005,-1.572558,318.7142,131.2592,229.726
45.59944,0.062101,2.05005,-1.572558,318.7142,131.2592,229.726
45.60436,0.062063,2.05005,-1.567423,318.6749,131.263,229.6241
45.6092,0.062063,2.05005,-1.567423,318.6749,131.263,229.6241
45.61305,0.062063,2.05005,-1.567423,318.6749,131.263,229.6241
45.617,0.062063,2.05005,-1.567423,318.6749,131.263,229.6241
45.62117,0.058597,2.05005,-1.56488,318.7608,131.3286,229.6564
45.62561,0.058597,2.05005,-1.56488,318.7608,131.3286,229.6564
45.62951,0.058597,2.05005,-1.56488,318.7608,131.3286,229.6564
45.63363,0.058597,2.05005,-1.56488,318.7608,131.3286,229.6564
45.63774,0.058597,2.05005,-1.56488,318.7608,131.3286,229.6564
45.64109,0.055116,2.05005,-1.559766,318.7215,131.3561,229.5545
45.64559,0.055116,2.05005,-1.559766,318.7215,131.3561,229.5545
45.64958,0.055116,2.05005,-1.559766,318.7215,131.3561,229.5545
45.65441,0.055116,2.05005,-1.559766,318.7215,131.3561,229.5545
45.65798,0.055116,2.05005,-1.559766,318.7215,131.3561,229.5545
45.66142,0.044727,2.05005,-1.54955,318.8014,131.3811,229.5561
45.66639,0.044727,2.05005,-1.54955,318.8014,131.3811,229.5561
45.67041,0.044727,2.05005,-1.54955,318.8014,131.3811,229.5561
45.67389,0.044727,2.05005,-1.54955,318.8014,131.3811,229.5561
45.67706,0.044727,2.05005,-1.54955,318.8014,131.3811,229.5561
