experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,interval_time,path_number,trainee_right_stylus_movement_location_0,mentor_left_stylus_movement_location_0
guidance_experiment,mardi-0ea2e71a-1879-46de-8acb-ee9fdd5c0b30,1,1,1,1,9.11055,15.88,5,1,guidance_experiment/mardi-0ea2e71a-1879-46de-8acb-ee9fdd5c0b30/S001/trackers/trainee_right_stylus_movement_T001.csv,guidance_experiment/mardi-0ea2e71a-1879-46de-8acb-ee9fdd5c0b30/S001/trackers/mentor_left_stylus_movement_T001.csv
guidance_experiment,mardi-0ea2e71a-1879-46de-8acb-ee9fdd5c0b30,1,2,1,2,19.46493,20.54,5,1,guidance_experiment/mardi-0ea2e71a-1879-46de-8acb-ee9fdd5c0b30/S001/trackers/trainee_right_stylus_movement_T002.csv,guidance_experiment/mardi-0ea2e71a-1879-46de-8acb-ee9fdd5c0b30/S001/trackers/mentor_left_stylus_movement_T002.csv
guidance_experiment,mardi-0ea2e71a-1879-46de-8acb-ee9fdd5c0b30,1,3,2,1,21.96714,22.78,5,2,guidance_experiment/mardi-0ea2e71a-1879-46de-8acb-ee9fdd5c0b30/S001/trackers/trainee_right_stylus_movement_T003.csv,guidance_experiment/mardi-0ea2e71a-1879-46de-8acb-ee9fdd5c0b30/S001/trackers/mentor_left_stylus_movement_T003.csv
guidance_experiment,mardi-0ea2e71a-1879-46de-8acb-ee9fdd5c0b30,1,4,2,2,24.40471,25.04,5,2,guidance_experiment/mardi-0ea2e71a-1879-46de-8acb-ee9fdd5c0b30/S001/trackers/trainee_right_stylus_movement_T004.csv,guidance_experiment/mardi-0ea2e71a-1879-46de-8acb-ee9fdd5c0b30/S001/trackers/mentor_left_stylus_movement_T004.csv
guidance_experiment,mardi-0ea2e71a-1879-46de-8acb-ee9fdd5c0b30,1,5,3,1,26.24254,27.04,6,3,guidance_experiment/mardi-0ea2e71a-1879-46de-8acb-ee9fdd5c0b30/S001/trackers/trainee_right_stylus_movement_T005.csv,guidance_experiment/mardi-0ea2e71a-1879-46de-8acb-ee9fdd5c0b30/S001/trackers/mentor_left_stylus_movement_T005.csv
guidance_experiment,mardi-0ea2e71a-1879-46de-8acb-ee9fdd5c0b30,1,6,3,2,28.42444,29.44,6,3,guidance_experiment/mardi-0ea2e71a-1879-46de-8acb-ee9fdd5c0b30/S001/trackers/trainee_right_stylus_movement_T006.csv,guidance_experiment/mardi-0ea2e71a-1879-46de-8acb-ee9fdd5c0b30/S001/trackers/mentor_left_stylus_movement_T006.csv
guidance_experiment,mardi-0ea2e71a-1879-46de-8acb-ee9fdd5c0b30,1,7,4,1,31.02722,33.94,6,1,guidance_experiment/mardi-0ea2e71a-1879-46de-8acb-ee9fdd5c0b30/S001/trackers/trainee_right_stylus_movement_T007.csv,guidance_experiment/mardi-0ea2e71a-1879-46de-8acb-ee9fdd5c0b30/S001/trackers/mentor_left_stylus_movement_T007.csv
guidance_experiment,mardi-0ea2e71a-1879-46de-8acb-ee9fdd5c0b30,1,8,4,2,36.06714,38.62,6,1,guidance_experiment/mardi-0ea2e71a-1879-46de-8acb-ee9fdd5c0b30/S001/trackers/trainee_right_stylus_movement_T008.csv,guidance_experiment/mardi-0ea2e71a-1879-46de-8acb-ee9fdd5c0b30/S001/trackers/mentor_left_stylus_movement_T008.csv
guidance_experiment,mardi-0ea2e71a-1879-46de-8acb-ee9fdd5c0b30,1,9,5,1,40.22581,41.68,7,2,guidance_experiment/mardi-0ea2e71a-1879-46de-8acb-ee9fdd5c0b30/S001/trackers/trainee_right_stylus_movement_T009.csv,guidance_experiment/mardi-0ea2e71a-1879-46de-8acb-ee9fdd5c0b30/S001/trackers/mentor_left_stylus_movement_T009.csv
guidance_experiment,mardi-0ea2e71a-1879-46de-8acb-ee9fdd5c0b30,1,10,5,2,42.98117,44,7,2,guidance_experiment/mardi-0ea2e71a-1879-46de-8acb-ee9fdd5c0b30/S001/trackers/trainee_right_stylus_movement_T010.csv,guidance_experiment/mardi-0ea2e71a-1879-46de-8acb-ee9fdd5c0b30/S001/trackers/mentor_left_stylus_movement_T010.csv
guidance_experiment,mardi-0ea2e71a-1879-46de-8acb-ee9fdd5c0b30,1,11,6,1,45.40509,47.2,7,3,guidance_experiment/mardi-0ea2e71a-1879-46de-8acb-ee9fdd5c0b30/S001/trackers/trainee_right_stylus_movement_T011.csv,guidance_experiment/mardi-0ea2e71a-1879-46de-8acb-ee9fdd5c0b30/S001/trackers/mentor_left_stylus_movement_T011.csv
guidance_experiment,mardi-0ea2e71a-1879-46de-8acb-ee9fdd5c0b30,1,12,6,2,48.60901,49.08,7,3
,guidance_experiment/mardi-0ea2e71a-1879-46de-8acb-ee9fdd5c0b30/S001/trackers/trainee_right_stylus_movement_T012.csv,guidance_experiment/mardi-0ea2e71a-1879-46de-8acb-ee9fdd5c0b30/S001/trackers/mentor_left_stylus_movement_T012.csv
