time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
51.147,1.578518,2.05005,-0.767254,308.5091,134.5001,286.2932
51.15289,1.578518,2.05005,-0.767254,308.5091,134.5001,286.2932
51.15797,1.578518,2.05005,-0.767254,308.5091,134.5001,286.2932
51.16332,1.578518,2.05005,-0.767254,308.5091,134.5001,286.2932
51.1692,1.578518,2.05005,-0.767254,308.5091,134.5001,286.2932
51.17323,1.578518,2.05005,-0.767254,308.5091,134.5001,286.2932
51.1789,1.578518,2.05005,-0.767254,308.5091,134.5001,286.2932
51.1839,1.578518,2.05005,-0.767254,308.5091,134.5001,286.2932
51.18967,1.578518,2.05005,-0.767254,308.5091,134.5001,286.2932
51.19545,1.578518,2.05005,-0.767254,308.5091,134.5001,286.2932
51.20044,1.578518,2.05005,-0.767254,308.519,134.4104,286.317
51.20636,1.578518,2.05005,-0.767254,308.519,134.4104,286.317
51.21706,1.578518,2.05005,-0.767254,308.519,134.4104,286.317
51.22087,1.578518,2.05005,-0.767254,308.519,134.4104,286.317
51.22702,1.578518,2.05005,-0.767254,308.519,134.4104,286.317
51.24047,1.578518,2.05005,-0.767254,308.519,134.4104,286.317
51.2479,1.578518,2.05005,-0.767254,308.519,134.4104,286.317
51.25277,1.578518,2.05005,-0.767254,308.519,134.4104,286.317
51.25734,1.578518,2.05005,-0.767254,308.519,134.4104,286.317
51.26201,1.578518,2.05005,-0.767254,308.5091,134.5001,286.2932
51.26826,1.578518,2.05005,-0.767254,308.5091,134.5001,286.2932
51.2729,1.578518,2.05005,-0.767254,308.5091,134.5001,286.2932
51.27763,1.578518,2.05005,-0.767254,308.5091,134.5001,286.2932
51.28189,1.578518,2.05005,-0.767254,308.5091,134.5001,286.2199
51.28857,1.578518,2.05005,-0.767254,308.5091,134.5001,286.2199
51.29388,1.578518,2.05005,-0.767254,308.5091,134.5001,286.2199
51.29888,1.578518,2.05005,-0.767254,308.5091,134.5001,286.2199
51.30378,1.578518,2.05005,-0.767254,308.519,134.4104,286.317
51.3103,1.578518,2.05005,-0.767254,308.519,134.4104,286.317
51.31557,1.578518,2.05005,-0.767254,308.519,134.4104,286.317
51.32054,1.578518,2.05005,-0.767254,308.519,134.4104,286.317
51.32613,1.578518,2.05005,-0.767254,308.519,134.4104,286.317
51.33193,1.578518,2.05005,-0.767254,308.519,134.4104,286.317
51.33596,1.578518,2.05005,-0.767254,308.519,134.4104,286.317
51.34047,1.578518,2.05005,-0.767254,308.519,134.4104,286.317
51.34649,1.578518,2.05005,-0.767254,308.519,134.4104,286.317
51.35106,1.578518,2.05005,-0.767254,308.519,134.4104,286.317
51.35538,1.578518,2.05005,-0.767254,308.519,134.4104,286.317
51.36029,1.578518,2.05005,-0.767254,308.519,134.4104,286.317
51.36695,1.578518,2.05005,-0.767254,308.519,134.4104,286.317
51.37149,1.578518,2.05005,-0.767254,308.519,134.4104,286.317
51.37758,1.578518,2.05005,-0.767254,308.519,134.4104,286.317
51.38196,1.578518,2.05005,-0.767254,308.529,134.3207,286.3408
51.38715,1.578518,2.05005,-0.767254,308.529,134.3207,286.3408
51.39193,1.578518,2.05005,-0.767254,308.529,134.3207,286.3408
51.3973,1.578518,2.05005,-0.767254,308.529,134.3207,286.3408
51.4019,1.578518,2.05005,-0.767254,308.529,134.3207,286.3408
51.40709,1.578518,2.05005,-0.767254,308.529,134.3207,286.3408
51.41626,1.578518,2.05005,-0.767254,308.529,134.3207,286.3408
51.42,1.578518,2.05005,-0.767254,308.529,134.3207,286.3408
51.42479,1.578518,2.05005,-0.767254,308.529,134.3207,286.3408
51.43152,1.578518,2.05005,-0.767254,308.529,134.3207,286.3408
51.43567,1.578518,2.05005,-0.767254,308.529,134.3207,286.3408
51.44052,1.578518,2.05005,-0.767254,308.529,134.3207,286.4141
51.44697,1.578518,2.05005,-0.767254,308.529,134.3207,286.4141
51.45143,1.578518,2.05005,-0.767254,308.529,134.3207,286.4141
51.45723,1.578518,2.05005,-0.767254,308.529,134.3207,286.4141
51.46215,1.578518,2.05005,-0.767254,308.529,134.3207,286.3408
51.46865,1.578518,2.05005,-0.767254,308.529,134.3207,286.3408
51.47379,1.578518,2.05005,-0.767254,308.529,134.3207,286.3408
51.47917,1.578518,2.05005,-0.767254,308.529,134.3207,286.3408
51.48381,1.578518,2.05005,-0.767254,308.529,134.3207,286.3408
51.48959,1.578518,2.05005,-0.767254,308.529,134.3207,286.3408
51.49463,1.578518,2.05005,-0.767254,308.529,134.3207,286.3408
51.49806,1.578518,2.05005,-0.767254,308.529,134.3207,286.3408
51.5027,1.579055,2.05005,-0.769833,308.529,134.3207,286.3408
51.5097,1.579055,2.05005,-0.769833,308.529,134.3207,286.3408
51.51498,1.579055,2.05005,-0.769833,308.529,134.3207,286.3408
51.52051,1.579055,2.05005,-0.769833,308.5096,134.3044,286.3618
51.52619,1.579055,2.05005,-0.769833,308.5096,134.3044,286.3618
51.53117,1.579055,2.05005,-0.769833,308.5096,134.3044,286.3618
51.53645,1.579055,2.05005,-0.769833,308.5096,134.3044,286.3618
51.5406,1.579055,2.05005,-0.769833,308.5096,134.3044,286.3618
51.54683,1.579055,2.05005,-0.769833,308.5096,134.3044,286.3618
51.55141,1.579055,2.05005,-0.769833,308.5096,134.3044,286.3618
51.55618,1.579055,2.05005,-0.769833,308.5096,134.3044,286.3618
51.56117,1.579055,2.05005,-0.769833,308.4996,134.3941,286.3379
51.5672,1.579055,2.05005,-0.769833,308.4996,134.3941,286.3379
51.57166,1.579055,2.05005,-0.769833,308.4996,134.3941,286.3379
51.57632,1.579055,2.05005,-0.769833,308.4996,134.3941,286.3379
51.58137,1.579055,2.05005,-0.769833,308.5717,134.4147,286.3217
51.58705,1.579055,2.05005,-0.769833,308.5717,134.4147,286.3217
51.59128,1.579055,2.05005,-0.769833,308.5717,134.4147,286.3217
51.59523,1.579055,2.05005,-0.769833,308.5717,134.4147,286.3217
51.60037,1.575935,2.05005,-0.770482,308.4996,134.4176,286.3379
51.6054,1.575935,2.05005,-0.770482,308.4996,134.4176,286.3379
51.61027,1.575935,2.05005,-0.770482,308.4996,134.4176,286.3379
