time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
55.16807,-3.455024,2.05005,-0.039955,358.605,138.5788,249.5172
55.17501,-3.455024,2.05005,-0.039955,358.605,138.5788,249.5172
55.18066,-3.455024,2.05005,-0.039955,358.6764,138.595,249.5168
55.1873,-3.455025,2.05005,-0.039955,358.6764,138.595,249.5168
55.1931,-3.455024,2.05005,-0.039955,358.6764,138.595,249.5168
55.20193,-3.457844,2.05005,-0.038533,358.6925,138.5236,249.5233
55.21651,-3.457844,2.05005,-0.038533,358.6925,138.5236,249.5233
55.22417,-3.457844,2.05005,-0.038533,358.7479,138.6346,249.5165
55.2339,-3.457844,2.05005,-0.038533,358.7479,138.6346,249.5165
55.23955,-3.457844,2.05005,-0.038533,358.7479,138.6346,249.5165
55.2453,-3.457844,2.05005,-0.038533,358.7639,138.5633,249.5962
55.25171,-3.457844,2.05005,-0.038533,358.7639,138.5633,249.5962
55.25673,-3.457844,2.05005,-0.038533,358.7639,138.5633,249.5962
55.26764,-3.458337,2.05005,-0.039512,358.7479,138.6346,249.5165
55.27483,-3.458338,2.05005,-0.039512,358.7479,138.6346,249.5165
55.28176,-3.458338,2.05005,-0.039512,358.8354,138.5794,249.5226
55.28814,-3.458338,2.05005,-0.039512,358.8354,138.5794,249.5226
55.29329,-3.458337,2.05005,-0.039512,358.8354,138.5794,249.5226
55.3007,-3.458831,2.05005,-0.04049,358.8193,138.6507,249.5161
55.31091,-3.458831,2.05005,-0.04049,358.8193,138.6507,249.5161
55.31563,-3.458831,2.05005,-0.04049,358.8193,138.6507,249.5161
55.32001,-3.458831,2.05005,-0.04049,358.8908,138.6669,249.5158
55.32519,-3.45883,2.05005,-0.04049,358.8908,138.6669,249.5158
55.33007,-3.458831,2.05005,-0.04049,358.8908,138.6669,249.5158
55.33442,-3.458831,2.05005,-0.04049,358.8908,138.6669,249.5158
55.33836,-3.458831,2.05005,-0.04049,358.8908,138.6669,249.5158
55.34315,-3.45883,2.05005,-0.04049,358.8747,138.7381,249.5826
55.34982,-3.458831,2.05005,-0.04049,358.8747,138.7381,249.5826
