time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
10.00383,-3.413544,2.05005,-0.120142,313.8832,142.606,239.4126
10.01397,-3.413544,2.05005,-0.120142,313.8832,142.606,239.4126
10.02134,-3.412378,2.05005,-0.117772,313.8231,142.5993,239.403
10.02716,-3.412378,2.05005,-0.117772,313.8231,142.5993,239.403
10.03228,-3.412378,2.05005,-0.117772,313.8231,142.5993,239.403
10.03957,-3.412378,2.05005,-0.117772,313.8231,142.5993,239.403
10.04392,-3.412378,2.05005,-0.117772,313.8077,142.6784,239.3919
10.04949,-3.412378,2.05005,-0.117772,313.8077,142.6784,239.3919
10.0541,-3.412378,2.05005,-0.117772,313.8077,142.6784,239.3919
10.05894,-3.412378,2.05005,-0.117772,313.8077,142.6784,239.3919
10.06477,-3.411212,2.05005,-0.115402,313.8887,142.7286,239.3413
10.07064,-3.411212,2.05005,-0.115402,313.8887,142.7286,239.3413
10.07655,-3.411212,2.05005,-0.115402,313.8887,142.7286,239.3413
10.08227,-3.411212,2.05005,-0.115402,313.7876,142.8586,239.3397
10.08717,-3.411212,2.05005,-0.115402,313.7876,142.8586,239.3397
10.09262,-3.411212,2.05005,-0.115402,313.7876,142.8586,239.3397
10.09829,-3.411212,2.05005,-0.115402,313.7876,142.8586,239.3397
10.10921,-3.411211,2.05005,-0.115402,313.7723,142.9378,239.3286
10.1158,-3.411212,2.05005,-0.115402,313.7723,142.9378,239.3286
10.12026,-3.40836,2.05005,-0.116804,313.7723,142.9143,239.3286
10.12598,-3.40836,2.05005,-0.116804,313.7723,142.9143,239.3286
10.13132,-3.408361,2.05005,-0.116804,313.7723,142.9143,239.3286
10.13612,-3.408361,2.05005,-0.116804,313.7723,142.9143,239.3286
10.14142,-3.402657,2.05005,-0.119605,313.7723,142.8672,239.3286
10.14672,-3.402657,2.05005,-0.119605,313.7723,142.8672,239.3286
10.15148,-3.402657,2.05005,-0.119605,313.7723,142.8672,239.3286
10.15642,-3.402657,2.05005,-0.119605,313.7723,142.8672,239.3286
10.16165,-3.39695,2.05005,-0.122401,313.8428,142.8484,239.3081
10.16629,-3.39695,2.05005,-0.122401,313.8428,142.8484,239.3081
10.17088,-3.39695,2.05005,-0.122401,313.8428,142.8484,239.3081
10.17525,-3.39695,2.05005,-0.122401,313.8428,142.8484,239.3081
10.18047,-3.391242,2.05005,-0.125192,313.8428,142.8013,239.3081
10.18657,-3.391242,2.05005,-0.125192,313.8428,142.8013,239.3081
10.19152,-3.391242,2.05005,-0.125192,313.8428,142.8013,239.3081
10.19608,-3.391242,2.05005,-0.125192,313.8428,142.8013,239.3081
10.20116,-3.384373,2.05005,-0.125604,313.8686,142.6967,239.3623
10.20661,-3.384373,2.05005,-0.125604,313.8686,142.6967,239.3623
10.21128,-3.384373,2.05005,-0.125604,313.8686,142.6967,239.3623
10.21511,-3.384374,2.05005,-0.125604,313.8686,142.6967,239.3623
10.22014,-3.378663,2.05005,-0.128385,313.798,142.6212,239.3828
10.22632,-3.378663,2.05005,-0.128385,313.798,142.6212,239.3828
10.23125,-3.378663,2.05005,-0.128385,313.798,142.6212,239.3828
10.2362,-3.378663,2.05005,-0.128385,313.798,142.6212,239.3828
10.24063,-3.372949,2.05005,-0.131161,313.8686,142.6024,239.4356
10.24582,-3.372949,2.05005,-0.131161,313.8686,142.6024,239.4356
10.25099,-3.372949,2.05005,-0.131161,313.8686,142.6024,239.4356
10.25496,-3.372949,2.05005,-0.131161,313.8686,142.6024,239.4356
10.25966,-3.372949,2.05005,-0.131161,313.8686,142.6024,239.4356
10.26493,-3.364375,2.05005,-0.135316,313.8686,142.5317,239.5821
10.27008,-3.364375,2.05005,-0.135316,313.8686,142.5317,239.5821
10.27389,-3.364375,2.05005,-0.135316,313.8686,142.5317,239.5821
10.27776,-3.364375,2.05005,-0.135316,313.8686,142.5317,239.5821
10.28244,-3.355795,2.05005,-0.139461,313.8534,142.5403,239.6443
