time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
10.00383,-1.798755,2.05005,-0.661386,322.5407,142.8813,58.20943
10.01397,-1.798755,2.05005,-0.661386,322.5407,142.8813,58.20943
10.02134,-1.798755,2.05005,-0.661386,322.5407,142.8813,58.13619
10.02716,-1.798755,2.05005,-0.661386,322.5407,142.8813,58.13619
10.03228,-1.798755,2.05005,-0.661386,322.5407,142.8813,58.13619
10.03957,-1.798755,2.05005,-0.661386,322.5407,142.8813,58.13619
10.04392,-1.798755,2.05005,-0.661386,322.5279,142.9608,58.04963
10.04949,-1.798755,2.05005,-0.661386,322.5279,142.9608,58.04963
10.0541,-1.798755,2.05005,-0.661386,322.5279,142.9608,58.04963
10.05894,-1.798755,2.05005,-0.661386,322.5279,142.9608,58.04963
10.06477,-1.798755,2.05005,-0.661386,322.5279,142.9608,58.04963
10.07064,-1.798755,2.05005,-0.661386,322.5279,142.9608,58.04963
10.07655,-1.798755,2.05005,-0.661386,322.5279,142.9608,58.04963
10.08227,-1.798755,2.05005,-0.661386,322.5278,142.9608,57.97638
10.08717,-1.798755,2.05005,-0.661386,322.5278,142.9608,57.97638
10.09262,-1.798755,2.05005,-0.661386,322.5278,142.9608,57.97638
10.09829,-1.798755,2.05005,-0.661386,322.5278,142.9608,57.97638
10.10921,-1.798755,2.05005,-0.661386,322.5278,142.9608,57.97638
10.1158,-1.798755,2.05005,-0.661386,322.5278,142.9608,57.97638
10.12026,-1.798755,2.05005,-0.661386,322.4561,142.9423,57.98763
10.12598,-1.798755,2.05005,-0.661386,322.4561,142.9423,57.98763
10.13132,-1.798755,2.05005,-0.661386,322.4561,142.9423,57.98763
10.13612,-1.798755,2.05005,-0.661387,322.4561,142.9423,57.98763
10.14142,-1.798755,2.05005,-0.661387,322.5278,142.9608,57.90313
10.14672,-1.798755,2.05005,-0.661387,322.5278,142.9608,57.90313
10.15148,-1.798755,2.05005,-0.661386,322.5278,142.9608,57.90313
10.15642,-1.798755,2.05005,-0.661386,322.5278,142.9608,57.90313
10.16165,-1.798755,2.05005,-0.661386,322.5278,142.9608,57.90313
10.16629,-1.798755,2.05005,-0.661386,322.5278,142.9608,57.90313
10.17088,-1.798755,2.05005,-0.661386,322.5278,142.9608,57.90313
10.17525,-1.798755,2.05005,-0.661386,322.5278,142.9608,57.90313
10.18047,-1.798755,2.05005,-0.661386,322.5407,142.8813,57.91646
10.18657,-1.798755,2.05005,-0.661386,322.5407,142.8813,57.91646
10.19152,-1.798755,2.05005,-0.661386,322.5407,142.8813,57.91646
10.19608,-1.798755,2.05005,-0.661386,322.5407,142.8813,57.91646
10.20116,-1.798755,2.05005,-0.661386,322.5279,142.9608,57.8299
10.20661,-1.798755,2.05005,-0.661387,322.5279,142.9608,57.8299
10.21128,-1.798755,2.05005,-0.661386,322.5279,142.9608,57.8299
10.21511,-1.798755,2.05005,-0.661386,322.5279,142.9608,57.8299
10.22014,-1.798136,2.05005,-0.658814,322.5427,142.9746,57.73393
10.22632,-1.798136,2.05005,-0.658814,322.5427,142.9746,57.73393
10.23125,-1.798136,2.05005,-0.658814,322.5427,142.9746,57.73393
10.2362,-1.798136,2.05005,-0.658814,322.5427,142.9746,57.73393
10.24063,-1.798136,2.05005,-0.658814,322.5298,143.054,57.57411
10.24582,-1.798136,2.05005,-0.658814,322.5298,143.054,57.57411
10.25099,-1.798136,2.05005,-0.658814,322.5298,143.054,57.57411
10.25496,-1.798136,2.05005,-0.658814,322.5298,143.054,57.57411
10.25966,-1.798136,2.05005,-0.658814,322.5298,143.054,57.57411
10.26493,-1.798136,2.05005,-0.658814,322.5298,143.054,57.50088
10.27008,-1.798136,2.05005,-0.658814,322.5298,143.054,57.50088
10.27389,-1.798136,2.05005,-0.658814,322.5298,143.054,57.50088
10.27776,-1.798136,2.05005,-0.658814,322.5298,143.054,57.50088
10.28244,-1.798136,2.05005,-0.658814,322.5427,142.9746,57.44095
10.28844,-1.798136,2.05005,-0.658814,322.5427,142.9746,57.44095
10.29283,-1.798136,2.05005,-0.658814,322.5427,142.9746,57.44095
10.29743,-1.798136,2.05005,-0.658814,322.5427,142.9746,57.44095
10.30263,-1.80121,2.05005,-0.658074,322.5427,142.9981,57.36771
10.30847,-1.80121,2.05005,-0.658074,322.5427,142.9981,57.36771
10.31464,-1.80121,2.05005,-0.658074,322.5427,142.9981,57.36771
10.31855,-1.80121,2.05005,-0.658074,322.5427,142.9981,57.36771
10.32182,-1.80059,2.05005,-0.655501,322.6293,143.0303,57.4071
10.32734,-1.800591,2.05005,-0.655501,322.6293,143.0303,57.4071
10.33193,-1.800591,2.05005,-0.655501,322.6293,143.0303,57.4071
10.33677,-1.800591,2.05005,-0.655501,322.6293,143.0303,57.4071
10.34155,-1.800591,2.05005,-0.655501,322.6421,142.9509,57.34711
10.34728,-1.80059,2.05005,-0.655501,322.6421,142.9509,57.34711
10.35196,-1.800591,2.05005,-0.655501,322.6421,142.9509,57.34711
10.35629,-1.800591,2.05005,-0.655501,322.6421,142.9509,57.34711
10.36026,-1.799971,2.05005,-0.652929,322.6441,143.0441,57.31118
10.36689,-1.799971,2.05005,-0.652929,322.6441,143.0441,57.31118
10.37146,-1.799971,2.05005,-0.652929,322.6441,143.0441,57.31118
10.37599,-1.799971,2.05005,-0.652929,322.6441,143.0441,57.31118
10.38065,-1.799971,2.05005,-0.652929,322.7159,143.0623,57.3001
10.38537,-1.799971,2.05005,-0.652929,322.7159,143.0623,57.3001
10.39103,-1.799971,2.05005,-0.652929,322.7159,143.0623,57.3001
10.39566,-1.799971,2.05005,-0.652929,322.7159,143.0623,57.3001
10.39985,-1.799971,2.05005,-0.652929,322.7159,143.0623,57.3001
10.4051,-1.799971,2.05005,-0.652929,322.6441,143.044,57.23794
10.41139,-1.799971,2.05005,-0.652929,322.6441,143.044,57.23794
10.41611,-1.799971,2.05005,-0.652929,322.6441,143.044,57.23794
10.42134,-1.799351,2.05005,-0.650356,322.7308,143.076,57.20422
10.42763,-1.799351,2.05005,-0.650356,322.7308,143.076,57.20422
10.43267,-1.799351,2.05005,-0.650356,322.7308,143.076,57.20422
10.4373,-1.799351,2.05005,-0.650356,322.7308,143.076,57.20422
10.44318,-1.799351,2.05005,-0.650356,322.7436,142.9967,57.1442
10.44883,-1.799351,2.05005,-0.650356,322.7436,142.9967,57.1442
10.45332,-1.799351,2.05005,-0.650356,322.7436,142.9967,57.1442
10.45782,-1.799351,2.05005,-0.650356,322.7436,142.9967,57.1442
10.46188,-1.799351,2.05005,-0.650356,322.8026,143.0942,57.04672
10.46744,-1.799351,2.05005,-0.650356,322.8026,143.0942,57.04672
