time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
54.64179,-3.396544,2.05005,-0.028647,321.9478,147.7653,58.94461
54.64619,-3.396544,2.05005,-0.028647,321.9478,147.7653,58.94461
54.65422,-3.396544,2.05005,-0.028647,321.9478,147.7653,58.94461
54.65875,-3.396544,2.05005,-0.028647,321.9478,147.7653,58.94461
54.66271,-3.396544,2.05005,-0.028647,321.9478,147.7653,58.94461
54.66632,-3.396544,2.05005,-0.028647,321.9478,147.7653,58.94461
54.66946,-3.396544,2.05005,-0.028647,321.9478,147.7653,58.94461
54.67245,-3.396544,2.05005,-0.028647,321.9478,147.7653,58.94461
54.67623,-3.396544,2.05005,-0.028647,321.9478,147.7653,58.94461
54.67934,-3.396544,2.05005,-0.028647,321.9478,147.7653,58.94461
54.68215,-3.396544,2.05005,-0.028647,321.9478,147.7653,59.0911
54.68587,-3.396544,2.05005,-0.028647,321.9478,147.7653,59.0911
54.68895,-3.396544,2.05005,-0.028647,321.9478,147.7653,59.0911
54.69261,-3.396544,2.05005,-0.028647,321.9478,147.7653,59.0911
54.69576,-3.396544,2.05005,-0.028647,321.9478,147.7653,59.0911
54.69852,-3.396544,2.05005,-0.028647,321.9478,147.7653,59.0911
54.70162,-3.396544,2.05005,-0.028647,322.0199,147.7819,59.08088
54.70509,-3.396544,2.05005,-0.028647,322.0199,147.7819,59.08088
54.70911,-3.396544,2.05005,-0.028647,322.0199,147.7819,59.08088
54.71196,-3.396544,2.05005,-0.028647,322.0199,147.7819,59.08088
54.71477,-3.396544,2.05005,-0.028647,322.0199,147.7819,59.08088
54.71821,-3.396544,2.05005,-0.028647,322.0199,147.7819,59.08088
54.72087,-3.393729,2.05005,-0.030043,322.0088,147.8357,59.14555
54.72488,-3.393729,2.05005,-0.030043,322.0088,147.8357,59.14555
54.72799,-3.393729,2.05005,-0.030043,322.0088,147.8357,59.14555
54.73133,-3.393729,2.05005,-0.030043,322.0088,147.8357,59.14555
54.73428,-3.393729,2.05005,-0.030043,322.0088,147.8357,59.14555
54.73714,-3.393729,2.05005,-0.030043,322.0088,147.8357,59.14555
54.74049,-3.390913,2.05005,-0.031438,321.9977,147.8896,59.06369
54.7438,-3.390913,2.05005,-0.031438,321.9977,147.8896,59.06369
54.74677,-3.390913,2.05005,-0.031438,321.9977,147.8896,59.06369
54.74971,-3.390913,2.05005,-0.031438,321.9977,147.8896,59.06369
54.75252,-3.390913,2.05005,-0.031438,321.9977,147.8896,59.06369
54.75547,-3.390913,2.05005,-0.031438,321.9977,147.8896,59.06369
54.75927,-3.390913,2.05005,-0.031438,321.9977,147.8896,59.06369
54.76233,-3.388096,2.05005,-0.032832,321.9867,147.9434,59.05506
54.76614,-3.388096,2.05005,-0.032832,321.9867,147.9434,59.05506
54.76866,-3.388096,2.05005,-0.032832,321.9867,147.9434,59.05506
54.77137,-3.388096,2.05005,-0.032832,321.9867,147.9434,59.05506
54.77477,-3.388096,2.05005,-0.032832,321.9867,147.9434,59.05506
54.77807,-3.388096,2.05005,-0.032832,321.9867,147.9434,59.05506
54.78086,-3.388096,2.05005,-0.032832,321.9867,147.9434,59.12831
54.78428,-3.388096,2.05005,-0.032832,321.9867,147.9434,59.12831
54.78711,-3.388096,2.05005,-0.032832,321.9867,147.9434,59.12831
54.79,-3.388096,2.05005,-0.032832,321.9867,147.9434,59.12831
54.79409,-3.388096,2.05005,-0.032832,321.9867,147.9434,59.12831
54.79767,-3.388096,2.05005,-0.032832,321.9867,147.9434,59.12831
54.80097,-3.385279,2.05005,-0.034224,322.0477,148.0138,59.03624
54.80447,-3.385279,2.05005,-0.034224,322.0477,148.0138,59.03624
54.8082,-3.385279,2.05005,-0.034224,322.0477,148.0138,59.03624
54.81179,-3.385279,2.05005,-0.034224,322.0477,148.0138,59.03624
54.8143,-3.385279,2.05005,-0.034224,322.0477,148.0138,59.03624
54.81746,-3.385279,2.05005,-0.034224,322.0477,148.0138,59.03624
54.82057,-3.385279,2.05005,-0.034224,322.0367,148.0912,59.10081
54.8251,-3.385279,2.05005,-0.034224,322.0367,148.0912,59.10081
54.82844,-3.385279,2.05005,-0.034224,322.0367,148.0912,59.10081
54.83127,-3.385279,2.05005,-0.034224,322.0367,148.0912,59.10081
54.8338,-3.385279,2.05005,-0.034224,322.0367,148.0912,59.10081
54.83678,-3.385279,2.05005,-0.034224,322.0367,148.0912,59.10081
54.8402,-3.385279,2.05005,-0.034224,322.1088,148.1077,59.09068
54.84602,-3.385279,2.05005,-0.034224,322.1088,148.1077,59.09068
54.84892,-3.385279,2.05005,-0.034224,322.1088,148.1077,59.09068
54.85158,-3.385279,2.05005,-0.034224,322.1088,148.1077,59.09068
54.85438,-3.385279,2.05005,-0.034224,322.1088,148.1077,59.09068
54.85808,-3.385279,2.05005,-0.034224,322.1088,148.1077,59.09068
54.86172,-3.379643,2.05005,-0.037006,322.0977,148.138,59.082
54.86548,-3.379643,2.05005,-0.037006,322.0977,148.138,59.082
54.86874,-3.379643,2.05005,-0.037006,322.0977,148.138,59.082
54.87223,-3.379643,2.05005,-0.037006,322.0977,148.138,59.082
54.87609,-3.379643,2.05005,-0.037006,322.0977,148.138,59.082
54.87915,-3.379643,2.05005,-0.037006,322.0977,148.138,59.082
54.8821,-3.368364,2.05005,-0.042556,322.1698,148.0838,59.07191
54.88643,-3.368364,2.05005,-0.042556,322.1698,148.0838,59.07191
54.88936,-3.368364,2.05005,-0.042556,322.1698,148.0838,59.07191
54.89343,-3.368364,2.05005,-0.042556,322.1698,148.0838,59.07191
54.89625,-3.368364,2.05005,-0.042556,322.1698,148.0838,59.07191
54.89933,-3.368364,2.05005,-0.042556,322.1698,148.0838,59.07191
54.90292,-3.357076,2.05005,-0.048087,322.1698,147.966,59.14514
54.90727,-3.357076,2.05005,-0.048087,322.1698,147.966,59.14514
54.91047,-3.357076,2.05005,-0.048087,322.1698,147.966,59.14514
54.913,-3.357076,2.05005,-0.048087,322.1698,147.966,59.14514
54.91605,-3.357076,2.05005,-0.048087,322.1698,147.966,59.14514
54.91988,-3.357077,2.05005,-0.048087,322.1698,147.966,59.14514
54.92362,-3.337301,2.05005,-0.057721,322.2199,147.9723,59.19093
54.92767,-3.337301,2.05005,-0.057721,322.2199,147.9723,59.19093
54.9308,-3.337301,2.05005,-0.057721,322.2199,147.9723,59.19093
54.9346,-3.337301,2.05005,-0.057721,322.2199,147.9723,59.19093
54.93746,-3.337301,2.05005,-0.057721,322.2199,147.9723,59.19093
54.94043,-3.300501,2.05005,-0.075463,322.3421,147.8536,59.29996
54.94427,-3.300501,2.05005,-0.075463,322.3421,147.8536,59.29996
54.94757,-3.300502,2.05005,-0.075463,322.3421,147.8536,59.29996
54.95127,-3.300501,2.05005,-0.075463,322.3421,147.8536,59.29996
54.95486,-3.300501,2.05005,-0.075463,322.3421,147.8536,59.29996
54.95806,-3.300501,2.05005,-0.075463,322.3421,147.8536,59.29996
54.96111,-3.240857,2.050049,-0.103706,322.3486,147.8634,59.31043
54.9654,-3.240857,2.050049,-0.103706,322.3486,147.8634,59.31043
54.96881,-3.240857,2.050049,-0.103706,322.3486,147.8634,59.31043
54.97183,-3.240857,2.050049,-0.103706,322.3486,147.8634,59.31043
54.97523,-3.240857,2.050049,-0.103706,322.3486,147.8634,59.31043
54.97832,-3.240857,2.050049,-0.103706,322.3486,147.8634,59.31043
54.98228,-3.160956,2.050049,-0.14056,322.3229,147.9415,59.3665
54.98853,-3.160956,2.050049,-0.14056,322.3229,147.9415,59.3665
54.99186,-3.160956,2.050049,-0.14056,322.3229,147.9415,59.3665
54.99462,-3.160956,2.050049,-0.14056,322.3229,147.9415,59.3665
54.99822,-3.160956,2.050049,-0.14056,322.3229,147.9415,59.3665
55.00113,-3.06625,2.050048,-0.182811,322.2659,148.0886,59.39337
55.00491,-3.06625,2.050048,-0.182811,322.2659,148.0886,59.39337
55.00895,-3.06625,2.050048,-0.182811,322.2659,148.0886,59.39337
55.01238,-3.06625,2.050048,-0.182811,322.2659,148.0886,59.39337
55.01547,-3.06625,2.050048,-0.182811,322.2659,148.0886,59.39337
55.01833,-3.06625,2.050048,-0.182811,322.2659,148.0886,59.39337
55.02123,-2.956496,2.050048,-0.229866,322.1276,148.2289,59.34442
