time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
52.50225,2.108713,2.05005,-0.933302,327.927,156.2385,143.7255
52.50701,2.108713,2.05005,-0.933302,327.927,156.2385,143.7255
52.51085,2.108713,2.05005,-0.933302,327.927,156.2385,143.7255
52.51384,2.108713,2.05005,-0.933302,327.927,156.2385,143.7255
52.51757,2.108713,2.05005,-0.933302,327.927,156.2385,143.7255
52.52034,2.108713,2.05005,-0.933302,327.9977,156.3237,143.557
52.52398,2.108713,2.05005,-0.933302,327.9977,156.3237,143.557
52.5273,2.108713,2.05005,-0.933302,327.9977,156.3237,143.557
52.53072,2.108713,2.05005,-0.933302,327.9977,156.3237,143.557
52.53491,2.108713,2.05005,-0.933302,327.9977,156.3237,143.557
52.53895,2.108713,2.05005,-0.933302,327.9977,156.3237,143.557
52.54234,2.108713,2.05005,-0.933302,327.9194,156.4844,143.3715
52.54602,2.108713,2.05005,-0.933302,327.9194,156.4844,143.3715
52.54935,2.108713,2.05005,-0.933302,327.9194,156.4844,143.3715
52.55235,2.108713,2.05005,-0.933302,327.9194,156.4844,143.3715
52.55548,2.108713,2.05005,-0.933302,327.9194,156.4844,143.3715
52.55935,2.108713,2.05005,-0.933302,327.9194,156.4844,143.3715
52.56251,2.111207,2.05005,-0.929888,328.0107,156.6299,143.3252
52.56601,2.111207,2.05005,-0.929888,328.0107,156.6299,143.3252
52.5689,2.111207,2.05005,-0.929888,328.0107,156.6299,143.3252
52.57184,2.111207,2.05005,-0.929888,328.0107,156.6299,143.3252
52.57543,2.111207,2.05005,-0.929888,328.0107,156.6299,143.3252
52.57839,2.111207,2.05005,-0.929888,328.0107,156.6299,143.3252
52.58126,2.120762,2.05005,-0.927278,328.0082,156.6411,143.2316
52.5848,2.120762,2.05005,-0.927278,328.0082,156.6411,143.2316
52.58784,2.120762,2.05005,-0.927278,328.0082,156.6411,143.2316
52.59142,2.120762,2.05005,-0.927278,328.0082,156.6411,143.2316
52.59447,2.120762,2.05005,-0.927278,328.0082,156.6411,143.2316
52.59762,2.120762,2.05005,-0.927278,328.0082,156.6411,143.2316
52.60053,2.13916,2.050049,-0.919478,328.0219,156.8294,143.1466
52.60392,2.13916,2.050049,-0.919478,328.0219,156.8294,143.1466
52.60698,2.13916,2.050049,-0.919478,328.0219,156.8294,143.1466
52.60985,2.13916,2.050049,-0.919478,328.0219,156.8294,143.1466
52.61331,2.13916,2.050049,-0.919478,328.0219,156.8294,143.1466
52.61656,2.13916,2.050049,-0.919478,328.0219,156.8294,143.1466
52.6195,2.13916,2.050049,-0.919478,328.0219,156.8294,143.1466
52.62513,2.171989,2.050046,-0.9021,328.08,156.9854,142.9613
52.62895,2.171989,2.050046,-0.9021,328.08,156.9854,142.9613
52.63262,2.171989,2.050046,-0.9021,328.08,156.9854,142.9613
52.63573,2.171989,2.050046,-0.9021,328.08,156.9854,142.9613
52.63852,2.171989,2.050046,-0.9021,328.08,156.9854,142.9613
52.64191,2.214204,2.050046,-0.881856,328.0615,157.2548,142.6649
52.64951,2.214204,2.050046,-0.881856,328.0615,157.2548,142.6649
52.65173,2.214204,2.050046,-0.881856,328.0615,157.2548,142.6649
52.65451,2.214204,2.050046,-0.881856,328.0615,157.2548,142.6649
52.65854,2.214204,2.050046,-0.881856,328.0615,157.2548,142.6649
52.66163,2.272039,2.050044,-0.856724,328.114,157.5484,142.1819
52.66495,2.272039,2.050044,-0.856724,328.114,157.5484,142.1819
52.66765,2.272039,2.050044,-0.856724,328.114,157.5484,142.1819
52.67079,2.272039,2.050044,-0.856724,328.114,157.5484,142.1819
52.67396,2.272039,2.050044,-0.856724,328.114,157.5484,142.1819
52.67763,2.272039,2.050044,-0.856724,328.114,157.5484,142.1819
52.68051,2.332762,2.050045,-0.830199,328.1671,157.8993,141.3878
52.68408,2.332762,2.050045,-0.830199,328.1671,157.8993,141.3878
52.68707,2.332762,2.050045,-0.830199,328.1671,157.8993,141.3878
52.69072,2.332762,2.050045,-0.830199,328.1671,157.8993,141.3878
52.69379,2.332762,2.050045,-0.830199,328.1671,157.8993,141.3878
52.69646,2.332762,2.050045,-0.830199,328.1671,157.8993,141.3878
52.69924,2.332762,2.050045,-0.830199,328.1671,157.8993,141.3878
52.70239,2.404937,2.050042,-0.796724,328.168,158.4815,140.6616
52.70605,2.404937,2.050042,-0.796724,328.168,158.4815,140.6616
52.70976,2.404937,2.050042,-0.796724,328.168,158.4815,140.6616
52.71278,2.404937,2.050042,-0.796724,328.168,158.4815,140.6616
52.71596,2.404937,2.050042,-0.796724,328.168,158.4815,140.6616
52.71893,2.404937,2.050042,-0.796724,328.168,158.4815,140.6616
52.722,2.483552,2.05004,-0.751967,328.243,159.0991,140.0616
52.72617,2.483552,2.05004,-0.751967,328.243,159.0991,140.0616
52.72918,2.483552,2.05004,-0.751967,328.243,159.0991,140.0616
52.73196,2.483552,2.05004,-0.751967,328.243,159.0991,140.0616
52.73474,2.483552,2.05004,-0.751967,328.243,159.0991,140.0616
52.73803,2.483552,2.05004,-0.751967,328.243,159.0991,140.0616
52.74112,2.549633,2.050042,-0.702026,328.4445,159.5755,139.4326
52.74513,2.549633,2.050042,-0.702026,328.4445,159.5755,139.4326
52.74818,2.549633,2.050042,-0.702026,328.4445,159.5755,139.4326
52.75099,2.549633,2.050042,-0.702026,328.4445,159.5755,139.4326
52.75399,2.549633,2.050042,-0.702026,328.4445,159.5755,139.4326
52.75714,2.549633,2.050042,-0.702026,328.4445,159.5755,139.4326
52.76039,2.629854,2.050041,-0.635024,328.6434,160.0923,138.8467
52.76381,2.629854,2.050041,-0.635024,328.6434,160.0923,138.8467
52.76688,2.629854,2.050041,-0.635024,328.6434,160.0923,138.8467
52.77131,2.629854,2.050041,-0.635024,328.6434,160.0923,138.8467
52.77535,2.629854,2.050041,-0.635024,328.6434,160.0923,138.8467
52.77876,2.629854,2.050041,-0.635024,328.6434,160.0923,138.8467
52.78168,2.710001,2.050042,-0.561049,328.7743,160.6021,137.8377
52.78517,2.710001,2.050042,-0.561049,328.7743,160.6021,137.8377
52.78828,2.710001,2.050042,-0.561049,328.7743,160.6021,137.8377
52.79182,2.710001,2.050042,-0.561049,328.7743,160.6021,137.8377
52.79442,2.710001,2.050042,-0.561049,328.7743,160.6021,137.8377
52.79799,2.710001,2.050042,-0.561049,328.7743,160.6021,137.8377
52.80124,2.788509,2.050045,-0.494791,329.0098,161.1049,137.1367
52.80464,2.788509,2.050045,-0.494791,329.0098,161.1049,137.1367
52.80859,2.788509,2.050045,-0.494791,329.0098,161.1049,137.1367
52.81177,2.788509,2.050045,-0.494791,329.0098,161.1049,137.1367
52.81538,2.788509,2.050045,-0.494791,329.0098,161.1049,137.1367
52.81839,2.788509,2.050045,-0.494791,329.0098,161.1049,137.1367
52.82103,2.876681,2.050045,-0.429092,329.1548,161.6929,136.1941
52.82515,2.876681,2.050045,-0.429092,329.1548,161.6929,136.1941
52.82837,2.876681,2.050045,-0.429092,329.1548,161.6929,136.1941
52.83177,2.876681,2.050045,-0.429092,329.1548,161.6929,136.1941
52.8347,2.876681,2.050045,-0.429092,329.1548,161.6929,136.1941
52.83764,2.876681,2.050045,-0.429092,329.1548,161.6929,136.1941
52.84069,2.965608,2.050045,-0.367249,329.233,162.117,135.8065
52.84431,2.965608,2.050045,-0.367249,329.233,162.117,135.8065
52.84822,2.965608,2.050045,-0.367249,329.233,162.117,135.8065
52.85144,2.965608,2.050045,-0.367249,329.233,162.117,135.8065
52.85463,2.965608,2.050045,-0.367249,329.233,162.117,135.8065
52.85791,2.965608,2.050045,-0.367249,329.233,162.117,135.8065
52.86156,3.050229,2.050044,-0.296967,329.3674,162.8317,134.9288
52.86581,3.050229,2.050044,-0.296967,329.3674,162.8317,134.9288
52.86909,3.050229,2.050044,-0.296967,329.3674,162.8317,134.9288
52.87191,3.050229,2.050044,-0.296967,329.3674,162.8317,134.9288
52.87512,3.050229,2.050044,-0.296967,329.3674,162.8317,134.9288
52.87867,3.050229,2.050044,-0.296967,329.3674,162.8317,134.9288
52.88142,3.110619,2.050048,-0.24456,329.4808,163.6169,134.242
52.88503,3.110619,2.050048,-0.24456,329.4808,163.6169,134.242
52.88774,3.110619,2.050048,-0.244561,329.4808,163.6169,134.242
52.89103,3.110619,2.050048,-0.24456,329.4808,163.6169,134.242
52.89494,3.110619,2.050048,-0.24456,329.4808,163.6169,134.242
52.89812,3.110619,2.050048,-0.244561,329.4808,163.6169,134.242
52.90142,3.167382,2.050048,-0.192944,329.6254,164.4218,133.7809
52.90517,3.167382,2.050048,-0.192944,329.6254,164.4218,133.7809
52.90871,3.167382,2.050048,-0.192944,329.6254,164.4218,133.7809
52.91156,3.167382,2.050048,-0.192944,329.6254,164.4218,133.7809
52.91457,3.167382,2.050048,-0.192944,329.6254,164.4218,133.7809
52.91788,3.167382,2.050048,-0.192944,329.6254,164.4218,133.7809
52.92074,3.219958,2.050048,-0.148369,329.7672,165.0297,133.3034
52.92601,3.219958,2.050048,-0.148369,329.7672,165.0297,133.3034
52.92922,3.219958,2.050048,-0.148369,329.7672,165.0297,133.3034
52.93211,3.219958,2.050048,-0.148369,329.7672,165.0297,133.3034
52.93484,3.219958,2.050048,-0.148369,329.7672,165.0297,133.3034
52.93782,3.219958,2.050048,-0.148369,329.7672,165.0297,133.3034
52.94182,3.259743,2.050048,-0.09955,329.9319,165.5987,132.928
52.94508,3.259743,2.050048,-0.09955,329.9319,165.5987,132.928
52.9478,3.259743,2.050048,-0.09955,329.9319,165.5987,132.928
52.95053,3.259743,2.050048,-0.09955,329.9319,165.5987,132.928
52.95341,3.259743,2.050048,-0.09955,329.9319,165.5987,132.928
52.95706,3.259743,2.050048,-0.09955,329.9319,165.5987,132.928
52.96052,3.297607,2.050049,-0.054903,330.1211,166.2315,132.4205
52.96444,3.297607,2.050049,-0.054903,330.1211,166.2315,132.4205
52.96758,3.297607,2.050049,-0.054903,330.1211,166.2315,132.4205
52.9711,3.297607,2.050049,-0.054903,330.1211,166.2315,132.4205
52.97482,3.297607,2.050049,-0.054903,330.1211,166.2315,132.4205
52.97817,3.297607,2.050049,-0.054903,330.1211,166.2315,132.4205
