time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
16.78371,0,1.244464,2.80571,335.6389,179.9952,210.1441
16.78953,0,1.244464,2.80571,335.6389,179.9952,210.1441
16.79459,0,1.244464,2.80571,335.6389,179.9952,210.1441
16.79865,0,1.244464,2.80571,335.6389,179.9952,210.1441
16.80351,0,1.244464,2.80571,335.6389,180.0515,210.1732
16.80856,0,1.244464,2.80571,335.6389,180.0515,210.1732
16.81257,0,1.244464,2.80571,335.6389,180.0515,210.1732
16.81674,0,1.244464,2.80571,335.6389,180.0515,210.1732
16.82162,0,1.244464,2.80571,335.5656,180.0514,210.1733
16.82648,0,1.244464,2.80571,335.5656,180.0514,210.1733
16.8308,0,1.244464,2.80571,335.5656,180.0514,210.1733
16.83514,0,1.244464,2.80571,335.5656,180.0514,210.1733
16.83977,0,1.244464,2.80571,335.5656,180.0514,210.1733
16.84407,0,1.244464,2.80571,335.5656,180.0514,210.1733
16.84917,0,1.244464,2.80571,335.5656,180.0514,210.1733
16.85365,0,1.244464,2.80571,335.5656,180.0514,210.1733
16.85861,0,1.244464,2.80571,335.5656,180.0514,210.1733
16.86299,0,1.244464,2.80571,335.6389,180.0515,210.1732
16.86763,0,1.244464,2.80571,335.6389,180.0515,210.1732
16.87227,0,1.244464,2.80571,335.6389,180.0515,210.1732
16.87698,0,1.244464,2.80571,335.6389,180.0515,210.1732
16.88161,0,1.244464,2.80571,335.5656,180.0514,210.1733
16.89181,0,1.244464,2.80571,335.5656,180.0514,210.1733
16.89713,0,1.244464,2.80571,335.5656,180.0514,210.1733
16.90165,0,1.244464,2.80571,335.6389,180.0515,210.1732
16.90686,0,1.244464,2.80571,335.6389,180.0515,210.1732
16.91126,0,1.244464,2.80571,335.6389,180.0515,210.1732
16.91534,0,1.244464,2.80571,335.6389,180.0515,210.1732
16.92044,0,1.244465,2.80571,335.6389,180.0515,210.1732
16.92501,0,1.244464,2.80571,335.6389,180.0515,210.1732
16.9292,0,1.244464,2.80571,335.6389,180.0515,210.1732
16.93378,0,1.244464,2.80571,335.6389,180.0515,210.1732
16.9384,0,1.244464,2.80571,335.6389,180.0515,210.1732
16.94282,0,1.244464,2.80571,335.5656,180.0514,210.1733
16.94751,0,1.244464,2.80571,335.5656,180.0514,210.1733
16.95197,0,1.244464,2.80571,335.5656,180.0514,210.1733
16.95676,0,1.244464,2.80571,335.5656,180.0514,210.1733
16.9607,0,1.244464,2.80571,335.6389,180.0515,210.1732
16.9656,0,1.244464,2.80571,335.6389,180.0515,210.1732
16.97013,0,1.244464,2.80571,335.6389,180.0515,210.1732
16.97546,0,1.244464,2.80571,335.6389,180.0515,210.1732
16.98051,0,1.244464,2.80571,335.6389,180.0515,210.1732
16.98611,0,1.244464,2.80571,335.6389,180.0515,210.1732
16.99015,0,1.244464,2.80571,335.6389,180.0515,210.1732
16.99456,0,1.244464,2.80571,335.6389,180.0515,210.1732
16.99898,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.00405,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.00869,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.01305,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.01736,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.0219,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.02709,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.03159,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.03603,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.04054,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.04518,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.04937,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.05417,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.05869,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.06307,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.06768,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.07229,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.07651,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.08064,0,1.244465,2.80571,335.6389,180.0515,210.1732
17.08617,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.09053,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.09525,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.09943,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.10494,0,1.244464,2.80571,335.5656,180.1077,210.2024
17.10984,0,1.244464,2.80571,335.5656,180.1077,210.2024
17.11438,0,1.244464,2.80571,335.5656,180.1077,210.2024
17.11945,0,1.244464,2.80571,335.5656,180.1077,210.2024
17.12412,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.1287,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.13324,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.1381,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.14289,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.14772,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.15247,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.15745,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.1621,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.16722,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.17396,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.17822,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.18284,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.18796,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.19257,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.19736,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.20248,0,1.244464,2.80571,335.5656,180.0514,210.1733
17.20748,0,1.244464,2.80571,335.5656,180.0514,210.1733
17.21258,0,1.244464,2.80571,335.5656,180.0514,210.1733
17.21704,0,1.244464,2.80571,335.5656,180.0514,210.1733
17.22256,0,1.244464,2.80571,335.5656,180.0514,210.1733
17.22802,0,1.244464,2.80571,335.5656,180.0514,210.1733
17.23317,0,1.244464,2.80571,335.5656,180.0514,210.1733
17.23789,0,1.244464,2.80571,335.5656,180.0514,210.1733
17.24277,0,1.244464,2.80571,335.6388,180.1077,210.2024
17.24773,0,1.244464,2.80571,335.6388,180.1077,210.2024
17.25235,0,1.244464,2.80571,335.6388,180.1077,210.2024
17.25681,0,1.244464,2.80571,335.6388,180.1077,210.2024
17.26192,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.26704,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.27341,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.27843,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.28343,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.28874,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.29301,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.29743,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.30293,0,1.244464,2.80571,335.6388,180.1077,210.2024
17.30747,0,1.244464,2.80571,335.6388,180.1077,210.2024
17.31213,0,1.244464,2.80571,335.6388,180.1077,210.2024
17.31668,0,1.244464,2.80571,335.6388,180.1077,210.2024
17.32221,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.32727,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.33204,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.33748,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.34244,0,1.244464,2.80571,335.5656,180.0514,210.1733
17.34726,0,1.244464,2.80571,335.5656,180.0514,210.1733
17.35229,0,1.244464,2.80571,335.5656,180.0514,210.1733
17.35637,0,1.244464,2.80571,335.5656,180.0514,210.1733
17.36102,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.36631,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.37233,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.3784,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.38348,0,1.244464,2.80571,335.5656,180.0514,210.1733
17.38866,0,1.244464,2.80571,335.5656,180.0514,210.1733
17.39285,0,1.244464,2.80571,335.5656,180.0514,210.1733
17.39709,0,1.244464,2.80571,335.5656,180.0514,210.1733
17.40166,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.40755,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.41246,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.41648,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.42168,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.42698,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.43126,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.43603,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.44151,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.44586,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.44996,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.45623,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.46078,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.46521,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.46983,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.47447,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.47915,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.48403,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.48946,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.49384,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.49804,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.50292,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.5073,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.51159,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.51656,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.52147,0,1.244464,2.80571,335.5656,180.0514,210.1733
17.52652,0,1.244464,2.80571,335.5656,180.0514,210.1733
17.53069,0,1.244464,2.80571,335.5656,180.0514,210.1733
17.53607,0,1.244464,2.80571,335.5656,180.0514,210.1733
17.54072,0,1.244464,2.80571,335.5656,180.0514,210.1733
17.54567,0,1.244464,2.80571,335.5656,180.0514,210.1733
17.5503,0,1.244464,2.80571,335.5656,180.0514,210.1733
17.55608,0,1.244464,2.80571,335.5656,180.0514,210.1733
17.56165,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.56852,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.5744,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.57963,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.58414,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.58991,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.59462,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.5987,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.60362,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.60816,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.61261,0,1.244464,2.80571,335.6389,180.0515,210.1732
17.61715,0,1.244464,2.80571,335.6389,180.0515,210.1732
