time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
16.78371,-3.520303,1.05005,-0.112691,306.4221,136.9352,130.4124
16.78953,-3.520303,1.05005,-0.112691,306.4221,136.9352,130.4124
16.79459,-3.520303,1.05005,-0.112691,306.4221,136.9352,130.4124
16.79865,-3.520303,1.05005,-0.112691,306.4221,136.9352,130.4124
16.80351,-3.520303,1.05005,-0.112691,306.4357,136.8566,130.4208
16.80856,-3.520303,1.05005,-0.112691,306.4357,136.8566,130.4208
16.81257,-3.520303,1.05005,-0.112691,306.4357,136.8566,130.4208
16.81674,-3.520303,1.05005,-0.112691,306.4357,136.8566,130.4208
16.82162,-3.520303,1.05005,-0.112691,306.4493,136.7782,130.3558
16.82648,-3.520303,1.05005,-0.112691,306.4493,136.7782,130.3558
16.8308,-3.520303,1.05005,-0.112691,306.4493,136.7782,130.3558
16.83514,-3.520303,1.05005,-0.112691,306.4493,136.7782,130.3558
16.83977,-3.520303,1.05005,-0.112691,306.4493,136.7782,130.3558
16.84407,-3.520303,1.05005,-0.112691,306.4493,136.7782,130.3558
16.84917,-3.520303,1.05005,-0.112691,306.4493,136.7782,130.3558
16.85365,-3.520303,1.05005,-0.112691,306.4493,136.7782,130.3558
16.85861,-3.520303,1.05005,-0.112691,306.4493,136.7782,130.3558
16.86299,-3.520303,1.05005,-0.112691,306.463,136.6997,130.4373
16.86763,-3.520303,1.05005,-0.112691,306.463,136.6997,130.4373
16.87227,-3.520303,1.05005,-0.112691,306.463,136.6997,130.4373
16.87698,-3.520303,1.05005,-0.112691,306.463,136.6997,130.4373
16.88161,-3.520303,1.05005,-0.112691,306.4493,136.7782,130.3558
16.89181,-3.520304,1.05005,-0.112691,306.4493,136.7782,130.3558
16.89713,-3.520303,1.05005,-0.112691,306.4493,136.7782,130.3558
16.90165,-3.520303,1.05005,-0.112691,306.463,136.6997,130.4373
16.90686,-3.520304,1.05005,-0.112691,306.463,136.6997,130.4373
16.91126,-3.520303,1.05005,-0.112691,306.463,136.6997,130.4373
16.91534,-3.520303,1.05005,-0.112691,306.463,136.6997,130.4373
16.92044,-3.523153,1.05005,-0.111243,306.4766,136.6449,130.4456
16.92501,-3.523153,1.05005,-0.111243,306.4766,136.6449,130.4456
